wealth3,people,partnered_missing_n,partnered_missing_percent,any_chronic_item_missing_n,any_chronic_item_missing_percent,rural_unknown_n,rural_unknown_percent,race_unknown_n,race_unknown_percent,insurance_unknown_n,insurance_unknown_percent,chronic_count_mean,chronic_count_sd,cohort,covariate_measurement,insurance_semantics
low,3955,0,0,165,4.17193426042984,0,0,3955,100,89,2.25031605562579,0.939974850547757,0.856965071074255,CHARLS,at_first_valid_wealth_wave,public_or_private_coverage_indicator
high,3085,0,0,150,4.86223662884927,0,0,3085,100,96,3.11183144246353,0.929169705941197,0.865600582454907,CHARLS,at_first_valid_wealth_wave,public_or_private_coverage_indicator
