wealth3,people,partnered_missing_n,partnered_missing_percent,any_chronic_item_missing_n,any_chronic_item_missing_percent,rural_unknown_n,rural_unknown_percent,race_unknown_n,race_unknown_percent,insurance_unknown_n,insurance_unknown_percent,chronic_count_mean,chronic_count_sd,cohort,covariate_measurement,insurance_semantics
low,5760,8,0.138888888888889,0,0,341,5.92013888888889,3,0.0520833333333333,2243,38.9409722222222,1.49045138888889,1.08354556393727,HRS,at_first_valid_wealth_wave,number_of_health_insurance_plans_gt_zero
high,1056,1,0.0946969696969697,0,0,37,3.50378787878788,0,0,522,49.4318181818182,1.07481060606061,0.966299415943285,HRS,at_first_valid_wealth_wave,number_of_health_insurance_plans_gt_zero
