wealth3,people,partnered_missing_n,partnered_missing_percent,any_chronic_item_missing_n,any_chronic_item_missing_percent,rural_unknown_n,rural_unknown_percent,race_unknown_n,race_unknown_percent,insurance_unknown_n,insurance_unknown_percent,chronic_count_mean,chronic_count_sd,cohort,covariate_measurement,insurance_semantics
high,5102,1,0.0196001568012544,90,1.7640141121129,0,0,5102,100,38,0.744805958447668,1.03999617086502,0.930996107521674,MHAS,at_first_valid_wealth_wave,public_or_private_coverage_indicator
low,5362,0,0,98,1.82767624020888,0,0,5362,100,54,1.0070869078702,1.07227197343361,0.956942750462615,MHAS,at_first_valid_wealth_wave,public_or_private_coverage_indicator
