log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive,sensitivity,contrast_direction
-0.0637233430140954,0.0723168883094106,0.938264541066997,0.814269046120789,1.08114185749494,0.378226782955515,HRS,sustained_vs_early_modification,FALSE,primary,weaker_low_wealth_gradient_after_sustained_recovery
-0.0566876933064814,0.0725738738085385,0.944889118487554,0.819605226315869,1.0893237592559,0.434741733230121,HRS,sustained_vs_early_modification,FALSE,unweighted,weaker_low_wealth_gradient_after_sustained_recovery
-0.096384497710851,0.0748520721671787,0.908114780878505,0.784197357223308,1.05161340784165,0.197862117280808,HRS,sustained_vs_early_modification,FALSE,interval_1_to_3_years,weaker_low_wealth_gradient_after_sustained_recovery
-0.0559929206664558,0.0733164973661677,0.945545829701012,0.818981932752098,1.09166866851457,0.445037003314336,HRS,sustained_vs_early_modification,FALSE,exclude_explicit_proxy,weaker_low_wealth_gradient_after_sustained_recovery
-0.0171570162718049,0.117611882215819,0.982989327197532,0.780612582452934,1.23783300334198,0.884017497081157,MHAS,low_vs_high_early_recovery,FALSE,primary,low_wealth_less_relapse
0.0913682973819885,0.114674994109766,1.09567246425756,0.875119622033521,1.37181034307359,0.425591194601479,MHAS,low_vs_high_early_recovery,FALSE,unweighted,low_wealth_more_relapse
0.155065486008594,0.195026497613381,1.16773442886816,0.796772210808217,1.71140970765139,0.426555579949055,MHAS,low_vs_high_early_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
-0.0171570162718049,0.117611882215819,0.982989327197532,0.780612582452934,1.23783300334198,0.884017497081157,MHAS,low_vs_high_early_recovery,FALSE,exclude_explicit_proxy,low_wealth_less_relapse
-0.277890058722039,0.169864233964314,0.757380084271611,0.542903355555092,1.05658693427078,0.101849232657469,MHAS,low_vs_high_sustained_recovery,FALSE,primary,low_wealth_less_relapse
0.0694283989022123,0.156856754187834,1.07189530957617,0.78819414756996,1.45771134971466,0.658038483607847,MHAS,low_vs_high_sustained_recovery,FALSE,unweighted,low_wealth_more_relapse
0.0156217323802629,0.247491568999661,1.01574438951485,0.625338770771009,1.64988437156842,0.949670740684993,MHAS,low_vs_high_sustained_recovery,FALSE,interval_1_to_3_years,low_wealth_more_relapse
-0.277890058722039,0.169864233964314,0.757380084271611,0.542903355555092,1.05658693427078,0.101849232657469,MHAS,low_vs_high_sustained_recovery,FALSE,exclude_explicit_proxy,low_wealth_less_relapse
-0.260733042450235,0.206336349535762,0.770486579372002,0.514195216219125,1.15452176579446,0.206362441016379,MHAS,sustained_vs_early_modification,TRUE,primary,weaker_low_wealth_gradient_after_sustained_recovery
-0.0219398984797762,0.194237197849963,0.978299030543312,0.668549521756779,1.43156035868076,0.910066901829162,MHAS,sustained_vs_early_modification,FALSE,unweighted,weaker_low_wealth_gradient_after_sustained_recovery
-0.139443753628331,0.315412424112758,0.869841947281945,0.468765748768387,1.61407913278469,0.658417025804147,MHAS,sustained_vs_early_modification,FALSE,interval_1_to_3_years,weaker_low_wealth_gradient_after_sustained_recovery
-0.260733042450235,0.206336349535762,0.770486579372002,0.514195216219125,1.15452176579446,0.206362441016379,MHAS,sustained_vs_early_modification,TRUE,exclude_explicit_proxy,weaker_low_wealth_gradient_after_sustained_recovery
