cohort,variable,available,label
ELSA,r7beda,TRUE,r7beda:w7 R Some Diff-Get in/out bed
ELSA,r7toilta,TRUE,r7toilta:w7 R Some Diff-Using the toilet
ELSA,r7shopa,TRUE,r7shopa:w7 R Some Diff-Shop for grocery
ELSA,r7mealsa,TRUE,r7mealsa:w7 R Some Diff-Prepare hot meal
ELSA,r7medsa,TRUE,r7medsa:w7 R Some Diff-Take medications
ELSA,r7moneya,TRUE,r7moneya:w7 R Some Diff-Managing money
ELSA,h7atotb,TRUE,h7atotb:w7 total all assets inc. 2nd hm
ELSA,r7proxy,TRUE,r7proxy:w7 r whether proxy interview
ELSA,r7wtresp,TRUE,"r7wtresp:w7 r person-level cross-sectional weight, core sample"
ELSA,r7iwy,TRUE,r7iwy:w7 r individual interview year
ELSA,r7iwm,TRUE,r7iwm:w7 r individual interview month
ELSA,inw8,TRUE,inw8: =1 if respondent w8
ELSA,r8iwstat,TRUE,r8iwstat:w8 r interview status
ELSA,r8agey,TRUE,r8agey:w8 r age (years) at ivw
ELSA,r8dressa,TRUE,r8dressa:w8 R Some Diff-Dressing
ELSA,r8batha,TRUE,"r8batha:w8 R Some Diff-Bathing, shower"
ELSA,r8eata,TRUE,r8eata:w8 R Some Diff-Eating
ELSA,r8beda,TRUE,r8beda:w8 R Some Diff-Get in/out bed
ELSA,r8toilta,TRUE,r8toilta:w8 R Some Diff-Using the toilet
ELSA,r8shopa,TRUE,r8shopa:w8 R Some Diff-Shop for grocery
ELSA,r8mealsa,TRUE,r8mealsa:w8 R Some Diff-Prepare hot meal
ELSA,r8medsa,TRUE,r8medsa:w8 R Some Diff-Take medications
ELSA,r8moneya,TRUE,r8moneya:w8 R Some Diff-Managing money
ELSA,h8atotb,TRUE,h8atotb:w8 total all assets inc. 2nd hm
ELSA,r8proxy,TRUE,r8proxy:w8 r whether proxy interview
ELSA,r8wtresp,TRUE,"r8wtresp:w8 r person-level cross-sectional weight, core sample"
ELSA,r8iwy,TRUE,r8iwy:w8 r individual interview year
ELSA,r8iwm,TRUE,r8iwm:w8 r individual interview month
ELSA,inw9,TRUE,inw9: =1 if respondent w9
ELSA,r9iwstat,TRUE,r9iwstat:w9 r interview status
ELSA,r9agey,TRUE,r9agey:w9 r age (years) at ivw
ELSA,r9dressa,TRUE,r9dressa:w9 R Some Diff-Dressing
ELSA,r9batha,TRUE,"r9batha:w9 R Some Diff-Bathing, shower"
ELSA,r9eata,TRUE,r9eata:w9 R Some Diff-Eating
ELSA,r9beda,TRUE,r9beda:w9 R Some Diff-Get in/out bed
ELSA,r9toilta,TRUE,r9toilta:w9 R Some Diff-Using the toilet
ELSA,r9shopa,TRUE,r9shopa:w9 R Some Diff-Shop for grocery
ELSA,r9mealsa,TRUE,r9mealsa:w9 R Some Diff-Prepare hot meal
ELSA,r9medsa,TRUE,r9medsa:w9 R Some Diff-Take medications
ELSA,r9moneya,TRUE,r9moneya:w9 R Some Diff-Managing money
ELSA,h9atotb,TRUE,h9atotb:w9 total all assets inc. 2nd hm
ELSA,r9proxy,TRUE,r9proxy:w9 r whether proxy interview
ELSA,r9wtresp,TRUE,"r9wtresp:w9 r person-level cross-sectional weight, core sample"
ELSA,r9iwy,TRUE,r9iwy:w9 r individual interview year
ELSA,r9iwm,TRUE,r9iwm:w9 r individual interview month
ELSA,inw10,TRUE,inw10: =1 if respondent w10
ELSA,r10iwstat,TRUE,r10iwstat:w10 r interview status
ELSA,r10agey,TRUE,r10agey:w10 r age (years) at ivw
ELSA,r10dressa,TRUE,r10dressa:w10 R Some Diff-Dressing
ELSA,r10batha,TRUE,"r10batha:w10 R Some Diff-Bathing, shower"
ELSA,r10eata,TRUE,r10eata:w10 R Some Diff-Eating
ELSA,r10beda,TRUE,r10beda:w10 R Some Diff-Get in/out bed
ELSA,r10toilta,TRUE,r10toilta:w10 R Some Diff-Using the toilet
ELSA,r10shopa,TRUE,r10shopa:w10 R Some Diff-Shop for grocery
ELSA,r10mealsa,TRUE,r10mealsa:w10 R Some Diff-Prepare hot meal
ELSA,r10medsa,TRUE,r10medsa:w10 R Some Diff-Take medications
ELSA,r10moneya,TRUE,r10moneya:w10 R Some Diff-Managing money
ELSA,h10atotb,TRUE,h10atotb:w10 total all assets inc. 2nd hm
ELSA,r10proxy,TRUE,r10proxy:w10 r whether proxy interview
ELSA,r10wtresp,TRUE,"r10wtresp:w10 r person-level cross-sectional weight, core sample"
ELSA,r10iwy,TRUE,r10iwy:w10 r individual interview year
ELSA,r10iwm,TRUE,r10iwm:w10 r individual interview month
MHAS,rahhidnp,TRUE,RAHHIDNP: Unique Person Identifier (HH ID + Person Number)/ 7-Char
MHAS,ragender,TRUE,ragender: R Gender
MHAS,raeducl,TRUE,raeducl: R Harmonized Education
MHAS,radyear,TRUE,radyear: R Death Year
MHAS,radmonth,TRUE,radmonth: R Death Month
MHAS,inw1,TRUE,inw1: w1 Response Indicator
MHAS,r1iwstat,TRUE,r1iwstat: w1 R Interview Status
MHAS,r1agey,TRUE,r1agey: w1 R Age (years) at ivw
MHAS,r1dressa,TRUE,r1dressa: w1 R Some difficulty-Dressing
MHAS,r1batha,TRUE,r1batha: w1 R Some difficulty-Bathing or showering
MHAS,r1eata,TRUE,r1eata: w1 R Some difficulty-Eating
MHAS,r1beda,TRUE,r1beda: w1 R Some difficulty-Getting in/out of bed
MHAS,r1toilta,TRUE,r1toilta: w1 R Some difficulty-Using the toilet
MHAS,r1shopa,TRUE,r1shopa: w1 R Some difficulty-Shopping for groceries
MHAS,r1mealsa,TRUE,r1mealsa: w1 R Some difficulty-Preparing hot meals
MHAS,r1medsa,TRUE,r1medsa: w1 R Some difficulty-Taking medications
MHAS,r1moneya,TRUE,r1moneya: w1 R Some difficulty-Managing money
MHAS,h1atotb,TRUE,h1atotb:w1 total all assets inc. 2nd hm
MHAS,r1proxy,TRUE,r1proxy: w1 R Whether Proxy Interview
MHAS,r1wtresp,TRUE,r1wtresp: w1 R Person-Level Analysis Weight
MHAS,r1iwy,TRUE,r1iwy: w1 R Interview Year
MHAS,r1iwm,TRUE,r1iwm: w1 R Interview Month
MHAS,inw2,TRUE,inw2: w2 Response Indicator
MHAS,r2iwstat,TRUE,r2iwstat: w2 R Interview Status
MHAS,r2agey,TRUE,r2agey: w2 R Age (years) at ivw
MHAS,r2dressa,TRUE,r2dressa: w2 R Some difficulty-Dressing
MHAS,r2batha,TRUE,r2batha: w2 R Some difficulty-Bathing or showering
MHAS,r2eata,TRUE,r2eata: w2 R Some difficulty-Eating
MHAS,r2beda,TRUE,r2beda: w2 R Some difficulty-Getting in/out of bed
MHAS,r2toilta,TRUE,r2toilta: w2 R Some difficulty-Using the toilet
MHAS,r2shopa,TRUE,r2shopa: w2 R Some difficulty-Shopping for groceries
MHAS,r2mealsa,TRUE,r2mealsa: w2 R Some difficulty-Preparing hot meals
MHAS,r2medsa,TRUE,r2medsa: w2 R Some difficulty-Taking medications
MHAS,r2moneya,TRUE,r2moneya: w2 R Some difficulty-Managing money
MHAS,h2atotb,TRUE,h2atotb:w2 total all assets inc. 2nd hm
MHAS,r2proxy,TRUE,r2proxy: w3 R Whether Proxy Interview
MHAS,r2wtresp,TRUE,r2wtresp: w2 R Person-Level Analysis Weight
MHAS,r2iwy,TRUE,r2iwy: w2 R Interview Year
MHAS,r2iwm,TRUE,r2iwm: w2 R Interview Month
MHAS,inw3,TRUE,inw3: w3 Response Indicator
MHAS,r3iwstat,TRUE,r3iwstat: w3 R Interview Status
MHAS,r3agey,TRUE,r3agey: w3 R Age (years) at ivw
MHAS,r3dressa,TRUE,r3dressa: w3 R Some difficulty-Dressing
MHAS,r3batha,TRUE,r3batha: w3 R Some difficulty-Bathing or showering
MHAS,r3eata,TRUE,r3eata: w3 R Some difficulty-Eating
MHAS,r3beda,TRUE,r3beda: w3 R Some difficulty-Getting in/out of bed
MHAS,r3toilta,TRUE,r3toilta: w3 R Some difficulty-Using the toilet
MHAS,r3shopa,TRUE,r3shopa: w3 R Some difficulty-Shopping for groceries
MHAS,r3mealsa,TRUE,r3mealsa: w3 R Some difficulty-Preparing hot meals
MHAS,r3medsa,TRUE,r3medsa: w3 R Some difficulty-Taking medications
MHAS,r3moneya,TRUE,r3moneya: w3 R Some difficulty-Managing money
MHAS,h3atotb,TRUE,h3atotb:w3 total all assets inc. 2nd hm
MHAS,r3proxy,TRUE,r3proxy: w3 R Whether Proxy Interview
MHAS,r3wtresp,TRUE,r3wtresp: w3 R Person-Level Analysis Weight
MHAS,r3iwy,TRUE,r3iwy: w3 R Interview Year
MHAS,r3iwm,TRUE,r3iwm: w3 R Interview Month
MHAS,inw4,TRUE,inw4: w4 Response Indicator
MHAS,r4iwstat,TRUE,r4iwstat: w4 R Interview Status
MHAS,r4agey,TRUE,r4agey: w4 R Age (years) at ivw
MHAS,r4dressa,TRUE,r4dressa: w4 R Some difficulty-Dressing
MHAS,r4batha,TRUE,r4batha: w4 R Some difficulty-Bathing or showering
MHAS,r4eata,TRUE,r4eata: w4 R Some difficulty-Eating
MHAS,r4beda,TRUE,r4beda: w4 R Some difficulty-Getting in/out of bed
MHAS,r4toilta,TRUE,r4toilta: w4 R Some difficulty-Using the toilet
MHAS,r4shopa,TRUE,r4shopa: w4 R Some difficulty-Shopping for groceries
MHAS,r4mealsa,TRUE,r4mealsa: w4 R Some difficulty-Preparing hot meals
MHAS,r4medsa,TRUE,r4medsa: w4 R Some difficulty-Taking medications
MHAS,r4moneya,TRUE,r4moneya: w4 R Some difficulty-Managing money
MHAS,h4atotb,TRUE,h4atotb:w4 total all assets inc. 2nd hm
MHAS,r4proxy,TRUE,r4proxy: w4 R Whether Proxy Interview
MHAS,r4wtresp,TRUE,r4wtresp: w4 R Person-Level Analysis Weight
MHAS,r4iwy,TRUE,r4iwy: w4 R Interview Year
MHAS,r4iwm,TRUE,r4iwm: w4 R Interview Month
MHAS,inw5,TRUE,inw5: w5 Response Indicator
MHAS,r5iwstat,TRUE,r5iwstat: w5 R Interview Status
MHAS,r5agey,TRUE,r5agey: w5 R Age (years) at ivw
MHAS,r5dressa,TRUE,r5dressa: w5 R Some difficulty-Dressing
MHAS,r5batha,TRUE,r5batha: w5 R Some difficulty-Bathing or showering
MHAS,r5eata,TRUE,r5eata: w5 R Some difficulty-Eating
MHAS,r5beda,TRUE,r5beda: w5 R Some difficulty-Getting in/out of bed
MHAS,r5toilta,TRUE,r5toilta: w5 R Some difficulty-Using the toilet
MHAS,r5shopa,TRUE,r5shopa: w5 R Some difficulty-Shopping for groceries
MHAS,r5mealsa,TRUE,r5mealsa: w5 R Some difficulty-Preparing hot meals
MHAS,r5medsa,TRUE,r5medsa: w5 R Some difficulty-Taking medications
MHAS,r5moneya,TRUE,r5moneya: w5 R Some difficulty-Managing money
MHAS,h5atotb,TRUE,h5atotb:w5 total all assets inc. 2nd hm
MHAS,r5proxy,TRUE,r5proxy: w5 R Whether Proxy Interview
MHAS,r5wtresp,TRUE,r5wtresp: w5 R Person-Level Analysis Weight
MHAS,r5iwy,TRUE,r5iwy: w5 R Interview Year
MHAS,r5iwm,TRUE,r5iwm: w5 R Interview Month
MHAS,inw6,TRUE,inw6: w6 Response Indicator
MHAS,r6iwstat,TRUE,r6iwstat: w6 R Interview Status
MHAS,r6agey,TRUE,r6agey: w6 R Age (years) at ivw
MHAS,r6dressa,TRUE,r6dressa: w6 R Some difficulty-Dressing
MHAS,r6batha,TRUE,r6batha: w6 R Some difficulty-Bathing or showering
MHAS,r6eata,TRUE,r6eata: w6 R Some difficulty-Eating
MHAS,r6beda,TRUE,r6beda: w6 R Some difficulty-Getting in/out of bed
MHAS,r6toilta,TRUE,r6toilta: w6 R Some difficulty-Using the toilet
MHAS,r6shopa,TRUE,r6shopa: w6 R Some difficulty-Shopping for groceries
MHAS,r6mealsa,TRUE,r6mealsa: w6 R Some difficulty-Preparing hot meals
MHAS,r6medsa,TRUE,r6medsa: w6 R Some difficulty-Taking medications
MHAS,r6moneya,TRUE,r6moneya: w6 R Some difficulty-Managing money
MHAS,h6atotb,TRUE,h6atotb:w6 total all assets inc. 2nd hm
MHAS,r6proxy,TRUE,r6proxy: w6 R Whether Proxy Interview
MHAS,r6wtresp,TRUE,r6wtresp: w6 R Person-Level Analysis Weight
MHAS,r6iwy,TRUE,r6iwy: w6 R Interview Year
MHAS,r6iwm,TRUE,r6iwm: w6 R Interview Month
ELSA,idauniq,TRUE,Cross-wave identifier
ELSA,iintdatm,TRUE,Interview month
ELSA,iintdaty,TRUE,Interview year
ELSA,indager,TRUE,"(D) Definitive age variable collapsed at 90+: priority diag, dhage"
ELSA,diint,TRUE,Person number of proxy respondent
ELSA,w11xwgt,TRUE,Wave 11 cross-sectional weight
ELSA,headldr,TRUE,"ADL: difficulty dressing, including putting on shoes and socks"
ELSA,headlba,TRUE,ADL: difficulty bathing or showering
ELSA,headlea,TRUE,"ADL: difficulty eating, such as cutting up food"
ELSA,headlbe,TRUE,ADL: difficulty getting in and out of bed
ELSA,headlwc,TRUE,"ADL: difficulty using the toilet, including getting up or down"
ELSA,headlsh,TRUE,IADL: difficulty shopping for groceries
ELSA,headlpr,TRUE,IADL: difficulty preparing a hot meal
ELSA,headlme,TRUE,IADL: difficulty taking medications
ELSA,headlmo,TRUE,"IADL: difficulty managing money, e.g. paying bills, keeping track of expenses"
ELSA,idauniq,TRUE,Unique individual serial number
ELSA,wave,TRUE,Most recent productive ELSA wave for deceased
ELSA,eidatey,TRUE,Year of death
ELSA,dveidates,TRUE,(D) Season of death (recoded for non-disclosure)
CHARLS,w5_sample:ID,TRUE,Individual ID
CHARLS,w5_sample:died,TRUE,Whether Individual Died
CHARLS,w5_sample:iyear,TRUE,Interview Year
CHARLS,w5_sample:imonth,TRUE,Interview Month
CHARLS,w5_health:ID,TRUE,Individual ID
CHARLS,w5_health:proxy,TRUE,Proxy
CHARLS,w5_health:db001,TRUE,Difficulty with Dressing
CHARLS,w5_health:db003,TRUE,Difficulty with Bathing or Showering
CHARLS,w5_health:db005,TRUE,Difficulty with Eating
CHARLS,w5_health:db007,TRUE,Difficulty with Getting into or out of Bed
CHARLS,w5_health:db009,TRUE,Difficulty with Using the Toilet
CHARLS,w5_health:db016,TRUE,Difficulty with Shopping for Groceries
CHARLS,w5_health:db014,TRUE,Difficulty with Preparing Hot Meals
CHARLS,w5_health:db020,TRUE,Difficulty with Taking Medications
CHARLS,w5_health:db022,TRUE,Difficulty with Managing Money
CHARLS,w5_weight:ID,TRUE,Individual ID
CHARLS,w5_weight:INDV_weight,TRUE,Individual Base Weight
CHARLS,w5_exit:ID,TRUE,Individual ID
CHARLS,w5_exit:exb001_1,TRUE,Year of Death
CHARLS,w5_exit:exb001_2,TRUE,Month of Death
CHARLS,w5_exit:exb002,TRUE,Solar Calendar or Lunar Calendar
