cohort,wave,variable,n,missing_n,missing_percent
HRS,9,shopa,17217,525,3.04931172678167
HRS,10,shopa,22034,509,2.31006626123264
HRS,11,shopa,20554,333,1.62012260387273
HRS,12,shopa,18747,298,1.58958766736011
HRS,13,shopa,20912,326,1.55891354246366
HRS,16,shopa,15856,262,1.65237134207871
HRS,14,shopa,17146,242,1.4114079085501
HRS,15,shopa,15723,319,2.02887489664822
MHAS,1,shopa,15186,1484,9.77215856710128
MHAS,2,shopa,13704,1443,10.5297723292469
MHAS,3,shopa,15723,1528,9.71824715385105
MHAS,4,shopa,14779,1254,8.48501251776169
MHAS,5,shopa,17114,1545,9.02769662264812
MHAS,6,shopa,15739,1158,7.35751953745473
CHARLS,1,mealsa,17708,172,0.97131240117461
CHARLS,2,mealsa,18612,304,1.63335482484419
CHARLS,3,mealsa,21097,251,1.18974261743376
CHARLS,4,mealsa,19816,95,0.479410577311264
CHARLS,5,mealsa,19395,48,0.247486465583913
ELSA,2,mealsa,9432,3,0.0318066157760814
ELSA,3,mealsa,9766,4,0.0409584271963957
ELSA,4,mealsa,11050,9,0.081447963800905
ELSA,5,mealsa,10274,8,0.077866459022776
ELSA,7,mealsa,9666,2,0.0206910821435961
ELSA,9,mealsa,8736,5,0.0572344322344322
ELSA,6,mealsa,10601,5,0.0471653617583247
ELSA,8,mealsa,8445,2,0.0236826524570752
ELSA,10,mealsa,7589,2,0.0263539333245487
ELSA,11,mealsa,7842,6,0.0765110941086457
ELSA,1,mealsa,12099,191,1.57864286304653
HRS,2,mealsa,19642,11857,60.3655432237043
HRS,3,mealsa,17991,977,5.43049302428992
HRS,4,mealsa,21384,1093,5.11129816685372
HRS,5,mealsa,19578,1074,5.48574931045051
HRS,6,mealsa,18165,1011,5.56564822460776
HRS,7,mealsa,20129,1028,5.10705946644145
HRS,8,mealsa,18469,833,4.51026043640695
HRS,9,mealsa,17217,744,4.32131033281059
HRS,10,mealsa,22034,686,3.11337024598348
HRS,11,mealsa,20554,510,2.48126885277805
HRS,12,mealsa,18747,399,2.12834053448552
HRS,13,mealsa,20912,422,2.01798010711553
HRS,16,mealsa,15856,287,1.81004036326942
HRS,14,mealsa,17146,319,1.86049224308877
HRS,15,mealsa,15723,300,1.90803281816447
MHAS,1,mealsa,15186,1843,12.1361780587383
MHAS,2,mealsa,13704,1790,13.0618797431407
MHAS,3,mealsa,15723,1918,12.1986898174649
MHAS,4,mealsa,14779,1498,10.1360037891603
MHAS,5,mealsa,17114,1751,10.2313895056679
MHAS,6,mealsa,15739,1373,8.7235529576212
CHARLS,1,medsa,17708,187,1.05601987802123
CHARLS,2,medsa,18612,270,1.45067698259188
CHARLS,3,medsa,21097,235,1.11390245058539
CHARLS,4,medsa,19816,95,0.479410577311264
CHARLS,5,medsa,19395,48,0.247486465583913
ELSA,2,medsa,9432,3,0.0318066157760814
ELSA,3,medsa,9766,4,0.0409584271963957
ELSA,4,medsa,11050,9,0.081447963800905
ELSA,5,medsa,10274,8,0.077866459022776
ELSA,7,medsa,9666,2,0.0206910821435961
ELSA,9,medsa,8736,5,0.0572344322344322
ELSA,6,medsa,10601,5,0.0471653617583247
ELSA,8,medsa,8445,2,0.0236826524570752
ELSA,10,medsa,7589,2,0.0263539333245487
ELSA,11,medsa,7842,6,0.0765110941086457
ELSA,1,medsa,12099,191,1.57864286304653
HRS,2,medsa,19642,225,1.14550453110681
HRS,3,medsa,17991,1281,7.1202267800567
HRS,4,medsa,21384,64,0.299289188178077
HRS,5,medsa,19578,44,0.22474205741138
HRS,6,medsa,18165,19,0.104596751995596
HRS,7,medsa,20129,56,0.278205574047394
HRS,8,medsa,18469,19,0.102875087985273
HRS,9,medsa,17217,17,0.0987396178195969
HRS,10,medsa,22034,173,0.785150222383589
HRS,11,medsa,20554,40,0.194609321786514
HRS,12,medsa,18747,45,0.240038406144983
HRS,13,medsa,20912,70,0.334736036725325
HRS,16,medsa,15856,91,0.573915237134208
HRS,14,medsa,17146,63,0.367432637349819
HRS,15,medsa,15723,102,0.648731158175921
MHAS,1,medsa,15186,1159,7.63202950085605
MHAS,2,medsa,13704,1239,9.04115586690017
MHAS,3,medsa,15723,1447,9.20307829294664
MHAS,4,medsa,14779,1160,7.84897489681305
MHAS,5,medsa,17114,1422,8.3089867944373
MHAS,6,medsa,15739,1073,6.81745981320287
CHARLS,1,moneya,17708,206,1.16331601536029
CHARLS,2,moneya,18612,369,1.9825918762089
CHARLS,3,moneya,21097,313,1.48362326397118
CHARLS,4,moneya,19816,95,0.479410577311264
CHARLS,5,moneya,19395,48,0.247486465583913
ELSA,2,moneya,9432,3,0.0318066157760814
ELSA,3,moneya,9766,4,0.0409584271963957
ELSA,4,moneya,11050,9,0.081447963800905
ELSA,5,moneya,10274,8,0.077866459022776
ELSA,7,moneya,9666,2,0.0206910821435961
ELSA,9,moneya,8736,5,0.0572344322344322
ELSA,6,moneya,10601,5,0.0471653617583247
ELSA,8,moneya,8445,2,0.0236826524570752
ELSA,10,moneya,7589,2,0.0263539333245487
ELSA,11,moneya,7842,6,0.0765110941086457
ELSA,1,moneya,12099,191,1.57864286304653
HRS,2,moneya,19642,778,3.96090011200489
HRS,3,moneya,17991,569,3.16269245733978
HRS,4,moneya,21384,640,2.99289188178077
HRS,5,moneya,19578,638,3.25875983246501
HRS,6,moneya,18165,581,3.19845857418112
HRS,7,moneya,20129,742,3.68622385612797
HRS,8,moneya,18469,697,3.773891385565
HRS,9,moneya,17217,635,3.68821513620259
HRS,10,moneya,22034,732,3.32213851320686
HRS,11,moneya,20554,517,2.51532548409069
HRS,12,moneya,18747,472,2.51773617112071
HRS,13,moneya,20912,457,2.18534812547819
HRS,16,moneya,15856,328,2.0686175580222
HRS,14,moneya,17146,376,2.19293129592908
HRS,15,moneya,15723,330,2.09883609998092
MHAS,1,moneya,15186,1174,7.73080468852891
MHAS,2,moneya,13704,1219,8.89521307647402
MHAS,3,moneya,15723,1324,8.42078483749921
MHAS,4,moneya,14779,1040,7.03701197645308
MHAS,5,moneya,17114,1394,8.14537805305598
MHAS,6,moneya,15739,839,5.33070716055658
