source_role,ids,overlap_prior_ids,percent_source_ids_in_prior,prior_ids_captured,percent_prior_ids_captured
working,19395,19108,98.5202371745295,19108,74.6814664269522
temp,20180,19884,98.5332011892963,19884,77.7143750488549
health,19367,19086,98.5490783291166,19086,74.5954819041663
sample,20180,19884,98.5332011892963,19884,77.7143750488549
weights,17364,17231,99.2340474545036,17231,67.3454232783554
exit,770,762,98.961038961039,762,2.97819119831158
combined,20180,19884,98.5332011892963,19884,77.7143750488549
