cohort,exposure,block,reproduced_contribution,frozen_contribution,abs_difference
CHARLS,education,onset,-3.42965847665815,-3.42965847665814,4.88498130835069e-15
CHARLS,education,post_disability_mortality,-0.377345477468456,-0.377345477468457,7.21644966006352e-16
CHARLS,education,pre_disability_mortality,-0.482554389661149,-0.482554389661146,2.99760216648792e-15
CHARLS,education,recovery,-0.946923212695706,-0.946923212695705,5.55111512312578e-16
CHARLS,education,relapse,-0.787905496075795,-0.787905496075794,1.11022302462516e-15
CHARLS,wealth,onset,-2.21318727906642,-2.21318727906642,1.77635683940025e-15
CHARLS,wealth,post_disability_mortality,-0.386064670617423,-0.386064670617423,5.55111512312578e-17
CHARLS,wealth,pre_disability_mortality,-0.0818257016266717,-0.0818257016266741,2.38697950294409e-15
CHARLS,wealth,recovery,-0.885759853060152,-0.88575985306015,2.1094237467878e-15
CHARLS,wealth,relapse,-0.189084449918607,-0.189084449918607,3.88578058618805e-16
ELSA,education,onset,-1.99509584067466,-1.99509584067465,1.04360964314765e-14
ELSA,education,post_disability_mortality,-0.339414216938303,-0.339414216938302,1.11022302462516e-15
ELSA,education,pre_disability_mortality,-0.774731671626548,-0.77473167162655,2.44249065417534e-15
ELSA,education,recovery,-0.713618029837659,-0.713618029837661,1.66533453693773e-15
ELSA,education,relapse,-0.647740276372858,-0.647740276372859,6.66133814775094e-16
ELSA,wealth,onset,-2.91469928271264,-2.91469928271265,5.77315972805081e-15
ELSA,wealth,post_disability_mortality,-0.473769205886957,-0.473769205886957,2.22044604925031e-16
ELSA,wealth,pre_disability_mortality,-0.940185372261085,-0.940185372261087,2.1094237467878e-15
ELSA,wealth,recovery,-0.916159834013938,-0.916159834013937,5.55111512312578e-16
ELSA,wealth,relapse,-0.552514405408399,-0.552514405408399,2.22044604925031e-16
HRS,education,onset,-2.74259913915255,-2.74259913915256,6.66133814775094e-15
HRS,education,post_disability_mortality,-0.137438920689443,-0.137438920689443,3.60822483003176e-16
HRS,education,pre_disability_mortality,-1.29900380191075,-1.29900380191074,1.15463194561016e-14
HRS,education,recovery,-0.811680355041136,-0.811680355041137,1.55431223447522e-15
HRS,education,relapse,-0.489656712573153,-0.489656712573153,1.11022302462516e-16
HRS,wealth,onset,-2.65925514948893,-2.65925514948893,2.66453525910038e-15
HRS,wealth,post_disability_mortality,-0.24770105315682,-0.247701053156821,1.36002320516582e-15
HRS,wealth,pre_disability_mortality,-1.60981544407172,-1.60981544407172,3.99680288865056e-15
HRS,wealth,recovery,-0.876736861635161,-0.876736861635161,4.44089209850063e-16
HRS,wealth,relapse,-0.365722469230328,-0.365722469230331,2.55351295663786e-15
MHAS,education,onset,-2.41436328648564,-2.41436328648563,8.43769498715119e-15
MHAS,education,post_disability_mortality,-0.152760597345936,-0.152760597345936,3.05311331771918e-16
MHAS,education,pre_disability_mortality,0.0389738716838748,0.0389738716838695,5.34294830600857e-15
MHAS,education,recovery,-0.510895939411164,-0.510895939411163,5.55111512312578e-16
MHAS,education,relapse,-0.253215571940866,-0.253215571940866,3.88578058618805e-16
MHAS,wealth,onset,-0.93314002472769,-0.933140024727684,6.21724893790088e-15
MHAS,wealth,post_disability_mortality,-0.0275699025810603,-0.0275699025810594,9.05525654459893e-16
MHAS,wealth,pre_disability_mortality,-0.712086628994242,-0.712086628994241,5.55111512312578e-16
MHAS,wealth,recovery,-0.0546100543312212,-0.0546100543312221,9.5062846483529e-16
MHAS,wealth,relapse,0.214309659028475,0.214309659028474,5.55111512312578e-16
