sensitivity,cohort,exposure,ses,V5
unweighted,HRS,wealth,low,0.0268475530239
unweighted,MHAS,education,high,26.1409900143088
unweighted,MHAS,education,high,19.8193682061551
unweighted,MHAS,education,high,6.32162180815376
unweighted,MHAS,education,high,0.126399476155914
unweighted,MHAS,education,low,22.6347960771681
unweighted,MHAS,education,low,15.7816940037002
unweighted,MHAS,education,low,6.85310207346786
unweighted,MHAS,education,low,0.0471406827631093
unweighted,MHAS,wealth,high,24.039841893056
unweighted,MHAS,wealth,high,17.0875548541047
unweighted,MHAS,wealth,high,6.95228703895132
unweighted,MHAS,wealth,high,0.0709343496654677
unweighted,MHAS,wealth,low,21.8967168423057
unweighted,MHAS,wealth,low,15.1173839710838
unweighted,MHAS,wealth,low,6.77933287122191
unweighted,MHAS,wealth,low,0.0361427944887955
interval_1_to_3_years,CHARLS,education,high,26.4425044562843
interval_1_to_3_years,CHARLS,education,high,19.4172708860435
interval_1_to_3_years,CHARLS,education,high,7.02523357024074
interval_1_to_3_years,CHARLS,education,high,0.11574273772824
interval_1_to_3_years,CHARLS,education,low,23.7150528329932
interval_1_to_3_years,CHARLS,education,low,13.6558913213073
interval_1_to_3_years,CHARLS,education,low,10.0591615116859
interval_1_to_3_years,CHARLS,education,low,0.051769783150381
interval_1_to_3_years,CHARLS,wealth,high,29.9058210934039
interval_1_to_3_years,CHARLS,wealth,high,18.0897889007293
interval_1_to_3_years,CHARLS,wealth,high,11.8160321926746
interval_1_to_3_years,CHARLS,wealth,high,0.281321557803518
interval_1_to_3_years,CHARLS,wealth,low,27.2001172577865
interval_1_to_3_years,CHARLS,wealth,low,14.3198799165706
interval_1_to_3_years,CHARLS,wealth,low,12.8802373412159
interval_1_to_3_years,CHARLS,wealth,low,0.167401040439921
interval_1_to_3_years,ELSA,education,high,27.0233732942483
interval_1_to_3_years,ELSA,education,high,21.4193152663215
interval_1_to_3_years,ELSA,education,high,5.60405802792675
interval_1_to_3_years,ELSA,education,high,0.0547637420137152
interval_1_to_3_years,ELSA,education,low,23.7469432699562
interval_1_to_3_years,ELSA,education,low,16.8285842647278
interval_1_to_3_years,ELSA,education,low,6.91835900522841
interval_1_to_3_years,ELSA,education,low,0.0117793647480577
interval_1_to_3_years,ELSA,wealth,high,27.1185927481649
interval_1_to_3_years,ELSA,wealth,high,21.1650289007218
interval_1_to_3_years,ELSA,wealth,high,5.95356384744311
interval_1_to_3_years,ELSA,wealth,high,0.0508707342958386
interval_1_to_3_years,ELSA,wealth,low,22.5557001841411
interval_1_to_3_years,ELSA,wealth,low,15.3203493913037
interval_1_to_3_years,ELSA,wealth,low,7.23535079283739
interval_1_to_3_years,ELSA,wealth,low,0.00420607679622956
interval_1_to_3_years,HRS,education,high,30.9963511802309
interval_1_to_3_years,HRS,education,high,24.1583409183431
interval_1_to_3_years,HRS,education,high,6.83801026188779
interval_1_to_3_years,HRS,education,high,0.255124980450453
interval_1_to_3_years,HRS,education,low,27.695998753219
interval_1_to_3_years,HRS,education,low,18.1480872047946
interval_1_to_3_years,HRS,education,low,9.54791154842439
interval_1_to_3_years,HRS,education,low,0.151099486572645
interval_1_to_3_years,HRS,wealth,high,30.7214049488048
interval_1_to_3_years,HRS,wealth,high,23.7510233567185
interval_1_to_3_years,HRS,wealth,high,6.97038159208632
interval_1_to_3_years,HRS,wealth,high,0.241188315234885
interval_1_to_3_years,HRS,wealth,low,26.457445219097
interval_1_to_3_years,HRS,wealth,low,17.6708151668306
interval_1_to_3_years,HRS,wealth,low,8.78663005226643
interval_1_to_3_years,HRS,wealth,low,0.110754126965212
interval_1_to_3_years,MHAS,education,high,20.9107379521362
interval_1_to_3_years,MHAS,education,high,16.9344782870888
interval_1_to_3_years,MHAS,education,high,3.97625966504732
interval_1_to_3_years,MHAS,education,high,0.0240239500459203
interval_1_to_3_years,MHAS,education,low,20.2968337136645
interval_1_to_3_years,MHAS,education,low,15.0628499468654
interval_1_to_3_years,MHAS,education,low,5.23398376679919
interval_1_to_3_years,MHAS,education,low,0.0143808055514759
interval_1_to_3_years,MHAS,wealth,high,20.8655747482214
interval_1_to_3_years,MHAS,wealth,high,16.1464618387028
interval_1_to_3_years,MHAS,wealth,high,4.71911290951861
interval_1_to_3_years,MHAS,wealth,high,0.0160933382039198
interval_1_to_3_years,MHAS,wealth,low,19.4880853810479
interval_1_to_3_years,MHAS,wealth,low,14.1711933653305
interval_1_to_3_years,MHAS,wealth,low,5.31689201571743
interval_1_to_3_years,MHAS,wealth,low,0.0103175453120811
exclude_explicit_proxy,CHARLS,education,high,26.2054788639503
exclude_explicit_proxy,CHARLS,education,high,19.488308458845
exclude_explicit_proxy,CHARLS,education,high,6.71717040510534
exclude_explicit_proxy,CHARLS,education,high,0.111319386742212
exclude_explicit_proxy,CHARLS,education,low,23.1459551085901
exclude_explicit_proxy,CHARLS,education,low,13.4639214062857
exclude_explicit_proxy,CHARLS,education,low,9.68203370230432
exclude_explicit_proxy,CHARLS,education,low,0.0462826121170921
exclude_explicit_proxy,CHARLS,wealth,high,29.6095141035229
exclude_explicit_proxy,CHARLS,wealth,high,18.0556596466492
exclude_explicit_proxy,CHARLS,wealth,high,11.5538544568737
exclude_explicit_proxy,CHARLS,wealth,high,0.251768719096265
exclude_explicit_proxy,CHARLS,wealth,low,26.9423545874029
exclude_explicit_proxy,CHARLS,wealth,low,14.29973769236
exclude_explicit_proxy,CHARLS,wealth,low,12.6426168950429
exclude_explicit_proxy,CHARLS,wealth,low,0.145405180561634
exclude_explicit_proxy,ELSA,education,high,27.1619015156012
exclude_explicit_proxy,ELSA,education,high,21.5738074740046
exclude_explicit_proxy,ELSA,education,high,5.58809404159666
exclude_explicit_proxy,ELSA,education,high,0.0609262243656561
exclude_explicit_proxy,ELSA,education,low,23.95181048899
exclude_explicit_proxy,ELSA,education,low,17.060180359672
exclude_explicit_proxy,ELSA,education,low,6.89163012931798
exclude_explicit_proxy,ELSA,education,low,0.0121104981365988
exclude_explicit_proxy,ELSA,wealth,high,27.5599389533588
exclude_explicit_proxy,ELSA,wealth,high,21.473336220567
exclude_explicit_proxy,ELSA,wealth,high,6.08660273279183
exclude_explicit_proxy,ELSA,wealth,high,0.0665358843636395
exclude_explicit_proxy,ELSA,wealth,low,22.6225749890696
exclude_explicit_proxy,ELSA,wealth,low,15.5612414529516
exclude_explicit_proxy,ELSA,wealth,low,7.06133353611804
exclude_explicit_proxy,ELSA,wealth,low,0.00399532653367304
exclude_explicit_proxy,HRS,education,high,27.8869682714146
exclude_explicit_proxy,HRS,education,high,22.414301296786
exclude_explicit_proxy,HRS,education,high,5.47266697462857
exclude_explicit_proxy,HRS,education,high,0.120889599627278
exclude_explicit_proxy,HRS,education,low,23.3856868879983
exclude_explicit_proxy,HRS,education,low,16.710486359406
exclude_explicit_proxy,HRS,education,low,6.67520052859224
exclude_explicit_proxy,HRS,education,low,0.0345083858132041
exclude_explicit_proxy,HRS,wealth,high,27.4597433919154
exclude_explicit_proxy,HRS,wealth,high,22.0720073534563
exclude_explicit_proxy,HRS,wealth,high,5.38773603845905
exclude_explicit_proxy,HRS,wealth,high,0.103041492240571
exclude_explicit_proxy,HRS,wealth,low,22.4122877199555
exclude_explicit_proxy,HRS,wealth,low,16.1793099721053
exclude_explicit_proxy,HRS,wealth,low,6.23297774785018
exclude_explicit_proxy,HRS,wealth,low,0.0230212709973592
exclude_explicit_proxy,MHAS,education,high,24.4548603859997
exclude_explicit_proxy,MHAS,education,high,19.4100177204417
exclude_explicit_proxy,MHAS,education,high,5.04484266555802
exclude_explicit_proxy,MHAS,education,high,0.087477820467705
exclude_explicit_proxy,MHAS,education,low,23.2123792010922
exclude_explicit_proxy,MHAS,education,low,16.117756196942
exclude_explicit_proxy,MHAS,education,low,7.09462300415016
exclude_explicit_proxy,MHAS,education,low,0.0653082703329468
exclude_explicit_proxy,MHAS,wealth,high,24.0163916497398
exclude_explicit_proxy,MHAS,wealth,high,17.116528873977
