sensitivity,cohort,exposure,process,finite_hazards,max_annual_hazard,p99_annual_hazard,hazards_gt_10,hazards_gt_100
unweighted,HRS,wealth,death_pre,80,0.179907594003936,0.179907594003936,0,0
unweighted,HRS,wealth,onset,80,0.290019986484667,0.290019986484667,0,0
unweighted,HRS,wealth,recovery,160,0.31752852706078,0.309351112952031,0,0
unweighted,HRS,wealth,relapse,80,0.310125267484096,0.310125267484096,0,0
unweighted,MHAS,education,death_post,240,0.187695468698786,0.184850337872231,0,0
unweighted,MHAS,education,death_pre,80,0.341259934575307,0.341259934575307,0,0
unweighted,MHAS,education,onset,80,0.27257852226729,0.27257852226729,0,0
unweighted,MHAS,education,recovery,160,0.342858597036907,0.317247289948269,0,0
unweighted,MHAS,education,relapse,80,0.592693328615923,0.592693328615923,0,0
unweighted,MHAS,wealth,death_post,240,0.201753816694071,0.198732299239595,0,0
unweighted,MHAS,wealth,death_pre,80,0.368042621450292,0.368042621450292,0,0
unweighted,MHAS,wealth,onset,80,0.295335710548727,0.295335710548727,0,0
unweighted,MHAS,wealth,recovery,160,0.321857890915738,0.304037598567902,0,0
unweighted,MHAS,wealth,relapse,80,0.601193300632295,0.601193300632295,0,0
interval_1_to_3_years,CHARLS,education,death_post,240,0.311602033545256,0.311602033545256,0,0
interval_1_to_3_years,CHARLS,education,death_pre,80,0.0653529426502659,0.0650151423138334,0,0
interval_1_to_3_years,CHARLS,education,onset,80,0.227360633707845,0.227302584534117,0,0
interval_1_to_3_years,CHARLS,education,recovery,160,0.383632760728111,0.37102285620567,0,0
interval_1_to_3_years,CHARLS,education,relapse,80,0.275556534207473,0.274889827717056,0,0
interval_1_to_3_years,CHARLS,wealth,death_post,240,0.116219300874323,0.116219300874323,0,0
interval_1_to_3_years,CHARLS,wealth,death_pre,80,0.0341046244601127,0.0341046244601127,0,0
interval_1_to_3_years,CHARLS,wealth,onset,80,0.285921372417111,0.285679691271295,0,0
interval_1_to_3_years,CHARLS,wealth,recovery,160,0.292663562306746,0.28851552639741,0,0
interval_1_to_3_years,CHARLS,wealth,relapse,80,0.380784049536289,0.380784049536289,0,0
interval_1_to_3_years,ELSA,education,death_post,240,0.52342262252123,0.52342262252123,0,0
interval_1_to_3_years,ELSA,education,death_pre,80,0.0981010645397058,0.0976603427810976,0,0
interval_1_to_3_years,ELSA,education,onset,80,0.529794832692021,0.529794832692021,0,0
interval_1_to_3_years,ELSA,education,recovery,160,0.289879168896148,0.285060449534866,0,0
interval_1_to_3_years,ELSA,education,relapse,80,0.87391564811477,0.87391564811477,0,0
interval_1_to_3_years,ELSA,wealth,death_post,240,0.586643341241268,0.586643341241268,0,0
interval_1_to_3_years,ELSA,wealth,death_pre,80,0.11053866998834,0.110516485890949,0,0
interval_1_to_3_years,ELSA,wealth,onset,80,0.483207581073432,0.483207581073432,0,0
interval_1_to_3_years,ELSA,wealth,recovery,160,0.320821188298275,0.313346289066749,0,0
interval_1_to_3_years,ELSA,wealth,relapse,80,1.33377980881703,1.33377980881703,0,0
interval_1_to_3_years,HRS,education,death_post,240,0.16391961776124,0.16391961776124,0,0
interval_1_to_3_years,HRS,education,death_pre,80,0.113309960437511,0.113309960437511,0,0
interval_1_to_3_years,HRS,education,onset,80,0.268766731970217,0.268766731970217,0,0
interval_1_to_3_years,HRS,education,recovery,160,0.273034197160791,0.272723612191324,0,0
interval_1_to_3_years,HRS,education,relapse,80,0.422720247678376,0.422720247678376,0,0
interval_1_to_3_years,HRS,wealth,death_post,240,0.186611967827085,0.186611967827085,0,0
interval_1_to_3_years,HRS,wealth,death_pre,80,0.149854217508528,0.149854217508528,0,0
interval_1_to_3_years,HRS,wealth,onset,80,0.304428413008842,0.304428413008842,0,0
interval_1_to_3_years,HRS,wealth,recovery,160,0.313080160303513,0.310830332325864,0,0
interval_1_to_3_years,HRS,wealth,relapse,80,0.418231145946927,0.418231145946927,0,0
interval_1_to_3_years,MHAS,education,death_post,240,0.422880653358723,0.400224951576518,0,0
interval_1_to_3_years,MHAS,education,death_pre,80,0.564043022960994,0.564043022960994,0,0
interval_1_to_3_years,MHAS,education,onset,80,0.11901006908898,0.11901006908898,0,0
interval_1_to_3_years,MHAS,education,recovery,160,0.467966218890589,0.4089339544103,0,0
interval_1_to_3_years,MHAS,education,relapse,80,0.647914284504405,0.647914284504405,0,0
interval_1_to_3_years,MHAS,wealth,death_post,240,0.42941925263543,0.421579662261794,0,0
interval_1_to_3_years,MHAS,wealth,death_pre,80,0.519370835060523,0.519370835060523,0,0
interval_1_to_3_years,MHAS,wealth,onset,80,0.127397927700035,0.127397927700035,0,0
interval_1_to_3_years,MHAS,wealth,recovery,160,0.396430011817076,0.377830109677821,0,0
interval_1_to_3_years,MHAS,wealth,relapse,80,0.758199559140809,0.758199559140809,0,0
exclude_explicit_proxy,CHARLS,education,death_post,240,0.33404317299133,0.33404317299133,0,0
exclude_explicit_proxy,CHARLS,education,death_pre,80,0.0749015679067151,0.0749015679067151,0,0
exclude_explicit_proxy,CHARLS,education,onset,80,0.222017230929537,0.221481677562689,0,0
exclude_explicit_proxy,CHARLS,education,recovery,160,0.394166265122263,0.37878549663859,0,0
exclude_explicit_proxy,CHARLS,education,relapse,80,0.275413020320196,0.274789612877088,0,0
exclude_explicit_proxy,CHARLS,wealth,death_post,240,0.131335186946065,0.131335186946065,0,0
exclude_explicit_proxy,CHARLS,wealth,death_pre,80,0.0337863465257893,0.0337863465257893,0,0
exclude_explicit_proxy,CHARLS,wealth,onset,80,0.287600323516467,0.28683909295933,0,0
exclude_explicit_proxy,CHARLS,wealth,recovery,160,0.29525787028197,0.290398481181396,0,0
exclude_explicit_proxy,CHARLS,wealth,relapse,80,0.37952590401818,0.37952590401818,0,0
exclude_explicit_proxy,ELSA,education,death_post,240,0.524567268171241,0.524567268171241,0,0
exclude_explicit_proxy,ELSA,education,death_pre,80,0.0968376865769366,0.0958420408804163,0,0
exclude_explicit_proxy,ELSA,education,onset,80,0.352993629431864,0.352993629431864,0,0
exclude_explicit_proxy,ELSA,education,recovery,160,0.280498851483324,0.273595959044242,0,0
exclude_explicit_proxy,ELSA,education,relapse,80,0.795080467094129,0.795080467094129,0,0
exclude_explicit_proxy,ELSA,wealth,death_post,240,0.606963235623718,0.606963235623718,0,0
exclude_explicit_proxy,ELSA,wealth,death_pre,80,0.107476908111619,0.107311662400357,0,0
exclude_explicit_proxy,ELSA,wealth,onset,80,0.277521560851661,0.277521560851661,0,0
exclude_explicit_proxy,ELSA,wealth,recovery,160,0.319116100832879,0.308818515453417,0,0
exclude_explicit_proxy,ELSA,wealth,relapse,80,1.26876025464881,1.26876025464881,0,0
exclude_explicit_proxy,HRS,education,death_post,240,0.308796858648486,0.308796858648486,0,0
exclude_explicit_proxy,HRS,education,death_pre,80,0.176943813714229,0.176943813714229,0,0
exclude_explicit_proxy,HRS,education,onset,80,0.266359889992665,0.266359889992665,0,0
exclude_explicit_proxy,HRS,education,recovery,160,0.272695512864726,0.27254234882512,0,0
exclude_explicit_proxy,HRS,education,relapse,80,0.409447019839439,0.409447019839439,0,0
exclude_explicit_proxy,HRS,wealth,death_post,240,0.339999599762944,0.339999599762944,0,0
exclude_explicit_proxy,HRS,wealth,death_pre,80,0.22500560129263,0.22500560129263,0,0
exclude_explicit_proxy,HRS,wealth,onset,80,0.303288960145799,0.303288960145799,0,0
exclude_explicit_proxy,HRS,wealth,recovery,160,0.312193176109223,0.308000513354526,0,0
exclude_explicit_proxy,HRS,wealth,relapse,80,0.405310256481736,0.405310256481736,0,0
