cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
CHARLS,education,relapse,4483,3088,1654,4281,1593,30,9,TRUE,5,1.63334864709297,0,"",unweighted
CHARLS,wealth,death_post,12993,5440,527,5795,275,2759,104,TRUE,21,24.3025103772016,0,"",unweighted
CHARLS,wealth,death_pre,14052,6192,200,4277,63,4908,65,TRUE,22,25.2192348189847,0,"",unweighted
CHARLS,wealth,onset,13845,6109,2542,4216,1007,4829,652,TRUE,5,2.4559966108434,0,"",unweighted
CHARLS,wealth,recovery,8884,4857,3088,4110,1304,1798,707,TRUE,5,1.88486333328125,0,"",unweighted
CHARLS,wealth,relapse,3940,2674,1462,1595,625,932,308,TRUE,5,1.43940241891287,0,"",unweighted
ELSA,education,death_post,9994,4069,966,5696,645,807,62,TRUE,6,3.5177407095548,0,"",unweighted
ELSA,education,death_pre,18095,6978,489,7201,278,2764,52,TRUE,8,5.14137544374483,0,"",unweighted
ELSA,education,onset,31728,8474,2773,9838,1200,6308,361,TRUE,6,3.51307523239923,0,"",unweighted
ELSA,education,recovery,11620,4986,3131,6123,1396,1085,363,TRUE,5,2.69386826778997,0,"",unweighted
ELSA,education,relapse,6116,2472,1824,2317,843,844,183,TRUE,5,1.9366099360016,0,"",unweighted
ELSA,wealth,death_post,11023,4448,1044,4385,514,2949,229,TRUE,6,3.70212040032426,0,"",unweighted
ELSA,wealth,death_pre,19821,7617,550,4444,178,8548,174,TRUE,7,5.13787207625418,0,"",unweighted
ELSA,wealth,onset,34410,9160,3038,6972,927,15695,1053,TRUE,6,3.47407253099642,0,"",unweighted
ELSA,wealth,recovery,12789,5444,3459,5216,1188,3343,1083,TRUE,5,2.82458752019229,0,"",unweighted
ELSA,wealth,relapse,6736,2727,2024,2068,735,2275,586,TRUE,6,1.88202376023812,0,"",unweighted
HRS,education,death_post,56575,16250,6286,18896,2467,7601,715,TRUE,7,3.11423485821598,0,"",unweighted
HRS,education,death_pre,101404,23449,3334,18954,915,23597,532,TRUE,7,5.5737117985582,0,"",unweighted
HRS,education,onset,93964,21722,8587,17319,2457,22084,1405,TRUE,6,3.07054638276982,0,"",unweighted
HRS,education,recovery,31423,13414,7762,11608,2336,3809,1148,TRUE,6,2.59271264640775,0,"",unweighted
HRS,education,relapse,18980,6877,5201,5003,1634,3008,685,TRUE,5,1.87785668225045,0,"",unweighted
