cohort,exposure,process,term,estimate,hazard_ratio,sensitivity
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.82909205346114,6.22822919143695,primary_reproduction
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.01324946670259,7.48760859395438,primary_reproduction
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.91042498301939,18.36460155265,primary_reproduction
CHARLS,wealth,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.16749665582729,8.73638646144882,primary_reproduction
CHARLS,wealth,death_post,origin_factorD2,-0.541776636417402,0.581713839766288,primary_reproduction
CHARLS,wealth,death_post,origin_factorR1,-0.981793752120095,0.374638487201772,primary_reproduction
CHARLS,wealth,death_post,period_factor2,0.184932461606517,1.20313717943138,primary_reproduction
CHARLS,wealth,death_post,period_factor3,19.2270992146931,223987143.860666,primary_reproduction
CHARLS,wealth,death_post,period_factor4,19.982867395751,476923851.54937,primary_reproduction
CHARLS,wealth,death_post,seslow,0.261985448118883,1.29950763201122,primary_reproduction
CHARLS,wealth,death_post,sesmiddle,-0.0142581095455149,0.985843055918227,primary_reproduction
CHARLS,wealth,death_post,sex_factormale,0.760088469894776,2.13846540193735,primary_reproduction
CHARLS,wealth,death_pre,(Intercept),-25.3356717779409,9.92790360043502e-12,primary_reproduction
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.80142073355483,6.05824851001083,primary_reproduction
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.53620547927201,4.64692392537183,primary_reproduction
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.05047015227591,21.1252741838446,primary_reproduction
CHARLS,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.85489348189861,6.39101745531773,primary_reproduction
CHARLS,wealth,death_pre,period_factor2,-0.00142450576500996,0.998576508361727,primary_reproduction
CHARLS,wealth,death_pre,period_factor3,19.5184562561253,299749072.051405,primary_reproduction
CHARLS,wealth,death_pre,period_factor4,19.6430494779995,339522059.062499,primary_reproduction
CHARLS,wealth,death_pre,seslow,0.119210567086638,1.12660711969305,primary_reproduction
CHARLS,wealth,death_pre,sesmiddle,0.164691846307984,1.17902974035859,primary_reproduction
CHARLS,wealth,death_pre,sex_factormale,0.610238343359083,1.84087010566274,primary_reproduction
CHARLS,wealth,onset,(Intercept),-2.45613918567109,0.0857654370123191,primary_reproduction
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.726189058630753,2.06718764650058,primary_reproduction
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.24409703089597,3.46980026192091,primary_reproduction
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.35007640744398,3.8577202779824,primary_reproduction
CHARLS,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.941652664654669,2.56421570710189,primary_reproduction
CHARLS,wealth,onset,period_factor2,-0.0376760384154229,0.963024873425374,primary_reproduction
CHARLS,wealth,onset,period_factor3,-0.539113084880599,0.583265329877857,primary_reproduction
CHARLS,wealth,onset,period_factor4,-0.339081880782291,0.712424112857233,primary_reproduction
CHARLS,wealth,onset,seslow,0.497268162407195,1.64422337850556,primary_reproduction
CHARLS,wealth,onset,sesmiddle,0.373321190339402,1.4525508102036,primary_reproduction
CHARLS,wealth,onset,sex_factormale,-0.506602695196019,0.602539114618454,primary_reproduction
CHARLS,wealth,recovery,(Intercept),-0.997141367950773,0.368932577679948,primary_reproduction
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.690843439229602,0.501153198490661,primary_reproduction
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.06366862080165,0.345187123925009,primary_reproduction
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.94924107540338,0.142382087861821,primary_reproduction
CHARLS,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.06197443238401,0.127202568917976,primary_reproduction
CHARLS,wealth,recovery,origin_factorD2,0.248928498725298,1.28265031865822,primary_reproduction
CHARLS,wealth,recovery,period_factor2,-0.16919802679334,0.844341684553401,primary_reproduction
CHARLS,wealth,recovery,period_factor3,-0.747221291886881,0.47368094682651,primary_reproduction
CHARLS,wealth,recovery,period_factor4,-0.445923302524556,0.640232874423774,primary_reproduction
CHARLS,wealth,recovery,seslow,-0.241801922878232,0.785211694621583,primary_reproduction
CHARLS,wealth,recovery,sesmiddle,-0.141689532690931,0.867890666342019,primary_reproduction
