metric,cohorts,inverse_variance_pooled,cochran_q,df,p_heterogeneity,i2_percent
population_fdfle_gap,4,-6.6089585193706,9.39593516436391,3,0.0244645987300875,68.0712994766275
population_recovery_relapse,4,-1.73575380362965,1.59580511403488,3,0.660341355634016,0
