cohort,component,denominator_gap_ci_excludes_zero,point_percent,ci_low,ci_high
CHARLS,population_contribution_initial_state,TRUE,12.5658986697357,6.2390713651326,25.740669661538
CHARLS,population_contribution_onset,TRUE,43.0561456112412,19.3239334319038,79.0000758622275
CHARLS,population_contribution_post_difficulty_mortality,TRUE,6.5815693825299,-8.39226562472417,20.5790702456232
CHARLS,population_contribution_pre_difficulty_mortality,TRUE,6.16930461010634,-7.31433472263151,15.6680833010607
CHARLS,population_contribution_recovery,TRUE,16.9981581737698,-11.37161763368,37.9492064414553
CHARLS,population_contribution_relapse,TRUE,14.628923552617,-15.5781081848468,41.2000271207358
CHARLS,population_recovery_relapse,TRUE,31.6270817263868,-8.50450619263527,61.9922034549845
ELSA,population_contribution_initial_state,TRUE,21.7634299826991,17.4622081411164,27.0537168589589
ELSA,population_contribution_onset,TRUE,28.3582598817141,20.1164107051924,36.1055603940892
ELSA,population_contribution_post_difficulty_mortality,TRUE,7.57316106680496,1.89469549009822,13.5666390340722
ELSA,population_contribution_pre_difficulty_mortality,TRUE,11.1063023955104,2.74923918569728,18.9234918126146
ELSA,population_contribution_recovery,TRUE,16.075596362235,9.55015622169011,23.3400891733826
ELSA,population_contribution_relapse,TRUE,15.1232503110364,9.69849846423411,20.9825479818169
ELSA,population_recovery_relapse,TRUE,31.1988466732714,22.8538636565005,39.7366434330637
HRS,population_contribution_initial_state,TRUE,24.0238001149217,21.309869333266,26.7029934738284
HRS,population_contribution_onset,TRUE,32.6260149987296,28.3701138906025,37.06372710575
HRS,population_contribution_post_difficulty_mortality,TRUE,2.60846938825887,0.380459048519957,4.88708962085026
HRS,population_contribution_pre_difficulty_mortality,TRUE,15.5937116608224,12.5113808631799,19.0211672745127
HRS,population_contribution_recovery,TRUE,15.4869462806273,11.5355685462497,19.295135052445
HRS,population_contribution_relapse,TRUE,9.66105755664025,6.42066722366476,13.1691912542707
HRS,population_recovery_relapse,TRUE,25.1480038372676,20.5014893648994,29.3198022896652
MHAS,population_contribution_initial_state,TRUE,7.83003369120928,2.36685272485523,20.3882028887113
MHAS,population_contribution_onset,TRUE,62.08482401073,29.1867611787969,137.474024704685
MHAS,population_contribution_post_difficulty_mortality,TRUE,5.21366038178831,-21.4439118236239,29.0103964306604
MHAS,population_contribution_pre_difficulty_mortality,TRUE,-1.00507525522218,-87.9312534525468,27.9054982433543
MHAS,population_contribution_recovery,TRUE,17.1270126461904,-7.99093051648782,52.5676265947511
MHAS,population_contribution_relapse,TRUE,8.7495445253042,-35.5759524270478,41.2881515720594
MHAS,population_recovery_relapse,TRUE,25.8765571714946,-12.6694087557783,64.6111018095387
