metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided
population_fdfle_gap,CHARLS,ELSA,-0.70865497543714,1.67687278133978,-3.9953256268631,2.57801567598882,0.672583411112965
population_fdfle_gap,CHARLS,HRS,0.42917455510713,1.61029339042733,-2.72700049013045,3.58534960034471,0.789839159844743
population_fdfle_gap,CHARLS,MHAS,-3.05956970154514,2.03999176952851,-7.05795356982102,0.938814166730735,0.13366748172578
population_fdfle_gap,ELSA,HRS,1.13782953054427,0.625682779439704,-0.0885087171575505,2.36416777824609,0.0689815488251459
population_fdfle_gap,ELSA,MHAS,-2.350914726108,1.40000019892052,-5.09491511599221,0.393085663776214,0.0931082860312309
population_fdfle_gap,HRS,MHAS,-3.48874425665227,1.31952379115848,-6.07501088732289,-0.902477625981647,0.00819467177124001
population_recovery_relapse,CHARLS,ELSA,-0.249177757454591,1.44711874495585,-3.08553049756806,2.58717498265888,0.863289038955962
population_recovery_relapse,CHARLS,HRS,-0.316998195528958,1.42832276612848,-3.11651081714078,2.48251442608286,0.824362640300342
population_recovery_relapse,CHARLS,MHAS,-1.16885653214052,1.57559608700606,-4.2570248626724,1.91931179839136,0.458178001514413
population_recovery_relapse,ELSA,HRS,-0.0678204380743672,0.357686404704533,-0.768885791295252,0.633244915146518,0.849615804612758
population_recovery_relapse,ELSA,MHAS,-0.919678774685927,0.755206375276562,-2.39988327022799,0.560525720856135,0.223305797198303
population_recovery_relapse,HRS,MHAS,-0.85185833661156,0.718533180511984,-2.26018337041505,0.556466697191929,0.235799329554519
