cohort,metric,lower_or_equal_null,higher_or_equal_null,n,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,median,ci_high,bootstrap_bias,null_value,bootstrap_p_two_sided
CHARLS,conditional_contribution_onset,1000,0,1000,-3.42965847665815,1000,-3.39324900485389,0.957100042849503,-5.33267669921391,-3.34081165972864,-1.74074950035541,0.0364094718042565,0,0.001998001998002
CHARLS,conditional_contribution_post_difficulty_mortality,845,155,1000,-0.377345477468457,1000,-0.41655130376561,0.444099270037025,-1.2981810737773,-0.397587751457026,0.431169207808667,-0.0392058262971531,0,0.311688311688312
CHARLS,conditional_contribution_pre_difficulty_mortality,854,147,1000,-0.48255438966115,1000,-0.493409073050347,0.475232709514574,-1.42107770328375,-0.507697558666699,0.426019430733985,-0.010854683389197,0,0.295704295704296
CHARLS,conditional_contribution_recovery,902,98,1000,-0.946923212695704,1000,-1.00481330651678,0.748227947666647,-2.50866747115467,-1.01431584357351,0.366774207810799,-0.0578900938210797,0,0.197802197802198
CHARLS,conditional_contribution_relapse,865,135,1000,-0.787905496075796,1000,-0.865840848771813,0.813187324670389,-2.59120421005128,-0.797621991782662,0.592351090123422,-0.0779353526960165,0,0.271728271728272
CHARLS,conditional_fdfle_gap,1000,0,1000,-6.02438705255926,1000,-6.17386353695845,1.51929304797628,-9.19554383561515,-6.15314100214727,-3.17777606932927,-0.149476484399186,0,0.001998001998002
CHARLS,conditional_high_fdfle,0,1000,1000,19.488308458845,1000,19.6498829866966,1.51002051206762,16.6888850993191,19.6070895447308,22.5733838318668,0.161574527851592,0,0.001998001998002
CHARLS,conditional_low_fdfle,0,1000,1000,13.4639214062857,1000,13.4760194497381,0.187226769672335,13.1180460488505,13.4733231663531,13.8406241284641,0.0120980434524451,0,0.001998001998002
CHARLS,conditional_recovery_relapse,938,62,1000,-1.7348287087715,1000,-1.8706541552886,1.20915017175411,-4.34267026989229,-1.83911091495651,0.346729870510151,-0.135825446517096,0,0.125874125874126
CHARLS,hazard_ratio_death_post,155,845,1000,1.29106993169485,1000,1.39558501829818,0.454361985003375,0.766980384082763,1.3252799380565,2.43657896606969,0.104515086603327,1,0.311688311688312
CHARLS,hazard_ratio_death_pre,146,854,1000,1.33472658117692,1000,Inf,,0.788798825084502,1.36383812901859,2.88644805616209,Inf,1,0.293706293706294
CHARLS,hazard_ratio_onset,0,1000,1000,2.33660040983888,1000,2.36717548137372,0.462020516684004,1.65872553248934,2.31334874334929,3.43059119643079,0.030575071534841,1,0.001998001998002
CHARLS,hazard_ratio_recovery,902,98,1000,0.718597027891259,1000,0.733589165161243,0.188014602980284,0.44392975540882,0.703067481753558,1.1536398624969,0.0149921372699842,1,0.197802197802198
CHARLS,hazard_ratio_relapse,135,865,1000,1.46449653722414,1000,1.65178507047989,0.804506026891619,0.720893665020827,1.4778380359647,3.42573521834564,0.187288533255751,1,0.271728271728272
CHARLS,initial_difficulty_high,0,1000,1000,0.0939931826683835,1000,0.0947806306668738,0.0167378503322784,0.0645779401245954,0.0937586293922456,0.132579329331562,0.000787447998490287,0,0.001998001998002
CHARLS,initial_difficulty_low,0,1000,1000,0.254877167110519,1000,0.254823561896839,0.00758105219620667,0.239674833636746,0.25454540209415,0.270595556725202,-5.36052136803078e-05,0,0.001998001998002
CHARLS,population_contribution_initial_state,1000,0,1000,-0.824128075210989,1000,-0.813580848702137,0.172671311705558,-1.1650124589229,-0.798593556011008,-0.49252360314825,0.010547226508852,0,0.001998001998002
CHARLS,population_contribution_onset,1000,0,1000,-2.823815418316,1000,-2.79348587171434,0.797033549731338,-4.40564197999595,-2.74490049965049,-1.42106964817903,0.0303295466016627,0,0.001998001998002
CHARLS,population_contribution_post_difficulty_mortality,845,155,1000,-0.431648881600126,1000,-0.472855097362901,0.502815010961355,-1.45842253701014,-0.455134723036219,0.497407418972587,-0.0412062157627752,0,0.311688311688312
CHARLS,population_contribution_pre_difficulty_mortality,854,147,1000,-0.404610706113878,1000,-0.414304584198026,0.398975919970954,-1.20969260091282,-0.423071494857061,0.356175026012641,-0.00969387808414779,0,0.295704295704296
CHARLS,population_contribution_recovery,902,98,1000,-1.1148155612316,1000,-1.16978086282,0.863295450264414,-2.8526401939782,-1.18974846176445,0.44803168445236,-0.0549653015884013,0,0.197802197802198
CHARLS,population_contribution_relapse,865,135,1000,-0.959430513224129,1000,-1.04744393833508,0.980101160154618,-3.11765339574802,-0.975327679986232,0.731811335998516,-0.0880134251109477,0,0.271728271728272
CHARLS,population_fdfle_gap,1000,0,1000,-6.55844915569672,1000,-6.71145120313248,1.583266905415,-9.84092121102637,-6.69407589658542,-3.62133149041321,-0.153002047435759,0,0.001998001998002
CHARLS,population_high_difficulty_years,0,1000,1000,7.25281782435776,1000,7.26598218674312,1.44613881181525,4.7010579260593,7.21013110620886,10.3064789780516,0.0131643623853579,0,0.001998001998002
CHARLS,population_high_fdfle,0,1000,1000,18.9431894999971,1000,19.108886777185,1.57451528357043,16.0844709035266,19.0914590665872,22.1542162260251,0.165697277187935,0,0.001998001998002
CHARLS,population_high_fdfle_percent,0,1000,1000,72.3132699783043,1000,72.5184436891189,4.77921777961994,62.8083822493781,72.8804225425984,81.1759807547474,0.205173710814577,0,0.001998001998002
CHARLS,population_high_tle,0,1000,1000,26.1960073243548,1000,26.3748689639282,1.72460190997219,23.0015082591417,26.3312774438678,29.7072883956626,0.178861639573356,0,0.001998001998002
CHARLS,population_low_difficulty_years,0,1000,1000,10.8018154163616,1000,10.8022948870088,0.376324624812095,10.1267569332708,10.79139832754,11.6086754850758,0.000479470647222868,0,0.001998001998002
CHARLS,population_low_fdfle,0,1000,1000,12.3847403443004,1000,12.3974355740526,0.199442334868806,12.0080560829901,12.3970978858136,12.7976837835806,0.0126952297521559,0,0.001998001998002
CHARLS,population_low_fdfle_percent,0,1000,1000,53.4134542108758,1000,53.4483442928312,0.968429909962764,51.492926762746,53.4777702428441,55.3230216765853,0.0348900819554174,0,0.001998001998002
CHARLS,population_low_tle,0,1000,1000,23.186555760662,1000,23.1997304610614,0.417528298784366,22.4379751543498,23.1797749914217,24.0930342606143,0.0131747003993823,0,0.001998001998002
