module,stratum,cohort,estimand,block,contribution_years,total_low_minus_high_gap,contribution_percent
wealth_by_sex,male,CHARLS,dfle,onset,-2.7880430374061,-4.79113222849421,58.191736408877
wealth_by_sex,male,CHARLS,dfle,recovery,-0.83079891134113,-4.79113222849421,17.3403461169394
wealth_by_sex,male,CHARLS,dfle,relapse,-0.595759331641998,-4.79113222849421,12.4346251205268
wealth_by_sex,male,CHARLS,dfle,post_disability_mortality,-0.312364720740357,-4.79113222849421,6.51964307899157
wealth_by_sex,male,CHARLS,dfle,pre_disability_mortality,-0.264166227364623,-4.79113222849421,5.51364927466523
wealth_by_sex,male,CHARLS,disabled_years,onset,1.68752308825386,1.89995085316598,88.8193021120445
wealth_by_sex,male,CHARLS,disabled_years,recovery,0.590535787976969,1.89995085316598,31.081634927184
wealth_by_sex,male,CHARLS,disabled_years,relapse,0.461572765958631,1.89995085316598,24.2939318766846
wealth_by_sex,male,CHARLS,disabled_years,post_disability_mortality,-0.685988975522214,1.89995085316598,-36.1056168573579
wealth_by_sex,male,CHARLS,disabled_years,pre_disability_mortality,-0.153691813501267,1.89995085316598,-8.08925205855521
wealth_by_sex,male,CHARLS,total_life_expectancy,onset,-1.10051994915224,-2.89118137532822,38.0647149481344
wealth_by_sex,male,CHARLS,total_life_expectancy,recovery,-0.24026312336416,-2.89118137532822,8.31020583538743
wealth_by_sex,male,CHARLS,total_life_expectancy,relapse,-0.134186565683364,-2.89118137532822,4.64123651419588
wealth_by_sex,male,CHARLS,total_life_expectancy,post_disability_mortality,-0.998353696262571,-2.89118137532822,34.5309950037027
wealth_by_sex,male,CHARLS,total_life_expectancy,pre_disability_mortality,-0.41785804086589,-2.89118137532822,14.4528476985797
wealth_by_sex,male,HRS,dfle,onset,-2.44975651410242,-5.75395021481451,42.5752122045671
wealth_by_sex,male,HRS,dfle,recovery,-0.740698506695629,-5.75395021481451,12.8728695772962
wealth_by_sex,male,HRS,dfle,relapse,-0.242320987858911,-5.75395021481451,4.21138485409579
wealth_by_sex,male,HRS,dfle,post_disability_mortality,-0.275035134411604,-5.75395021481451,4.77993594215466
wealth_by_sex,male,HRS,dfle,pre_disability_mortality,-2.04613907174594,-5.75395021481451,35.5605974218861
wealth_by_sex,male,HRS,disabled_years,onset,1.5125811773035,0.76760566430761,197.051851964625
wealth_by_sex,male,HRS,disabled_years,recovery,0.323412952015644,0.76760566430761,42.1326948267594
wealth_by_sex,male,HRS,disabled_years,relapse,0.181104472122361,0.76760566430761,23.5934257058563
wealth_by_sex,male,HRS,disabled_years,post_disability_mortality,-0.590568613119683,0.76760566430761,-76.9364584682142
