log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive
-0.0080570768815385,0.0818284459752034,0.99197529436485,0.844981258641898,1.16454060319846,0.921564625593617,CHARLS,low_vs_high_early_recovery,FALSE
0.19477182939275,0.129157244715891,1.21503371987719,0.943294852497574,1.56505353180904,0.131549168156561,CHARLS,low_vs_high_sustained_recovery,TRUE
0.202828906274289,0.152514391342708,1.22486288396443,0.908373809382693,1.65162080744404,0.183551184212646,CHARLS,sustained_vs_early_modification,TRUE
0.31948351678395,0.0518704525293875,1.3764166846055,1.24336004643646,1.52371221440661,7.30864211570275e-10,HRS,low_vs_high_early_recovery,TRUE
0.255760173769855,0.0512859052967292,1.29144296889834,1.16793799834494,1.4280081171093,6.13403750190185e-07,HRS,low_vs_high_sustained_recovery,TRUE
-0.0637233430140954,0.0723168883094106,0.938264541066997,0.814269046120789,1.08114185749494,0.378226782955515,HRS,sustained_vs_early_modification,FALSE
0.44423089289455,0.0743952179551363,1.55929047315183,1.34772268185991,1.80407053497581,2.35472752183637e-09,ELSA,low_vs_high_early_recovery,TRUE
0.412546375838851,0.0871839229725064,1.51065959878931,1.27336867246846,1.79216944216979,2.22418301435884e-06,ELSA,low_vs_high_sustained_recovery,TRUE
-0.0316845170556994,0.114244200473696,0.968812177589838,0.774449248012688,1.21195422147403,0.781518843180478,ELSA,sustained_vs_early_modification,FALSE
-0.0171570162718049,0.117611882215819,0.982989327197532,0.780612582452934,1.23783300334198,0.884017497081157,MHAS,low_vs_high_early_recovery,FALSE
-0.277890058722039,0.169864233964314,0.757380084271611,0.542903355555092,1.05658693427078,0.101849232657469,MHAS,low_vs_high_sustained_recovery,FALSE
-0.260733042450235,0.206336349535762,0.770486579372002,0.514195216219125,1.15452176579446,0.206362441016379,MHAS,sustained_vs_early_modification,TRUE
