module,stratum,cohort,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
wealth_by_sex,male,CHARLS,high,27.637260107125,19.8051929397546,7.83206716737045,0.157473804560854,-1.77635683940025e-15
wealth_by_sex,male,CHARLS,middle,26.3031429325422,16.921243456964,9.38189947557821,0.115802632179282,0
wealth_by_sex,male,CHARLS,low,24.7460787317968,15.0140607112604,9.73201802053643,0.0758614665422186,0
wealth_by_sex,male,HRS,high,24.9727243714505,21.0420488903476,3.93067548110288,0.0501079957168991,-1.77635683940025e-15
wealth_by_sex,male,HRS,middle,22.8792246359709,18.9745667603343,3.90465787563655,0.0238564803334968,-4.44089209850063e-16
wealth_by_sex,male,HRS,low,19.9863798209436,15.2880986755331,4.69828114541049,0.00982389891695194,1.77635683940025e-15
wealth_by_sex,male,ELSA,high,25.2640024120894,20.5824018575016,4.68160055458784,0.0280476777415192,-2.66453525910038e-15
wealth_by_sex,male,ELSA,middle,23.3937140794559,17.8089688713485,5.58474520810736,0.0104571563149843,-3.5527136788005e-15
wealth_by_sex,male,ELSA,low,20.4279406864117,14.8979123080882,5.53002837832352,0.000877913989064256,8.88178419700125e-16
wealth_by_sex,male,MHAS,high,23.3320226959194,18.6694444918261,4.66257820409336,0.0546183690748075,0
wealth_by_sex,male,MHAS,middle,21.9801312195401,17.8063251087202,4.17380611081999,0.0502946700486612,0
wealth_by_sex,male,MHAS,low,20.9300541156995,16.0686139997611,4.86144011593842,0.0314132618989215,3.5527136788005e-15
wealth_by_sex,female,CHARLS,high,31.9104798049491,16.586375826847,15.3241039781021,0.378058034639176,0
wealth_by_sex,female,CHARLS,middle,31.6837682502713,13.9017717017688,17.7819965485025,0.38288452819701,3.5527136788005e-15
wealth_by_sex,female,CHARLS,low,29.0592658886648,13.6487216774742,15.4105442111906,0.225117885949557,-1.77635683940025e-15
wealth_by_sex,female,HRS,high,28.4431195983217,22.3255927619701,6.11752683635161,0.135486506143035,2.66453525910038e-15
wealth_by_sex,female,HRS,middle,26.4308836713798,19.9571834441155,6.47370022726423,0.0856150057890492,0
wealth_by_sex,female,HRS,low,23.9289013535019,16.5600773926322,7.3688239608697,0.044636569949737,0
wealth_by_sex,female,ELSA,high,29.0292984465051,21.9270443856468,7.10225406085828,0.102129235157458,1.77635683940025e-15
wealth_by_sex,female,ELSA,middle,26.9180084872409,18.990547530553,7.92746095668785,0.0442912683479864,-8.88178419700125e-16
wealth_by_sex,female,ELSA,low,24.805478090268,16.0047170590506,8.80076103121742,0.0173651362471468,0
wealth_by_sex,female,MHAS,high,24.4717942924386,16.1455355573755,8.32625873506314,0.0793716595173973,0
wealth_by_sex,female,MHAS,middle,24.5763031141017,15.7194093224975,8.85689379160425,0.0863585054314387,0
wealth_by_sex,female,MHAS,low,23.8451914751407,15.2287957115195,8.61639576362118,0.0782601200495407,0
wealth_within_low_education,all,CHARLS,high,29.043693805786,17.4699767784571,11.5737170273289,0.213711808065497,-1.77635683940025e-15
wealth_within_low_education,all,CHARLS,middle,28.806484739506,15.1015310452923,13.7049536942137,0.211305526625676,0
wealth_within_low_education,all,CHARLS,low,26.9508362477722,14.1914806404435,12.7593556073287,0.132965477343136,0
wealth_within_low_education,all,HRS,high,23.6565455138605,17.2371629267828,6.41938258707771,0.0639589635404665,0
wealth_within_low_education,all,HRS,middle,22.4891826137371,16.0780702934572,6.41111232027995,0.0432298408919041,1.77635683940025e-15
wealth_within_low_education,all,HRS,low,20.5443751499817,13.5529020403395,6.9914731096422,0.0306469447082358,8.88178419700125e-16
wealth_within_low_education,all,ELSA,high,26.4966151133819,19.8239938313257,6.67262128205615,0.0830261211173851,3.5527136788005e-15
wealth_within_low_education,all,ELSA,middle,24.4393801217702,17.1763642396634,7.26301588210672,0.0373815549916873,0
wealth_within_low_education,all,ELSA,low,21.8978227561741,14.4934725318852,7.40435022428884,0.0120485750326162,-8.88178419700125e-16
wealth_within_low_education,all,MHAS,high,23.9367025794179,16.6623093666612,7.27439321275671,0.0667739864177825,-1.77635683940025e-15
wealth_within_low_education,all,MHAS,middle,22.9566320174565,15.9919258952614,6.96470612219513,0.060100636842295,1.77635683940025e-15
wealth_within_low_education,all,MHAS,low,22.620118287246,15.594813358761,7.02530492848504,0.056909014947763,0
