module,stratum,cohort,estimand,high,low,low_minus_high_gap,shapley_sum,closure_error
wealth_by_sex,male,CHARLS,dfle,19.8051929397546,15.0140607112604,-4.79113222849421,-4.79113222849421,-8.88178419700125e-16
wealth_by_sex,male,CHARLS,disabled_years,7.83206716737045,9.73201802053643,1.89995085316598,1.89995085316598,-1.11022302462516e-15
wealth_by_sex,male,CHARLS,total_life_expectancy,27.637260107125,24.7460787317968,-2.89118137532822,-2.89118137532822,-1.33226762955019e-15
wealth_by_sex,male,HRS,dfle,21.0420488903476,15.2880986755331,-5.75395021481451,-5.75395021481451,7.99360577730113e-15
wealth_by_sex,male,HRS,disabled_years,3.93067548110288,4.69828114541049,0.76760566430761,0.76760566430761,5.55111512312578e-16
wealth_by_sex,male,HRS,total_life_expectancy,24.9727243714505,19.9863798209436,-4.9863445505069,-4.9863445505069,2.66453525910038e-15
wealth_by_sex,male,ELSA,dfle,20.5824018575016,14.8979123080882,-5.6844895494134,-5.6844895494134,-8.88178419700125e-16
wealth_by_sex,male,ELSA,disabled_years,4.68160055458784,5.53002837832352,0.848427823735682,0.848427823735685,3.21964677141295e-15
wealth_by_sex,male,ELSA,total_life_expectancy,25.2640024120894,20.4279406864117,-4.83606172567772,-4.83606172567772,8.88178419700125e-16
wealth_by_sex,male,MHAS,dfle,18.6694444918261,16.0686139997611,-2.600830492065,-2.600830492065,-3.10862446895044e-15
wealth_by_sex,male,MHAS,disabled_years,4.66257820409336,4.86144011593842,0.198861911845054,0.198861911845055,8.88178419700125e-16
wealth_by_sex,male,MHAS,total_life_expectancy,23.3320226959194,20.9300541156995,-2.40196858021994,-2.40196858021994,1.77635683940025e-15
wealth_by_sex,female,CHARLS,dfle,16.586375826847,13.6487216774742,-2.93765414937282,-2.93765414937282,-8.88178419700125e-16
wealth_by_sex,female,CHARLS,disabled_years,15.3241039781021,15.4105442111906,0.0864402330884708,0.0864402330884707,-1.66533453693773e-16
wealth_by_sex,female,CHARLS,total_life_expectancy,31.9104798049491,29.0592658886648,-2.85121391628435,-2.85121391628436,-2.66453525910038e-15
wealth_by_sex,female,HRS,dfle,22.3255927619701,16.5600773926322,-5.76551536933793,-5.76551536933792,2.66453525910038e-15
wealth_by_sex,female,HRS,disabled_years,6.11752683635161,7.3688239608697,1.25129712451808,1.25129712451808,0
wealth_by_sex,female,HRS,total_life_expectancy,28.4431195983217,23.9289013535019,-4.51421824481984,-4.51421824481984,2.66453525910038e-15
wealth_by_sex,female,ELSA,dfle,21.9270443856468,16.0047170590506,-5.92232732659619,-5.92232732659619,8.88178419700125e-16
wealth_by_sex,female,ELSA,disabled_years,7.10225406085828,8.80076103121742,1.69850697035914,1.69850697035914,-2.22044604925031e-16
wealth_by_sex,female,ELSA,total_life_expectancy,29.0292984465051,24.805478090268,-4.22382035623705,-4.22382035623706,-2.66453525910038e-15
wealth_by_sex,female,MHAS,dfle,16.1455355573755,15.2287957115195,-0.916739845855933,-0.916739845855931,1.33226762955019e-15
wealth_by_sex,female,MHAS,disabled_years,8.32625873506314,8.61639576362118,0.290137028558046,0.290137028558046,-1.66533453693773e-16
wealth_by_sex,female,MHAS,total_life_expectancy,24.4717942924386,23.8451914751407,-0.626602817297886,-0.626602817297886,1.11022302462516e-16
wealth_within_low_education,all,CHARLS,dfle,17.4699767784571,14.1914806404435,-3.27849613801362,-3.27849613801362,2.22044604925031e-15
wealth_within_low_education,all,CHARLS,disabled_years,11.5737170273289,12.7593556073287,1.18563857999974,1.18563857999974,1.11022302462516e-15
wealth_within_low_education,all,CHARLS,total_life_expectancy,29.043693805786,26.9508362477722,-2.09285755801388,-2.09285755801387,2.66453525910038e-15
wealth_within_low_education,all,HRS,dfle,17.2371629267828,13.5529020403395,-3.68426088644325,-3.68426088644325,-2.22044604925031e-15
wealth_within_low_education,all,HRS,disabled_years,6.41938258707771,6.9914731096422,0.572090522564486,0.572090522564489,2.44249065417534e-15
wealth_within_low_education,all,HRS,total_life_expectancy,23.6565455138605,20.5443751499817,-3.11217036387876,-3.11217036387877,-2.22044604925031e-15
wealth_within_low_education,all,ELSA,dfle,19.8239938313257,14.4934725318852,-5.33052129944052,-5.33052129944052,8.88178419700125e-16
wealth_within_low_education,all,ELSA,disabled_years,6.67262128205615,7.40435022428884,0.731728942232688,0.731728942232682,-5.99520433297585e-15
wealth_within_low_education,all,ELSA,total_life_expectancy,26.4966151133819,21.8978227561741,-4.59879235720784,-4.59879235720784,0
wealth_within_low_education,all,MHAS,dfle,16.6623093666612,15.594813358761,-1.06749600790022,-1.06749600790021,1.77635683940025e-15
wealth_within_low_education,all,MHAS,disabled_years,7.27439321275671,7.02530492848504,-0.249088284271668,-0.249088284271669,-5.55111512312578e-16
wealth_within_low_education,all,MHAS,total_life_expectancy,23.9367025794179,22.620118287246,-1.31658429217188,-1.31658429217188,6.66133814775094e-16
