rows,persons,events,low_rows,low_events,high_rows,high_events,module,cohort,process,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
8557,4648,2956,4036,1289,1649,633,wealth_within_low_education,CHARLS,recovery,TRUE,5,2.05121897195534,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
3767,2544,1409,1572,618,841,277,wealth_within_low_education,CHARLS,relapse,TRUE,5,1.76389234632091,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12667,5543,184,4101,58,4080,59,wealth_within_low_education,CHARLS,death_pre,TRUE,22,24.5592908686147,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12486,5174,513,5695,271,2515,98,wealth_within_low_education,CHARLS,death_post,TRUE,21,23.6047982793396,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
17319,4833,2457,8740,1347,2603,303,wealth_within_low_education,HRS,onset,TRUE,5,2.95537046787152,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
11608,4671,2336,7853,1484,984,243,wealth_within_low_education,HRS,recovery,TRUE,6,2.37260287706107,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
5003,2023,1634,3204,1058,496,158,wealth_within_low_education,HRS,relapse,TRUE,5,1.9160691999767,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
18954,5293,915,9514,516,2869,118,wealth_within_low_education,HRS,death_pre,TRUE,7,4.52567171980561,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
18896,5574,2467,12521,1561,1710,226,wealth_within_low_education,HRS,death_post,TRUE,7,2.84999042002846,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
9838,2918,1200,3509,543,2561,228,wealth_within_low_education,ELSA,onset,TRUE,6,3.53708483725246,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
6116,2543,1396,3307,686,872,226,wealth_within_low_education,ELSA,recovery,TRUE,6,2.65973714786972,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
2317,1059,843,1105,431,405,125,wealth_within_low_education,ELSA,relapse,TRUE,6,1.73021657441273,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
7199,2879,278,2644,133,1790,51,wealth_within_low_education,ELSA,death_pre,TRUE,7,3.83456367595642,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
5686,2323,640,3041,383,847,82,wealth_within_low_education,ELSA,death_post,TRUE,6,3.23965550183839,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
15663,9096,2223,4620,703,5378,718,wealth_within_low_education,MHAS,onset,TRUE,17,16.8015964954811,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
5510,4007,1793,1794,595,1710,555,wealth_within_low_education,MHAS,recovery,TRUE,17,18.0496999478576,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
2093,1520,714,714,251,630,229,wealth_within_low_education,MHAS,relapse,TRUE,17,20.712507764412,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
17808,10133,897,5247,274,6121,279,wealth_within_low_education,MHAS,death_pre,TRUE,6,4.84442502942489,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
8803,5095,1180,2852,390,2754,354,wealth_within_low_education,MHAS,death_post,TRUE,7,3.90212170704601,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
