cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
ELSA,education,relapse,6116,2472,1824,2317,843,844,183,TRUE,6,1.89692847989122,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_pre,18095,6978,489,7201,278,2764,52,TRUE,7,5.10193202147298,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_post,9994,4069,966,5696,645,807,62,TRUE,6,3.64837728784793,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,onset,34410,9160,3038,6972,927,15695,1053,TRUE,6,3.43359991846235,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,recovery,12789,5444,3459,5216,1188,3343,1083,TRUE,5,2.80353401903289,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,relapse,6736,2727,2024,2068,735,2275,586,TRUE,6,1.99856118885426,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_pre,19821,7617,550,4444,178,8548,174,TRUE,7,5.09801817185331,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_post,11023,4448,1044,4385,514,2949,229,TRUE,6,3.80081611077411,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
MHAS,education,onset,17780,10285,2387,15663,2223,1661,125,TRUE,17,16.7537929609209,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,recovery,5768,4220,1901,5510,1793,190,78,TRUE,17,18.0127422980274,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,relapse,2232,1619,748,2093,714,93,23,TRUE,17,20.5032878032785,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_pre,20346,11520,994,17809,897,1984,73,TRUE,7,5.35122685756376,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_post,9310,5417,1230,8803,1180,363,33,TRUE,7,4.14715350191976,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,onset,17884,10354,2399,4903,736,6813,824,TRUE,17,16.7534490812728,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,recovery,5793,4242,1913,1856,618,1871,625,TRUE,17,18.0511055746583,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,relapse,2239,1625,750,735,259,714,247,TRUE,17,20.0212138256272,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_pre,20485,11612,1000,5573,288,7864,345,TRUE,7,5.5508693522065,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_post,9346,5443,1235,2945,406,3081,381,TRUE,7,4.00028794419877,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
