cohort,exposure,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
CHARLS,education,high,26.2054788639503,19.488308458845,6.71717040510534,0.111319386742211,-1.77635683940025e-15
CHARLS,education,middle,27.1675709793955,17.6121514348426,9.55541954455295,0.132182555620488,0
CHARLS,education,low,23.1459551085901,13.4639214062857,9.68203370230432,0.0462826121170921,0
CHARLS,wealth,high,29.6095141035229,18.0556596466492,11.5538544568737,0.251768719096265,-1.77635683940025e-15
CHARLS,wealth,middle,28.8751094101144,15.2864936931225,13.5886157169919,0.229722230405469,1.77635683940025e-15
CHARLS,wealth,low,26.9423545874029,14.29973769236,12.6426168950429,0.145405180561634,0
HRS,education,high,27.1019254807926,22.0447440281458,5.05718145264681,0.0998456852742346,-8.88178419700125e-16
HRS,education,middle,24.3298070694786,19.1686026955735,5.16120437390506,0.0469261983735084,-1.77635683940025e-15
HRS,education,low,23.1451693987456,16.5643650987788,6.58080429996684,0.0368617076329808,-8.88178419700125e-16
HRS,wealth,high,26.8138463360923,21.7182572510627,5.09558908502967,0.0902756462661502,-3.5527136788005e-15
HRS,wealth,middle,24.7405859937743,19.4885480991372,5.2520378946371,0.0511720303335551,0
HRS,wealth,low,22.0544416375573,15.9590262734797,6.09541536407758,0.0244276462494854,-8.88178419700125e-16
ELSA,education,high,27.0055433734276,21.4240097246755,5.58153364875216,0.0578325279200391,0
ELSA,education,middle,26.4548065586911,19.8059570760931,6.64884948259792,0.0386538923962582,-1.77635683940025e-15
ELSA,education,low,23.7610617822064,16.9534096892254,6.80765209298099,0.0123840493307893,-1.77635683940025e-15
ELSA,wealth,high,27.1390083339429,21.2720411434302,5.8669671905127,0.0563297726035545,-1.77635683940025e-15
ELSA,wealth,middle,25.1987344044,18.4232425552866,6.77549184911337,0.0249288663083888,-1.77635683940025e-15
ELSA,wealth,low,22.5906970652013,15.4747130431472,7.11598402205414,0.00468850658372437,-8.88178419700125e-16
MHAS,education,high,24.4548603859997,19.4100177204417,5.04484266555801,0.0874778204677049,-2.66453525910038e-15
MHAS,education,middle,25.1972971196217,20.3006294723413,4.89666764728047,0.0853193932158785,8.88178419700125e-16
MHAS,education,low,23.2123792010922,16.117756196942,7.09462300415016,0.0653082703329469,1.77635683940025e-15
MHAS,wealth,high,24.0163916497398,17.116528873977,6.89986277576287,0.0711844954077771,1.77635683940025e-15
MHAS,wealth,middle,23.3954698328792,16.477305136232,6.91816469664717,0.0697087140939138,8.88178419700125e-16
MHAS,wealth,low,22.6071804521851,15.6034319223712,7.00374852981387,0.0592290181057806,8.88178419700125e-16
