cohort,exposure,estimand,high,low,low_minus_high_gap,shapley_sum,closure_error
CHARLS,education,dfle,19.488308458845,13.4639214062857,-6.02438705255925,-6.02438705255924,7.105427357601e-15
CHARLS,education,disabled_years,6.71717040510534,9.68203370230432,2.96486329719898,2.96486329719898,-8.88178419700125e-16
CHARLS,education,total_life_expectancy,26.2054788639503,23.1459551085901,-3.05952375536026,-3.05952375536026,-8.88178419700125e-16
CHARLS,wealth,dfle,18.0556596466492,14.29973769236,-3.75592195428928,-3.75592195428927,3.10862446895044e-15
CHARLS,wealth,disabled_years,11.5538544568737,12.6426168950429,1.0887624381692,1.0887624381692,1.99840144432528e-15
CHARLS,wealth,total_life_expectancy,29.6095141035229,26.9423545874029,-2.66715951612008,-2.66715951612008,4.44089209850063e-16
HRS,education,dfle,22.0447440281458,16.5643650987788,-5.48037892936702,-5.48037892936703,-5.32907051820075e-15
HRS,education,disabled_years,5.05718145264681,6.58080429996684,1.52362284732003,1.52362284732003,2.44249065417534e-15
HRS,education,total_life_expectancy,27.1019254807926,23.1451693987456,-3.95675608204699,-3.95675608204699,-8.88178419700125e-16
HRS,wealth,dfle,21.7182572510627,15.9590262734797,-5.75923097758296,-5.75923097758296,2.66453525910038e-15
HRS,wealth,disabled_years,5.09558908502967,6.09541536407758,0.999826279047912,0.999826279047915,3.33066907387547e-15
HRS,wealth,total_life_expectancy,26.8138463360923,22.0544416375573,-4.75940469853505,-4.75940469853505,-3.5527136788005e-15
ELSA,education,dfle,21.4240097246755,16.9534096892254,-4.47060003545002,-4.47060003545002,-1.77635683940025e-15
ELSA,education,disabled_years,5.58153364875216,6.80765209298099,1.22611844422883,1.22611844422883,-6.66133814775094e-16
ELSA,education,total_life_expectancy,27.0055433734276,23.7610617822064,-3.2444815912212,-3.24448159122119,1.33226762955019e-15
ELSA,wealth,dfle,21.2720411434302,15.4747130431472,-5.79732810028303,-5.79732810028303,8.88178419700125e-16
ELSA,wealth,disabled_years,5.8669671905127,7.11598402205414,1.24901683154144,1.24901683154144,3.5527136788005e-15
ELSA,wealth,total_life_expectancy,27.1390083339429,22.5906970652013,-4.54831126874159,-4.54831126874159,-3.5527136788005e-15
MHAS,education,dfle,19.4100177204417,16.117756196942,-3.29226152349973,-3.29226152349973,0
MHAS,education,disabled_years,5.04484266555801,7.09462300415016,2.04978033859215,2.04978033859215,-1.33226762955019e-15
MHAS,education,total_life_expectancy,24.4548603859997,23.2123792010922,-1.24248118490758,-1.24248118490758,2.22044604925031e-16
MHAS,wealth,dfle,17.116528873977,15.6034319223712,-1.51309695160573,-1.51309695160573,1.11022302462516e-15
MHAS,wealth,disabled_years,6.89986277576287,7.00374852981387,0.103885754050999,0.103885754050998,-3.88578058618805e-16
MHAS,wealth,total_life_expectancy,24.0163916497398,22.6071804521851,-1.40921119755474,-1.40921119755474,4.44089209850063e-16
