"file_role","variable","storage_class","variable_label","value_labels","nonmissing_n","unique_nonmissing_n"
"wave11_core_selected","idauniq","haven_labelled/vctrs_vctr/double","Cross-wave identifier","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,7842
"wave11_core_selected","idahhw11","haven_labelled/vctrs_vctr/double","Wave 11 household identifier","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,5384
"wave11_core_selected","mode","haven_labelled/vctrs_vctr/double","Interview Mode","Refused=-9 | Don't know=-8 | Not applicable=-1 | F2F=1 | CAVI=2 | CATI=3",7842,2
"wave11_core_selected","wavejoined","haven_labelled/vctrs_vctr/double","Wave first enumerated in ELSA","Refused=-9 | Don't know=-8 | Not applicable=-1 | Wave 1=1 | Wave 2=2 | Wave 3=3 | Wave 4=4 | Wave 5=5 | Wave 6=6 | Wave 7=7 | Wave 8=8 | Wave 9=9 | Wave 10=10 | Wave 11=11",7842,11
"wave11_core_selected","w11indout","haven_labelled/vctrs_vctr/double","Individual outcome code","Refused=-9 | Don't know=-8 | Not applicable=-1 | Full interview in person=11 | Full interview by Proxy/ consultee=13 | Partial interview in person=21 | Partial interview by Proxy/ consultee=23 | Institutional interview in person=24 | Institutional interview by Proxy/ consultee=25 | No contact=31 | Refusal before interview=43 | Refusal during interview (computed)=44 | Broken appointment - no re-contact=45 | Office refusal=46 | Ill at home during survey period=51 | Away/ill in hospital during survey period=52 | Physically or mentally unable/incompetent=53 | Language difficulties=54 | In a institution, unproductive=57 | Other unproductive=59 | Untraced=60 | In an institution (refreshment sample only)=71 | Ineligible - partner who is now not living with Core Member=77 | Out of Britain=78 | Other ineligible - OFFICE APPROVAL ONLY=79 | Split household: person is now in a different household=88 | Allocated to another interviewer (moved out of area)=92 | Died=95",7842,6
"wave11_core_selected","w11hhout","haven_labelled/vctrs_vctr/double","Household outcome code","Refused=-9 | Don't know=-8 | Not applicable=-1 | All eligible respondent(s) interviewed in person=110 | All eligible respondent(s) interviewed (some by proxy/ consultee)=120 | Some but not all eligible respondents interviewed=210 | No contact with anyone at address=310 | Office refusal=410 | Refusal at introduction/ before HH module=430 | Unable to complete interview due to shielding/isolating/quarantining (Covid-19)=433 | Refusal after HH module=440 | Broken appointment - no re-contact=450 | Ill at home during survey period=510 | Away from home/in hospital during survey period=520 | Physically/ mentally unable/incompetent - No proxy=530 | Language difficulties=540 | All respondents in an institution and unproductive=570 | Other unproductive=590 | OFFICE APPROVAL ONLY - Address not attempted=612 | Moved - no follow-up address obtained=613 | Moved - no follow up for institution address obtained=614 | Moved - follow-up address outside area=615 | Want to be interviewed F2F (willing to take part but not able/willing to do CAVI=616 | Cannot be interviewed now – delay until later wave=617 | Want to complete it as CAVI (rather than F2F)=618 | Issued but not attempted due to local/national lockdowns=619 | OFFICE APPROVAL ONLY - Address inaccessible=620 | OFFICE APPROVAL ONLY - Unable to locate address=630 | All core member(s) in an institution (refreshment sample onl=710 | All core member(s) moved out of Britain (or England for refr=780 | All core member(s) died=781 | OFFICE APPROVAL ONLY - All of the sample are ineligible=790",7842,3
"wave11_core_selected","w11scout","haven_labelled/vctrs_vctr/double","Self completion outcome code","Refused=-9 | Don't know=-8 | Not applicable=-1 | Questionnaire received=1 | Not received or received but majority of questions not answered=2 | Respondent not eligible for self-completion (interviewed by proxy)=3",7842,3
"wave11_core_selected","iintdatm","haven_labelled/vctrs_vctr/double","Interview month","Refused=-9 | Don't know=-8 | Not applicable=-1 | January=1 | February=2 | March=3 | April=4 | May=5 | June=6 | July=7 | August=8 | September=9 | October=10 | November=11 | December=12",7842,12
"wave11_core_selected","iintdaty","haven_labelled/vctrs_vctr/double","Interview year","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,2
"wave11_core_selected","chinhh","haven_labelled/vctrs_vctr/double","Computed: whether respondent has a child in the household (from HH grid)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","chouthh","haven_labelled/vctrs_vctr/double","Computed: whether respondent has a child outside the household (from HH grid)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","gcinhh","haven_labelled/vctrs_vctr/double","Computed: whether respondent has a grandchild in the household (from HH grid)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","mainhh","haven_labelled/vctrs_vctr/double","Computed: whether the mother of the respondent is in the household (from HH grid","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","painhh","haven_labelled/vctrs_vctr/double","Computed: whether the father of the respondent is in the household (from HH grid","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","couple","haven_labelled/vctrs_vctr/double","Computed: relationship status","Refused=-9 | Don't know=-8 | Not applicable=-1 | Married=1 | Cohabit=2 | Neither=3",7842,3
"wave11_core_selected","whoso1","haven_labelled/vctrs_vctr/double","People present in the room other than respondent(s) and interviewer (to the end","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",7842,5
"wave11_core_selected","whoso2","haven_labelled/vctrs_vctr/double","People present in the room other than respondent(s) and interviewer (to the end","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",7842,5
"wave11_core_selected","whoso3","haven_labelled/vctrs_vctr/double","People present in the room other than respondent(s) and interviewer (to the end","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",7842,5
"wave11_core_selected","whoso4","haven_labelled/vctrs_vctr/double","People present in the room other than respondent(s) and interviewer (to the end","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",7842,5
"wave11_core_selected","whoso5","haven_labelled/vctrs_vctr/double","People present in the room other than respondent(s) and interviewer (to the end","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",7842,5
"wave11_core_selected","askinst","haven_labelled/vctrs_vctr/double","Computed: whether respondent had an institutional interview","Refused=-9 | Don't know=-8 | Not applicable=-1 | No=0 | Yes=1",7842,2
"wave11_core_selected","askpx","haven_labelled/vctrs_vctr/double","Computed: whether respondent had an interview by proxy","Refused=-9 | Don't know=-8 | Not applicable=-1 | No=0 | Yes=1",7842,2
"wave11_core_selected","concur","haven_labelled/vctrs_vctr/double","Computed: whether interview was concurrent or not","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,2
"wave11_core_selected","ordcon","haven_labelled/vctrs_vctr/double","Computed: person number of first person interviewed concurrently","Refused=-9 | Don't know=-8 | Not applicable=-1 | Person 1=1 | Person 2=2 | Person 3=3 | Person 4=4 | Person 5=5 | Person 6=6 | Person 7=7 | Person 8=8",7842,8
"wave11_core_selected","dhiasep","haven_labelled/vctrs_vctr/double","Computed: whether respondent and their partner keep finances separate","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,5
"wave11_core_selected","dhsameh","haven_labelled/vctrs_vctr/double","Whether household is at same address as at the previous interview","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",7842,4
"wave11_core_selected","dhcs","haven_labelled/vctrs_vctr/double","Child grid: sex of child 1","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,5
"wave11_core_selected","dhcag","haven_labelled/vctrs_vctr/double","Child grid: age of child 1","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,72
"wave11_core_selected","dhcs2","haven_labelled/vctrs_vctr/double","Child grid: sex of child 2","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,5
"wave11_core_selected","dhcag2","haven_labelled/vctrs_vctr/double","Child grid: age of child 2","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,69
"wave11_core_selected","dhcs3","haven_labelled/vctrs_vctr/double","Child grid: sex of child 3","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,5
"wave11_core_selected","dhcag3","haven_labelled/vctrs_vctr/double","Child grid: age of child 3","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,67
"wave11_core_selected","dhcs4","haven_labelled/vctrs_vctr/double","Child grid: sex of child 4","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,5
"wave11_core_selected","dhcag4","haven_labelled/vctrs_vctr/double","Child grid: age of child 4","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,60
"wave11_core_selected","dhcs5","haven_labelled/vctrs_vctr/double","Child grid: sex of child 5","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,5
"wave11_core_selected","dhcag5","haven_labelled/vctrs_vctr/double","Child grid: age of child 5","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,57
"wave11_core_selected","dhcs6","haven_labelled/vctrs_vctr/double","Child grid: sex of child 6","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,4
"wave11_core_selected","dhcag6","haven_labelled/vctrs_vctr/double","Child grid: age of child 6","Refused=-9 | Don't know=-8 | Not applicable=-1",7842,47
"wave11_core_selected","dhcs7","haven_labelled/vctrs_vctr/double","Child grid: sex of child 7","Refused=-9 | Don't know=-8 | Not applicable=-1 | Male=1 | Female=2",7842,3
