wealth3,nondeath_intervals,observed_next_function_n,observed_next_function_percent,interval_mean,interval_sd,interval_q25,interval_median,interval_q75,raw_ipcw_mean_observed,truncated_ipcw_mean_observed,truncated_ipcw_max_observed,cohort,ipcw_lower_truncation,ipcw_upper_truncation,unknown_vital_status_treated_as_death
low,20246,17024,84.0857453324114,2,0,2,2,2,1.00030380413272,0.999469839423667,1.26746203183457,HRS,0.90091723432823,1.26746203183457,FALSE
high,4289,3481,81.1611098158079,2,0,2,2,2,0.998964305839383,0.998190715855149,1.26746203183457,HRS,0.90091723432823,1.26746203183457,FALSE
