cohort,module,point_estimate_population_fdfle_gap,point_estimate_population_recovery_relapse,ci_low_population_fdfle_gap,ci_low_population_recovery_relapse,ci_high_population_fdfle_gap,ci_high_population_recovery_relapse,post_onset_supported
CHARLS,Education,-6.55844915569672,-2.07424607445573,-9.84092121102637,-5.01573192623368,-3.62133149041321,0.422774545969388,FALSE
CHARLS,Wealth,-2.67560947848474,-1.0188423777578,-3.52082277252344,-1.63041264472894,-1.87653871051251,-0.37243362499114,TRUE
ELSA,Education,-5.84979418025958,-1.82506831700114,-6.98372686517614,-2.51122087685252,-4.87619601919026,-1.28773900926414,TRUE
ELSA,Wealth,-7.20894045607494,-1.9899119524787,-7.91435737232417,-2.39508098176555,-6.4943334087846,-1.62559807180225,TRUE
HRS,Education,-6.98762371080385,-1.75724787892677,-7.5506507552023,-2.12233738811924,-6.356271534876,-1.37368233667642,TRUE
HRS,Wealth,-7.24100807538908,-1.66371007942299,-7.65264710045183,-1.93799565666773,-6.79925782315016,-1.38197942506152,TRUE
MHAS,Education,-3.49887945415158,-0.905389542315211,-6.32462933047124,-2.42053507281967,-1.27174834492778,0.334716922643307,FALSE
MHAS,Wealth,-1.35673731446516,0.194402925479935,-2.67552387129571,-0.608892927777907,-0.142071278682403,1.04597409787582,FALSE
