cohort,metric,lower_or_equal_null,higher_or_equal_null,n,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,median,ci_high,bootstrap_bias,null_value,bootstrap_p_two_sided
CHARLS,conditional_contribution_onset,500,0,500,-0.937989829684048,500,-0.965492131828625,0.277891603105396,-1.51765224010787,-0.969953855231108,-0.38974889660035,-0.0275023021445775,0,0.00399201596806387
CHARLS,conditional_contribution_post_difficulty_mortality,212,288,500,0.0423381505456459,500,0.0389712082108861,0.184857340515935,-0.318227532312392,0.0363792148354367,0.405566464341387,-0.00336694233475983,0,0.850299401197605
CHARLS,conditional_contribution_pre_difficulty_mortality,464,36,500,-0.303514896219835,500,-0.30171479151456,0.206929731594712,-0.710193331471257,-0.301122180458851,0.100187763331452,0.00180010470527536,0,0.147704590818363
CHARLS,conditional_contribution_recovery,174,326,500,0.0746646893727139,500,0.071883213527987,0.186464044296006,-0.293287745769625,0.0678377890097647,0.453848426562428,-0.00278147584472689,0,0.698602794411178
CHARLS,conditional_contribution_relapse,487,13,500,-0.309799436648778,500,-0.298788754291142,0.167685920383811,-0.653190939442984,-0.286690717058066,0.0153634874891054,0.0110106823576362,0,0.0558882235528942
CHARLS,conditional_fdfle_gap,499,1,500,-1.4343013226343,500,-1.45514125589545,0.463527684535686,-2.44588841699023,-1.46983828282167,-0.547687276746077,-0.0208399332611537,0,0.00798403193612774
CHARLS,conditional_high_fdfle,0,500,500,16.124334381329,500,16.1224269635207,0.385199941551165,15.4104876354311,16.1055345152226,16.9240560334459,-0.00190741780832226,0,0.00399201596806387
CHARLS,conditional_low_fdfle,0,500,500,14.6900330586947,500,14.6672857076252,0.314896042780092,14.0700185130042,14.6551105184386,15.2905230227499,-0.0227473510694765,0,0.00399201596806387
CHARLS,conditional_recovery_relapse,409,91,500,-0.235134747276064,500,-0.226905540763155,0.252745445977128,-0.687168077906067,-0.232790487592725,0.307865563086151,0.00822920651290932,0,0.367265469061876
CHARLS,hazard_ratio_death_post,288,212,500,0.978237549716499,500,0.98447398347725,0.0943632464632421,0.80910235888541,0.981366447735738,1.18109960904646,0.00623643376075111,1,0.850299401197605
CHARLS,hazard_ratio_death_pre,36,464,500,1.19819214108166,500,1.20630619964825,0.149259891801442,0.942824581807368,1.19719657003554,1.53449400308938,0.00811405856659397,1,0.147704590818363
CHARLS,hazard_ratio_onset,0,500,500,1.25320243599457,500,1.26551260009866,0.0847861856069339,1.10189391876827,1.25901288907486,1.44067470998687,0.0123101641040884,1,0.00399201596806387
CHARLS,hazard_ratio_recovery,174,326,500,1.02920785419876,500,1.03127734918124,0.074978132615049,0.896515587241777,1.02719367361487,1.19627812099196,0.00206949498248465,1,0.698602794411178
CHARLS,hazard_ratio_relapse,13,487,500,1.20616546104646,500,1.20791683415198,0.126409925005139,0.991120718863013,1.19304391251854,1.49716513261247,0.00175137310551721,1,0.0558882235528942
CHARLS,initial_difficulty_high,0,500,500,0.125685447579363,500,0.126770823374102,0.00855210508726763,0.111625680575887,0.126531929082023,0.143931716027469,0.00108537579473947,0,0.00399201596806387
CHARLS,initial_difficulty_low,0,500,500,0.203973104909862,500,0.205188400109746,0.0108423838844846,0.183579159091084,0.205880316329967,0.226002898301655,0.00121529519988403,0,0.00399201596806387
CHARLS,population_contribution_initial_state,500,0,500,-0.48093355185122,500,-0.481544624893338,0.0662055156060544,-0.611132410541587,-0.481634035550435,-0.355403487455275,-0.000611073042117827,0,0.00399201596806387
CHARLS,population_contribution_onset,500,0,500,-0.783694148795254,500,-0.805577910328475,0.232028063989281,-1.26970745449077,-0.809045526564161,-0.32730170753001,-0.0218837615332209,0,0.00399201596806387
CHARLS,population_contribution_post_difficulty_mortality,212,288,500,0.0475125072429672,500,0.0436403417744133,0.207441520164052,-0.357255326256477,0.0406318551883672,0.461427235874523,-0.00387216546855386,0,0.850299401197605
CHARLS,population_contribution_pre_difficulty_mortality,464,36,500,-0.253993978939795,500,-0.251978032539379,0.172822991317494,-0.594677801114643,-0.250908728051274,0.0842078815059744,0.00201594640041597,0,0.147704590818363
CHARLS,population_contribution_recovery,174,326,500,0.0876627252428761,500,0.0844935937267532,0.219170295303469,-0.346147350701934,0.080043120081473,0.530122777155759,-0.00316913151612293,0,0.698602794411178
CHARLS,population_contribution_relapse,487,13,500,-0.379637689548534,500,-0.367382301253453,0.206269622716827,-0.800875406466589,-0.355114141925545,0.0188004435546006,0.0122553882950808,0,0.0558882235528942
CHARLS,population_fdfle_gap,500,0,500,-1.76308413664896,500,-1.77834893351348,0.46583951792051,-2.72160038352276,-1.76688129174746,-0.858252067436605,-0.0152647968645188,0,0.00399201596806387
CHARLS,population_high_difficulty_years,0,500,500,7.18670648565082,500,7.18975850835099,0.43324513508309,6.40762689569815,7.17310484362701,8.23190237186019,0.00305202270017002,0,0.00399201596806387
CHARLS,population_high_fdfle,0,500,500,15.2928120476539,500,15.2816618777763,0.390866470572458,14.5849573009416,15.2846253970126,16.1149214927233,-0.0111501698776486,0,0.00399201596806387
CHARLS,population_high_fdfle_percent,0,500,500,68.0299803796807,500,68.0190039007214,1.47012174994002,65.0357648518534,68.0312305773163,70.8524327823615,-0.010976478959293,0,0.00399201596806387
CHARLS,population_high_tle,0,500,500,22.4795185333047,500,22.4714203861272,0.552559283870975,21.4518862870622,22.4373681127004,23.6965607448403,-0.00809814717745638,0,0.00399201596806387
CHARLS,population_low_difficulty_years,0,500,500,8.50107587031966,500,8.50935560064634,0.393092091232222,7.78114652280455,8.48773786401265,9.37094090966306,0.00827973032668261,0,0.00399201596806387
CHARLS,population_low_fdfle,0,500,500,13.5297279110049,500,13.5033129442628,0.329196885734578,12.8662191051187,13.4967911992622,14.1388649848446,-0.0264149667421254,0,0.00399201596806387
