metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided
population_fdfle_gap,CHARLS,ELSA,4.58446075404351,0.786976208445712,3.04198738548992,6.12693412259711,5.69718278628862e-09
population_fdfle_gap,CHARLS,HRS,2.8059856048692,0.686752343982152,1.45995101066418,4.15202019907422,4.3910637823053e-05
population_fdfle_gap,CHARLS,MHAS,-1.19434299344266,0.827291493019298,-2.81583431976049,0.42714833287516,0.148829414352233
population_fdfle_gap,ELSA,HRS,-1.77847514917431,0.810522931021536,-3.36710009397652,-0.1898502043721,0.0282187531497677
population_fdfle_gap,ELSA,MHAS,-5.77880374748617,0.932593080699649,-7.60668618565749,-3.95092130931486,5.77361768920037e-10
population_fdfle_gap,HRS,MHAS,-4.00032859831186,0.849721768271387,-5.66578326412378,-2.33487393249995,2.50392376646053e-06
population_recovery_relapse,CHARLS,ELSA,0.953853573020706,0.503598914651678,-0.033200299696582,1.94090744573799,0.0582151981756476
population_recovery_relapse,CHARLS,HRS,1.27066807668741,0.44925394685393,0.39013034085371,2.15120581252111,0.0046781895117788
population_recovery_relapse,CHARLS,MHAS,-0.734744604218049,0.538873056822557,-1.79093579559026,0.321446587154162,0.172730132808533
population_recovery_relapse,ELSA,HRS,0.316814503666706,0.520924255832075,-0.70419703776416,1.33782604509757,0.543069638531187
population_recovery_relapse,ELSA,MHAS,-1.68859817723876,0.599930948459616,-2.8644628362196,-0.512733518257909,0.00488297417958019
population_recovery_relapse,HRS,MHAS,-2.00541268090546,0.555098536158347,-3.09340581177582,-0.917419550035101,0.000303007951781602
