exposure,block,cohort_a,cohort_b,point_difference_a_minus_b,valid_paired_replicates,ci_low,ci_high,absolute_point_difference_ge_0_75y,ci_excludes_zero,heterogeneity_trigger_pair
wealth,pre_disability_mortality,CHARLS,HRS,1.52798974244505,497,1.16591482441647,1.88113581001743,TRUE,TRUE,TRUE
wealth,pre_disability_mortality,CHARLS,MHAS,0.630260927367567,496,-0.0504574642317286,1.35664844622246,FALSE,FALSE,FALSE
wealth,pre_disability_mortality,ELSA,HRS,0.669630071810633,500,0.0990401345122392,1.22932755940247,FALSE,TRUE,FALSE
wealth,pre_disability_mortality,ELSA,MHAS,-0.228098743266846,499,-0.993688412693866,0.577148897548613,FALSE,FALSE,FALSE
wealth,pre_disability_mortality,HRS,MHAS,-0.897728815077479,499,-1.52284500207187,-0.21814783327203,TRUE,TRUE,TRUE
wealth,recovery,CHARLS,ELSA,0.0303999809537869,497,-0.521217289988078,0.571250647775205,FALSE,FALSE,FALSE
wealth,recovery,CHARLS,HRS,-0.00902299142498908,497,-0.544457664157963,0.532272629955946,FALSE,FALSE,FALSE
wealth,recovery,CHARLS,MHAS,-0.831149798728928,496,-1.49016899452883,-0.146943794363485,TRUE,TRUE,TRUE
wealth,recovery,ELSA,HRS,-0.039422972378776,500,-0.3274321992462,0.210855408791234,FALSE,FALSE,FALSE
wealth,recovery,ELSA,MHAS,-0.861549779682715,499,-1.30834096721863,-0.368693257654156,TRUE,TRUE,TRUE
wealth,recovery,HRS,MHAS,-0.822126807303939,499,-1.26754430345203,-0.316064812959417,TRUE,TRUE,TRUE
wealth,relapse,CHARLS,ELSA,0.363429955489792,497,-0.245551585018656,0.911543569420224,FALSE,FALSE,FALSE
wealth,relapse,CHARLS,HRS,0.176638019311724,497,-0.388832224461895,0.715096838080112,FALSE,FALSE,FALSE
wealth,relapse,CHARLS,MHAS,-0.403394108947081,496,-1.15835564703522,0.344956776422631,FALSE,FALSE,FALSE
wealth,relapse,ELSA,HRS,-0.186791936178068,500,-0.400192680223891,0.012445626377282,FALSE,FALSE,FALSE
wealth,relapse,ELSA,MHAS,-0.766824064436873,499,-1.36872810263694,-0.188922254911945,TRUE,TRUE,TRUE
wealth,relapse,HRS,MHAS,-0.580032128258805,499,-1.19108357473808,-0.075317748168592,FALSE,TRUE,FALSE
