cohort,exposure,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
CHARLS,education,closure_error,,498,-1.51596718221909e-16,3.71327174025107e-15,-7.99360577730113e-15,0,7.105427357601e-15
CHARLS,education,contribution_onset,-3.42965847665814,498,-3.5419441489447,1.00052868138278,-5.86857354580977,-3.46107242079627,-1.84997376438247
CHARLS,education,contribution_post_disability_mortality,-0.377345477468457,498,-0.335407466116197,0.445096919809035,-1.28091419133988,-0.325262764441552,0.501864252142349
CHARLS,education,contribution_pre_disability_mortality,-0.482554389661146,498,-0.526911808401309,0.467795072411612,-1.46416247013095,-0.552856508059039,0.411264157379168
CHARLS,education,contribution_recovery,-0.946923212695705,498,-0.951062197714101,0.674526121087409,-2.30768937349704,-0.91553906873909,0.246285380297425
CHARLS,education,contribution_relapse,-0.787905496075794,498,-0.796191606663119,0.796726461899841,-2.69155756910459,-0.687428629524127,0.521836561827297
CHARLS,education,gap_dfle,-6.02438705255925,498,-6.15151722783942,1.43309265150664,-9.04511585779773,-6.11752330755373,-3.22908950928686
CHARLS,education,gap_disabled,2.96486329719898,498,3.08046753603071,1.40220362200146,0.263296657428447,3.15608914302271,5.60330952762229
CHARLS,education,gap_tle,-3.05952375536026,498,-3.07104969180872,1.65237141518595,-6.51594645701164,-3.03169340780731,0.0613236420131674
CHARLS,education,high_dfle,19.488308458845,498,19.6156236296981,1.43476249336107,16.7431317156109,19.6027386933061,22.484634097182
CHARLS,education,high_disabled,6.71717040510534,498,6.63078975715987,1.41450098036584,4.08295315739773,6.57865838806554,9.68870489080834
CHARLS,education,high_residual_age100,0.111319386742211,498,0.121268028097554,0.0634414433633407,0.0314398234105775,0.11069466044165,0.261796201235461
CHARLS,education,high_tle,26.2054788639503,498,26.246413386858,1.66361110200946,23.1224551392197,26.1389487264518,29.7328630436017
CHARLS,education,low_dfle,13.4639214062857,498,13.4641064018587,0.189482967901989,13.0806625982596,13.4639436631591,13.8102265052096
CHARLS,education,low_disabled,9.68203370230432,498,9.71125729319057,0.330902661356818,9.09417561927093,9.67866124964314,10.3630795021668
CHARLS,education,low_residual_age100,0.0462826121170921,498,0.0488656539015695,0.0192797512473437,0.0145513734198034,0.0482639603585849,0.0894262621541907
CHARLS,education,low_tle,23.1459551085901,498,23.1753636950493,0.379592948867207,22.4596685943539,23.1832027820595,23.9182652762667
CHARLS,education,recovery_relapse_contribution,-1.7348287087715,498,-1.74725380437722,1.13621829449577,-4.05558655650192,-1.69086593275053,0.380206871348983
CHARLS,education,recovery_relapse_percent,28.7967671007214,498,27.1484486962602,16.5685853084869,-8.24885740828099,28.703613605357,56.1868491093803
CHARLS,wealth,closure_error,,497,-6.88025536387422e-17,1.84434081536496e-15,-3.5527136788005e-15,0,3.99680288865056e-15
CHARLS,wealth,contribution_onset,-2.21318727906642,497,-2.19018885554273,0.315222821495744,-2.86574574323319,-2.18371234091102,-1.61017354483541
CHARLS,wealth,contribution_post_disability_mortality,-0.386064670617423,497,-0.423470549021619,0.20089047673804,-0.825435345058573,-0.413480610524553,-0.061253811825412
CHARLS,wealth,contribution_pre_disability_mortality,-0.0818257016266741,497,-0.0656770061110775,0.145442254115629,-0.346118456788062,-0.0655562693665442,0.226841713939131
CHARLS,wealth,contribution_recovery,-0.88575985306015,497,-0.882624518950626,0.248843967653301,-1.39930112405002,-0.876543692190449,-0.411822767485471
CHARLS,wealth,contribution_relapse,-0.189084449918607,497,-0.200289585750569,0.274764716693945,-0.747802412011563,-0.188499863283498,0.34879197684256
