cohort,component,denominator_gap_ci_excludes_zero,point_percent,ci_low,ci_high
CHARLS,population_contribution_initial_state,TRUE,22.2145753709517,15.8910243350319,30.9071042845422
CHARLS,population_contribution_onset,TRUE,26.8658600395098,14.3759006939613,43.4834982281479
CHARLS,population_contribution_post_difficulty_mortality,TRUE,6.29213291631947,-5.13641292031229,16.3630840319648
CHARLS,population_contribution_pre_difficulty_mortality,TRUE,6.54854213606611,-2.7474829535102,16.1972298336277
CHARLS,population_contribution_recovery,TRUE,15.4355237910103,-1.35374310816501,28.9325142793567
CHARLS,population_contribution_relapse,TRUE,22.6433657461425,3.63657799463142,38.2603107681377
CHARLS,population_recovery_relapse,TRUE,38.0788895371528,17.4730369773799,53.859909229881
ELSA,population_contribution_initial_state,TRUE,20.0902308398098,17.3607917834846,23.1144598502038
ELSA,population_contribution_onset,TRUE,32.8383451339287,27.6100177172318,38.019037081051
ELSA,population_contribution_post_difficulty_mortality,TRUE,8.75715261549448,5.74549802440577,11.7211294756672
ELSA,population_contribution_pre_difficulty_mortality,TRUE,10.7108813619312,5.54433749191778,16.1837061602581
ELSA,population_contribution_recovery,TRUE,17.1186048177685,13.6899008160504,21.0835096295014
ELSA,population_contribution_relapse,TRUE,10.4847852310674,7.19919176946195,13.6557104046976
ELSA,population_recovery_relapse,TRUE,27.6033900488359,23.5134777089231,32.7113484856213
HRS,population_contribution_initial_state,TRUE,22.6639956504957,20.7482064230316,24.7326678212181
HRS,population_contribution_onset,TRUE,30.9529743058894,27.7645850829007,34.2528994138831
HRS,population_contribution_post_difficulty_mortality,TRUE,4.50386647170722,2.93647289687084,6.09633239708987
HRS,population_contribution_pre_difficulty_mortality,TRUE,18.902941724046,15.8426737772102,21.7397548970987
HRS,population_contribution_recovery,TRUE,16.0499925152976,13.4259435965451,18.6691624738695
HRS,population_contribution_relapse,TRUE,6.9262293325644,4.76974758012453,9.1248937569741
HRS,population_recovery_relapse,TRUE,22.976221847862,19.7697469673982,26.4769604095796
MHAS,population_contribution_initial_state,TRUE,4.3663441520043,-11.5554060061012,28.7402341847094
MHAS,population_contribution_onset,TRUE,60.9785138628198,-1.05705082549688,233.949315630788
MHAS,population_contribution_post_difficulty_mortality,TRUE,2.37125882327533,-52.7408473057192,45.4858821754671
MHAS,population_contribution_pre_difficulty_mortality,TRUE,46.6125909675506,-6.64299492225152,167.42048589793
MHAS,population_contribution_recovery,TRUE,4.6690558888621,-85.2575097099362,47.0009921946211
MHAS,population_contribution_relapse,TRUE,-18.9977636945121,-203.975332777513,32.8375029447363
MHAS,population_recovery_relapse,TRUE,-14.32870780565,-253.075121831266,40.4618768034916
