metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided
population_fdfle_gap,CHARLS,ELSA,4.5333309775902,0.55083335261841,3.45369760645812,5.61296434872228,1.87291526315378e-16
population_fdfle_gap,CHARLS,HRS,4.56539859690434,0.469289992335045,3.64559021192765,5.48520698188103,2.28354827302721e-22
population_fdfle_gap,CHARLS,MHAS,-1.31887216401958,0.765781297256232,-2.81980350664179,0.182059178602635,0.0850229818367342
population_fdfle_gap,ELSA,HRS,0.03206761931414,0.418191798130991,-0.787588305022602,0.851723543650883,0.938876836560708
population_fdfle_gap,ELSA,MHAS,-5.85220314160978,0.7355761540083,-7.29393240346605,-4.41047387975351,1.77769916145951e-15
population_fdfle_gap,HRS,MHAS,-5.88427076092392,0.67667421474047,-7.21055222181524,-4.5579893000326,3.44183414453925e-18
population_recovery_relapse,CHARLS,ELSA,0.971069574720902,0.380451436762323,0.22538475866675,1.71675439077505,0.0106979315395121
population_recovery_relapse,CHARLS,HRS,0.6448677016652,0.352706130805405,-0.0464363147133935,1.33617171804379,0.067498125736814
population_recovery_relapse,CHARLS,MHAS,-1.21324530323773,0.521345499593491,-2.23508248244097,-0.191408124034487,0.0199576786975012
population_recovery_relapse,ELSA,HRS,-0.326201873055702,0.238777674749049,-0.794206115563838,0.141802369452434,0.171897469366653
population_recovery_relapse,ELSA,MHAS,-2.18431487795863,0.452121989287438,-3.07047397696201,-1.29815577895525,1.35677728989807e-06
population_recovery_relapse,HRS,MHAS,-1.85811300490293,0.429036842439474,-2.6990252160843,-1.01720079372156,1.48505291868588e-05
