cohort,metric,psu_bootstrap_mean,psu_bootstrap_sd,psu_ci_low,psu_ci_high
ELSA,initial_difficulty_high,0.163847306846338,0.0130771312057175,0.137898065189112,0.190520151479389
ELSA,initial_difficulty_low,0.332712968346069,0.017114304701791,0.296254452458704,0.364403733593572
ELSA,population_high_tle,26.4440241940246,0.626317224676695,25.2364865595119,27.8247041448993
ELSA,population_low_tle,21.2420966504321,0.437766109498077,20.4099408523398,22.0775243310621
ELSA,population_high_fdfle,18.6400173776523,0.462005317985586,17.6959968536272,19.6568881436777
ELSA,population_low_fdfle,11.8684920272217,0.274968267336479,11.3143587770443,12.4411520679892
ELSA,population_high_difficulty_years,7.80400681637224,0.488871197605488,6.92540646094644,8.797205283328
ELSA,population_low_difficulty_years,9.37360462321045,0.365223962020093,8.6609062753136,10.0851243487999
ELSA,population_high_fdfle_percent,70.5018124926602,1.45992033071867,67.7052877401403,73.2511522807904
ELSA,population_low_fdfle_percent,55.8813997228966,1.16049182739493,53.6500352852124,57.9847365411405
ELSA,population_fdfle_gap,-6.77152535043068,0.503900883367659,-7.80094538770199,-5.78770693715443
ELSA,conditional_high_fdfle,19.9643040330096,0.427907641755901,19.1146217979741,20.7951182306746
ELSA,conditional_low_fdfle,14.4398244933383,0.292426523016575,13.8693450709759,15.004063602783
ELSA,conditional_fdfle_gap,-5.52447953967123,0.489730799170926,-6.48428735873413,-4.612443726487
ELSA,population_recovery_relapse,-1.97023439859505,0.340888424186375,-2.62430577975186,-1.35330632332938
ELSA,conditional_recovery_relapse,-1.37404363344421,0.243956463284919,-1.87145097621903,-0.922533989547849
ELSA,population_contribution_initial_state,-1.34722086425713,0.125220166095301,-1.60628643657623,-1.11810767965407
ELSA,population_contribution_onset,-1.92639804899955,0.228144293756007,-2.40694348748829,-1.51830532592443
ELSA,population_contribution_recovery,-1.19079989868143,0.244763820014884,-1.65701716538617,-0.722038900050031
ELSA,population_contribution_relapse,-0.779434499913627,0.190864371545526,-1.17178663914321,-0.409533218293022
ELSA,population_contribution_post_difficulty_mortality,-0.722451353316304,0.143585176406186,-1.0367552890008,-0.463661187826536
ELSA,population_contribution_pre_difficulty_mortality,-0.805220685262647,0.213883668668579,-1.24799888935862,-0.397853352789356
ELSA,conditional_contribution_onset,-2.56588938652724,0.300327062616378,-3.17507225698493,-2.00545645291084
ELSA,conditional_contribution_recovery,-0.846395716612059,0.178301019586069,-1.18386392283768,-0.503635286515218
ELSA,conditional_contribution_relapse,-0.527647916832146,0.129763803632266,-0.798184947270573,-0.27633735297431
ELSA,conditional_contribution_post_difficulty_mortality,-0.525223941629459,0.10958241999553,-0.767327511533437,-0.329733929479453
ELSA,conditional_contribution_pre_difficulty_mortality,-1.05932257807033,0.28061358489694,-1.64141034603607,-0.535142347731972
ELSA,hazard_ratio_onset,1.81392984311483,0.120640315580137,1.5917433696563,2.07544441104409
ELSA,hazard_ratio_recovery,0.666338289772167,0.0534437564735656,0.573018923715156,0.776354277234731
ELSA,hazard_ratio_relapse,1.49759700519579,0.141947230223928,1.24934720097982,1.80600124287257
ELSA,hazard_ratio_death_pre,1.66146060378363,0.224398534352172,1.2756812744574,2.16495046038545
ELSA,hazard_ratio_death_post,1.62968639247291,0.152707549990167,1.35681042408982,1.96304038788709
HRS,initial_difficulty_high,0.168527934843013,0.0167297361505857,0.136338227536419,0.203301021751391
HRS,initial_difficulty_low,0.318257276280857,0.0134509059444654,0.291832259350615,0.344223197659172
HRS,population_high_tle,23.10092768374,0.357198321501855,22.4112589859654,23.8118000651703
HRS,population_low_tle,19.9287073293913,0.222521974030094,19.4768993145569,20.3597043362419
HRS,population_high_fdfle,15.754803165862,0.428161502964755,14.9371469163656,16.5714343756762
HRS,population_low_fdfle,11.2345091135224,0.180245264449486,10.8637955109724,11.6073940330632
HRS,population_high_difficulty_years,7.34612451787808,0.364587906413387,6.65199262042758,8.08708706195782
HRS,population_low_difficulty_years,8.69419821586893,0.217362958508615,8.28240833603717,9.08108491988287
HRS,population_high_fdfle_percent,68.1994678041891,1.50752337362208,65.2146774310733,71.1085800320207
HRS,population_low_fdfle_percent,56.3761470168578,0.849452269752575,54.7357846842636,58.1700461369979
HRS,population_fdfle_gap,-4.52029405233958,0.387677923128653,-5.33777481808691,-3.80153436353034
HRS,conditional_high_fdfle,17.1935448300176,0.337986362809543,16.5313936721262,17.8310642619503
HRS,conditional_low_fdfle,13.5471918358832,0.163737634783879,13.2283352497334,13.8813584200139
HRS,conditional_fdfle_gap,-3.64635299413444,0.347328973540982,-4.36179353834491,-3.02201034533489
HRS,population_recovery_relapse,-1.09098334725059,0.235739530994339,-1.57747576769776,-0.649897325479064
HRS,conditional_recovery_relapse,-0.797202826731387,0.177006920954276,-1.15335346591481,-0.473050775811871
HRS,population_contribution_initial_state,-1.17988741032643,0.118552387808623,-1.42504220277045,-0.95164300349059
HRS,population_contribution_onset,-1.28155636244307,0.187016025951789,-1.66162205763896,-0.922652137265468
HRS,population_contribution_recovery,-0.83898124885969,0.232868876031813,-1.27349932610476,-0.397081702280857
HRS,population_contribution_relapse,-0.252002098390896,0.139009923220467,-0.521456844309517,0.0226502121951372
HRS,population_contribution_post_difficulty_mortality,-0.198457687984117,0.0864721756409876,-0.367906112226106,-0.035189172534865
HRS,population_contribution_pre_difficulty_mortality,-0.769409244335384,0.134350428754289,-0.997045249186236,-0.497694115576427
HRS,conditional_contribution_onset,-1.6906518362253,0.238678297948502,-2.17560014948796,-1.22419145528263
HRS,conditional_contribution_recovery,-0.618472924982604,0.17695701940648,-0.949491677606455,-0.289754212261678
HRS,conditional_contribution_relapse,-0.178729901748783,0.0979196801018358,-0.36796063481447,0.0163691986963028
HRS,conditional_contribution_post_difficulty_mortality,-0.148178883052153,0.0647698268958659,-0.274430273970235,-0.0268160570575545
HRS,conditional_contribution_pre_difficulty_mortality,-1.0103194481256,0.175694938307307,-1.31317536250012,-0.654516815809281
HRS,hazard_ratio_onset,1.44211275217388,0.0726472682739895,1.30322871523449,1.58762987183013
HRS,hazard_ratio_recovery,0.731413993359144,0.0641065850086961,0.616729808335763,0.859107843202032
HRS,hazard_ratio_relapse,1.15018916030559,0.0866593485865674,0.987513024853168,1.32665288834038
HRS,hazard_ratio_death_pre,1.58638334549166,0.131621514435992,1.33535725278436,1.83991704440633
HRS,hazard_ratio_death_post,1.13031669657181,0.0606238302748223,1.02103302352515,1.25527770481468
