cohort,metric,point_estimate,household_ci_low,household_ci_high,household_bootstrap_sd,psu_bootstrap_mean,psu_bootstrap_sd,psu_ci_low,psu_ci_high,household_ci_width,psu_ci_width,psu_to_household_width_ratio
ELSA,initial_difficulty_high,0.164849738643327,0.140577241404482,0.202817283872927,0.0158190421274926,0.163847306846338,0.0130771312057175,0.137898065189112,0.190520151479389,0.062240042468445,0.0526220862902762,0.845469961190257
ELSA,initial_difficulty_low,0.337708709777973,0.301475739051797,0.379400170070163,0.0195476605019726,0.332712968346069,0.017114304701791,0.296254452458704,0.364403733593572,0.077924431018366,0.068149281134868,0.8745560313274
ELSA,population_high_tle,26.1936818244397,24.7056767437697,27.7908296060267,0.808638285873351,26.4440241940246,0.626317224676695,25.2364865595119,27.8247041448993,3.085152862257,2.58821758538737,0.838926854176656
ELSA,population_low_tle,21.190998892164,20.0616744136273,22.26749255755,0.572436859878183,21.2420966504321,0.437766109498077,20.4099408523398,22.0775243310621,2.2058181439227,1.66758347872232,0.755993182537157
ELSA,population_high_fdfle,18.4726568098181,17.5349344747229,19.6898500524925,0.549459638959589,18.6400173776523,0.462005317985586,17.6959968536272,19.6568881436777,2.1549155777696,1.96089129005052,0.909962000497531
ELSA,population_low_fdfle,11.8384860178403,11.1251772021987,12.4643788012788,0.333940434949881,11.8684920272217,0.274968267336479,11.3143587770443,12.4411520679892,1.3392015990801,1.12679329094485,0.841391835044733
ELSA,population_high_difficulty_years,7.72102501462158,6.63495872015908,9.19382802270445,0.633116431080496,7.80400681637224,0.488871197605488,6.92540646094644,8.797205283328,2.55886930254537,1.87179882238156,0.731494500527886
ELSA,population_low_difficulty_years,9.35251287432367,8.45087514891751,10.3223115684944,0.471476836232535,9.37360462321045,0.365223962020093,8.6609062753136,10.0851243487999,1.87143641957689,1.42421807348627,0.761029366847672
ELSA,population_high_fdfle_percent,70.5233305253881,66.5151014904115,73.9618518917077,1.84035458571017,70.5018124926602,1.45992033071867,67.7052877401403,73.2511522807904,7.4467504012962,5.54586454065009,0.744736192539065
ELSA,population_low_fdfle_percent,55.8656346408379,53.0030971466995,58.5872162328251,1.43005095627987,55.8813997228966,1.16049182739493,53.6500352852124,57.9847365411405,5.5841190861256,4.33470125592806,0.776255160227177
ELSA,population_fdfle_gap,-6.63417079197773,-7.83944925094389,-5.63623081032602,0.554117472218447,-6.77152535043068,0.503900883367659,-7.80094538770199,-5.78770693715443,2.20321844061787,2.01323845054756,0.913771604953964
ELSA,conditional_high_fdfle,19.8152449652355,18.9813558872021,20.9865277873343,0.506335534442816,19.9643040330096,0.427907641755901,19.1146217979741,20.7951182306746,2.0051719001322,1.68049643270056,0.838080980782629
ELSA,conditional_low_fdfle,14.4624491080831,13.8073221046365,15.1030559792418,0.333638797010549,14.4398244933383,0.292426523016575,13.8693450709759,15.004063602783,1.2957338746053,1.1347185318071,0.875734249174238
ELSA,conditional_fdfle_gap,-5.35279585715231,-6.5132661749582,-4.33382209351646,0.544343645980611,-5.52447953967123,0.489730799170926,-6.48428735873413,-4.612443726487,2.17944408144174,1.87184363224713,0.858862885350501
ELSA,population_recovery_relapse,-1.86946195565414,-2.76533977927872,-1.22102230391519,0.384847627384017,-1.97023439859505,0.340888424186375,-2.62430577975186,-1.35330632332938,1.54431747536353,1.27099945642248,0.823016948715997
ELSA,conditional_recovery_relapse,-1.29041791134284,-1.93859592120683,-0.83024562398535,0.275999736771419,-1.37404363344421,0.243956463284919,-1.87145097621903,-0.922533989547849,1.10835029722148,0.948916986671179,0.856152598190316
ELSA,population_contribution_initial_state,-1.38937648279744,-1.66266767797071,-1.08320856008589,0.148362980076275,-1.34722086425713,0.125220166095301,-1.60628643657623,-1.11810767965407,0.57945911788482,0.488178756922166,0.842473164809536
ELSA,population_contribution_onset,-1.92035979030856,-2.49883836834692,-1.37026300683093,0.280515241382128,-1.92639804899955,0.228144293756007,-2.40694348748829,-1.51830532592443,1.12857536151599,0.888638161563856,0.78739815865745
ELSA,population_contribution_recovery,-1.08873178916717,-1.69956109417293,-0.601984301069915,0.280089775204476,-1.19079989868143,0.244763820014884,-1.65701716538617,-0.722038900050031,1.09757679310301,0.934978265336134,0.851856809665964
ELSA,population_contribution_relapse,-0.780730166486967,-1.32551285590093,-0.348932513520123,0.235277072958998,-0.779434499913627,0.190864371545526,-1.17178663914321,-0.409533218293022,0.976580342380807,0.762253420850184,0.780533242141538
