cohort,wealth,origin_state,destination_state,observed,expected,observed_minus_expected,pearson_component,wealth_low,origin,destination
ELSA,high,I0,I0,2380,2382.71385080401,-2.71385080400842,0.00309100741741688,0,1,1
ELSA,high,I0,D1,237,213.091670931154,23.9083290688463,2.68245209381703,0,1,2
ELSA,high,I0,R1,0,29.5848363779108,-29.5848363779108,29.5848363779108,0,1,3
ELSA,high,I0,D2,0,3.54125437428898,-3.54125437428898,3.54125437428898,0,1,4
ELSA,high,I0,DEAD,53,41.0683875126388,11.9316124873612,3.46649540366642,0,1,5
ELSA,high,D1,I0,0,0,0,,0,2,1
ELSA,high,D1,D1,469,509.391852701183,-40.3918527011832,3.20284228336714,0,2,2
ELSA,high,D1,R1,194,131.67696034814,62.3230396518597,29.4976529012968,0,2,3
ELSA,high,D1,D2,0,23.2339801013263,-23.2339801013263,23.2339801013263,0,2,4
ELSA,high,D1,DEAD,75,73.6972068493503,1.30279315064971,0.0230303164250078,0,2,5
ELSA,high,R1,I0,0,0,0,,0,3,1
ELSA,high,R1,D1,0,0,0,,0,3,2
ELSA,high,R1,R1,281,303.417905461737,-22.4179054617372,1.65633759987432,0,3,3
ELSA,high,R1,D2,131,104.039688768273,26.9603112317275,6.98635674824579,0,3,4
ELSA,high,R1,DEAD,7,11.54240576999,-4.54240576998996,1.78762128020873,0,3,5
ELSA,high,D2,I0,0,0,0,,0,4,1
ELSA,high,D2,D1,0,0,0,,0,4,2
ELSA,high,D2,R1,41,43.1638717087257,-2.16387170872574,0.108478238546824,0,4,3
ELSA,high,D2,D2,108,106.092243498048,1.90775650195211,0.0343053813430528,0,4,4
ELSA,high,D2,DEAD,8,7.74388479322641,0.256115206773591,0.00847055462370199,0,4,5
ELSA,low,I0,I0,2937,2951.74044497817,-14.7404449781652,0.0736110515827971,1,1,1
ELSA,low,I0,D1,575,532.939679663947,42.0603203360529,3.31945736877182,1,1,2
ELSA,low,I0,R1,0,52.8985452485487,-52.8985452485487,52.8985452485487,1,1,3
ELSA,low,I0,D2,0,9.12731414655568,-9.12731414655568,9.12731414655568,1,1,4
ELSA,low,I0,DEAD,134,99.2940159627792,34.7059840372208,12.1306940434693,1,1,5
ELSA,low,D1,I0,0,0,0,,1,2,1
ELSA,low,D1,D1,1861,1953.70662904544,-92.7066290454352,4.39908374225415,1,2,2
ELSA,low,D1,R1,552,382.087482761416,169.912517238584,75.5593020365423,1,2,3
ELSA,low,D1,D2,0,88.8114699274221,-88.8114699274221,88.8114699274221,1,2,4
ELSA,low,D1,DEAD,345,333.394418265726,11.6055817342742,0.40399454823376,1,2,5
ELSA,low,R1,I0,0,0,0,,1,3,1
ELSA,low,R1,D1,0,0,0,,1,3,2
ELSA,low,R1,R1,666,763.352144776238,-97.3521447762381,12.4155544166471,1,3,3
ELSA,low,R1,D2,445,353.176103072034,91.8238969279659,23.8737218449856,1,3,4
ELSA,low,R1,DEAD,43,37.471752151727,5.52824784827298,0.815588343672537,1,3,5
ELSA,low,D2,I0,0,0,0,,1,4,1
ELSA,low,D2,D1,0,0,0,,1,4,2
ELSA,low,D2,R1,161,147.612136928792,13.3878630712083,1.21422859490129,1,4,3
ELSA,low,D2,D2,448,453.987475904799,-5.98747590479911,0.0789666447055637,1,4,4
ELSA,low,D2,DEAD,27,34.4003871664089,-7.4003871664089,1.59200912326437,1,4,5
