cohort,wealth,origin_state,destination_state,observed,expected,observed_minus_expected,pearson_component,wealth_low,origin,destination
HRS,high,I0,I0,2256,2267.03381234379,-11.0338123437914,0.053702337466302,0,1,1
HRS,high,I0,D1,311,263.711551709828,47.2884482901724,8.47970946738383,0,1,2
HRS,high,I0,R1,0,31.8092770300953,-31.8092770300953,31.8092770300953,0,1,3
HRS,high,I0,D2,0,4.47952932009062,-4.47952932009062,4.47952932009062,0,1,4
HRS,high,I0,DEAD,121,120.965829596194,0.0341704038056463,9.65244896131941e-06,0,1,5
HRS,high,D1,I0,0,0,0,,0,2,1
HRS,high,D1,D1,481,567.714644183294,-86.7146441832938,13.2450864054292,0,2,2
HRS,high,D1,R1,196,116.086183976642,79.9138160233585,55.0127308233355,0,2,3
HRS,high,D1,D2,0,23.5776229223121,-23.5776229223121,23.5776229223121,0,2,4
HRS,high,D1,DEAD,198,167.621548917752,30.3784510822476,5.50555877877806,0,2,5
HRS,high,R1,I0,0,0,0,,0,3,1
HRS,high,R1,D1,0,0,0,,0,3,2
HRS,high,R1,R1,305,336.202453663067,-31.2024536630674,2.89585368574251,0,3,3
HRS,high,R1,D2,159,123.495631695523,35.5043683044771,10.2073259709125,0,3,4
HRS,high,R1,DEAD,34,38.3019146414098,-4.30191464140977,0.483173485065618,0,3,5
HRS,high,D2,I0,0,0,0,,0,4,1
HRS,high,D2,D1,0,0,0,,0,4,2
HRS,high,D2,R1,53,53.3049246405696,-0.304924640569588,0.00174428604961816,0,4,3
HRS,high,D2,D2,136,151.646847249841,-15.6468472498412,1.61443401758635,0,4,4
HRS,high,D2,DEAD,52,36.0482281095893,15.9517718904107,7.05884976288223,0,4,5
HRS,low,I0,I0,7083,7156.40224655005,-73.4022465500493,0.752876880445284,1,1,1
HRS,low,I0,D1,1388,1200.8224316864,187.177568313602,29.1762055365591,1,1,2
HRS,low,I0,R1,0,103.193318669377,-103.193318669377,103.193318669377,1,1,3
HRS,low,I0,D2,0,15.7943722194187,-15.7943722194187,15.7943722194187,1,1,4
HRS,low,I0,DEAD,525,519.787630874758,5.21236912524194,0.0522690235087984,1,1,5
HRS,low,D1,I0,0,0,0,,1,2,1
HRS,low,D1,D1,4501,4923.36587770185,-422.365877701854,36.2339381387044,1,2,2
HRS,low,D1,R1,1108,746.577258106077,361.422741893923,174.96702041192,1,2,3
HRS,low,D1,D2,0,155.54899416844,-155.54899416844,155.54899416844,1,2,4
HRS,low,D1,DEAD,1410,1193.50787002363,216.492129976375,39.2698226118775,1,2,5
HRS,low,R1,I0,0,0,0,,1,3,1
HRS,low,R1,D1,0,0,0,,1,3,2
HRS,low,R1,R1,1951,2165.49198718256,-214.491987182557,21.2454319100853,1,3,3
HRS,low,R1,D2,1070,864.428965006466,205.571034993535,48.8871291211267,1,3,4
HRS,low,R1,DEAD,227,218.079047810979,8.92095218902074,0.364929087675461,1,3,5
HRS,low,D2,I0,0,0,0,,1,4,1
HRS,low,D2,D1,0,0,0,,1,4,2
HRS,low,D2,R1,404,365.319859182098,38.6801408179017,4.09546115845547,1,4,3
HRS,low,D2,D2,1361,1446.4920495563,-85.4920495563042,5.05283837514316,1,4,4
HRS,low,D2,DEAD,364,317.188091261598,46.8119087384016,6.90869190900719,1,4,5
