cohort,wealth,age,female_standardisation,origin,destination,intensity
HRS,high,70,0.634000315109501,I0,I0,-0.0618739334524741
HRS,high,70,0.634000315109501,D1,I0,0
HRS,high,70,0.634000315109501,R1,I0,0
HRS,high,70,0.634000315109501,D2,I0,0
HRS,high,70,0.634000315109501,DEAD,I0,0
HRS,high,70,0.634000315109501,I0,D1,0.0514962641947128
HRS,high,70,0.634000315109501,D1,D1,-0.205022259068816
HRS,high,70,0.634000315109501,R1,D1,0
HRS,high,70,0.634000315109501,D2,D1,0
HRS,high,70,0.634000315109501,DEAD,D1,0
HRS,high,70,0.634000315109501,I0,R1,0
HRS,high,70,0.634000315109501,D1,R1,0.140325696144765
HRS,high,70,0.634000315109501,R1,R1,-0.201107848152166
HRS,high,70,0.634000315109501,D2,R1,0.254486425567225
HRS,high,70,0.634000315109501,DEAD,R1,0
HRS,high,70,0.634000315109501,I0,D2,0
HRS,high,70,0.634000315109501,D1,D2,0
HRS,high,70,0.634000315109501,R1,D2,0.18228255268692
HRS,high,70,0.634000315109501,D2,D2,-0.306552380642156
HRS,high,70,0.634000315109501,DEAD,D2,0
HRS,high,70,0.634000315109501,I0,DEAD,0.0103776692577613
HRS,high,70,0.634000315109501,D1,DEAD,0.0646965629240512
HRS,high,70,0.634000315109501,R1,DEAD,0.0188252954652459
HRS,high,70,0.634000315109501,D2,DEAD,0.0520659550749315
HRS,high,70,0.634000315109501,DEAD,DEAD,0
HRS,low,70,0.634000315109501,I0,I0,-0.0959854508867808
HRS,low,70,0.634000315109501,D1,I0,0
HRS,low,70,0.634000315109501,R1,I0,0
HRS,low,70,0.634000315109501,D2,I0,0
HRS,low,70,0.634000315109501,DEAD,I0,0
HRS,low,70,0.634000315109501,I0,D1,0.0783708741940557
HRS,low,70,0.634000315109501,D1,D1,-0.164270964948327
HRS,low,70,0.634000315109501,R1,D1,0
HRS,low,70,0.634000315109501,D2,D1,0
HRS,low,70,0.634000315109501,DEAD,D1,0
HRS,low,70,0.634000315109501,I0,R1,0
HRS,low,70,0.634000315109501,D1,R1,0.0944163331869694
HRS,low,70,0.634000315109501,R1,R1,-0.219815398526336
HRS,low,70,0.634000315109501,D2,R1,0.171227906278321
HRS,low,70,0.634000315109501,DEAD,R1,0
HRS,low,70,0.634000315109501,I0,D2,0
HRS,low,70,0.634000315109501,D1,D2,0
HRS,low,70,0.634000315109501,R1,D2,0.199489216993829
HRS,low,70,0.634000315109501,D2,D2,-0.227444928554023
HRS,low,70,0.634000315109501,DEAD,D2,0
HRS,low,70,0.634000315109501,I0,DEAD,0.0176145766927251
HRS,low,70,0.634000315109501,D1,DEAD,0.0698546317613574
HRS,low,70,0.634000315109501,R1,DEAD,0.0203261815325067
HRS,low,70,0.634000315109501,D2,DEAD,0.0562170222757016
HRS,low,70,0.634000315109501,DEAD,DEAD,0
