cohort,intervals,people,onset_events,recovery_events,relapse_events
CHARLS,25216,10278,2320,2229,1044
ELSA,19082,4827,1153,1502,838
HRS,41789,8239,3013,2756,1821
MHAS,27440,12845,2335,2105,766
