cohort,origin_state,exposure,level,intervals,persons,deaths,person_years
HRS,R1,wealth,middle,6635,2311,330,12970.1386892539
MHAS,D1,wealth,low,1935,1509,292,5123.58333333331
MHAS,R1,wealth,low,828,604,75,2399.74999999999
MHAS,D1,wealth,high,2079,1580,293,5532.66666666664
MHAS,I0,wealth,high,8068,4342,348,22173.2499999999
MHAS,I0,wealth,middle,7228,4033,378,19618.6249999999
MHAS,I0,wealth,low,5703,3354,294,15555.5
MHAS,D1,wealth,middle,2195,1669,344,5772.91666666663
MHAS,R1,wealth,high,829,587,53,2450.74999999999
MHAS,D2,wealth,low,241,181,45,661.291666666663
MHAS,R1,wealth,middle,927,646,75,2713.66666666665
MHAS,D2,wealth,high,246,179,44,678.374999999996
MHAS,D2,wealth,middle,247,186,35,703.958333333328
MHAS,I0,wealth,,1,1,0,1.875
