cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
CHARLS,conditional_fdfle_gap,500,1000,-2.87265792412688,-0.920489681256873,-2.97179233139204,-1.0049039545527,0.0991344072651632,0.00748397018492434,FALSE
CHARLS,population_contribution_initial_state,500,1000,-0.5769823820663,-0.310642017080757,-0.571656336605832,-0.314936804671457,0.00532604546046855,0.0374760462465621,FALSE
CHARLS,population_contribution_onset,500,1000,-1.80100896768124,-0.757875066526284,-1.80757128729919,-0.767797015595747,0.00992194906946298,0.00323111423598498,FALSE
CHARLS,population_contribution_post_difficulty_mortality,500,1000,-0.373301731588449,0.345272662928912,-0.360365372344136,0.318685459115319,0.0265872038135934,0.0582041302754321,FALSE
CHARLS,population_contribution_pre_difficulty_mortality,500,1000,-0.734701454796622,0.169923380368356,-0.744120403439017,0.1693060495921,0.00941894864239545,0.00963582545363316,FALSE
CHARLS,population_contribution_recovery,500,1000,-0.179411125916486,0.649632623617034,-0.208482514390016,0.646910553899689,0.0290713884735294,0.0308037552944728,FALSE
CHARLS,population_contribution_relapse,500,1000,-0.760319138967368,0.071611287474365,-0.818218463914208,0.0726703272593175,0.0578993249468399,0.0661792642537678,FALSE
CHARLS,population_fdfle_gap,500,1000,-3.16189982977625,-1.10261643071545,-3.23975258327652,-1.24196421347498,0.139347782759525,0.0307815533360831,TRUE
CHARLS,population_recovery_relapse,500,1000,-0.68129776524455,0.436064338627416,-0.794259735619032,0.452568016237411,0.112961970374483,0.103836033318726,TRUE
ELSA,conditional_fdfle_gap,500,1000,-7.14030193347766,-4.68284531091507,-7.16181858748192,-4.68583543587311,0.0215166540042615,0.00748249398796528,FALSE
ELSA,population_contribution_initial_state,500,1000,-1.31406226741127,-0.778601870544363,-1.32167912424033,-0.751424245555601,0.0271776249887618,0.0610156670611452,FALSE
ELSA,population_contribution_onset,500,1000,-2.82883311322638,-1.60784283785746,-2.83386793872739,-1.60694202561478,0.00503482550100909,0.00483781268310569,FALSE
