metric,cohort_1,cohort_2,contrast_1_minus_2,se_independent_cohorts,ci_low,ci_high,p_two_sided
population_fdfle_gap,CHARLS,ELSA,4.44876622646377,0.84495415541882,2.79265608184288,6.10487637108466,1.40114782131074e-07
population_fdfle_gap,CHARLS,HRS,2.65130190357093,0.723407778484864,1.2334226577406,4.06918114940126,0.000247322023985732
population_fdfle_gap,CHARLS,MHAS,-0.154931024824,0.896835407460668,-1.91272842344691,1.60286637379891,0.862845566550577
population_fdfle_gap,ELSA,HRS,-1.79746432289284,0.847212506784555,-3.45800083619057,-0.136927809595113,0.0338695301362778
population_fdfle_gap,ELSA,MHAS,-4.60369725128777,0.999381791786755,-6.56248556318981,-2.64490893938573,4.09414384450963e-06
population_fdfle_gap,HRS,MHAS,-2.80623292839493,0.898963433609945,-4.56820125827042,-1.04426459851944,0.00179851663052549
population_recovery_relapse,CHARLS,ELSA,0.968246212262772,0.488663011471035,0.0104667097795442,1.926025714746,0.0475442963400679
population_recovery_relapse,CHARLS,HRS,0.431422683677093,0.463307181429613,-0.476659391924949,1.33950475927913,0.35176012399899
population_recovery_relapse,CHARLS,MHAS,0.138362378047503,0.49962572171034,-0.840904036504764,1.11762879259977,0.781832278154001
population_recovery_relapse,ELSA,HRS,-0.536823528585679,0.503688350833231,-1.52405269621881,0.450405639047453,0.286520807584923
population_recovery_relapse,ELSA,MHAS,-0.829883834215269,0.537284163358111,-1.88296079439717,0.223193125966629,0.122445426749509
population_recovery_relapse,HRS,MHAS,-0.29306030562959,0.514330902998971,-1.30114887550757,0.715028264248394,0.568820533945264
