cohort,component,denominator_gap_ci_excludes_zero,point_percent,ci_low,ci_high
CHARLS,population_contribution_initial_state,TRUE,19.8994602681012,12.7110458685519,36.2894514855448
CHARLS,population_contribution_onset,TRUE,57.7683945854888,36.4490547206472,98.243433236326
CHARLS,population_contribution_post_difficulty_mortality,TRUE,1.60997253997246,-18.7807039246173,16.7652238897914
CHARLS,population_contribution_pre_difficulty_mortality,TRUE,12.598397158551,-11.0470378398355,33.0898603564707
CHARLS,population_contribution_recovery,TRUE,-9.39378433140533,-41.2517474008062,8.27245837002259
CHARLS,population_contribution_relapse,TRUE,17.5175597792918,-4.16307655745401,35.3684677875929
CHARLS,population_recovery_relapse,TRUE,8.12377544788644,-30.2862861713352,29.6058932244764
ELSA,population_contribution_initial_state,TRUE,15.888574412124,11.1097683665013,20.6764562850304
ELSA,population_contribution_onset,TRUE,32.9787261303046,24.3307915237331,43.5921182503744
ELSA,population_contribution_post_difficulty_mortality,TRUE,7.09124938329459,0.319339317887917,13.325015515961
ELSA,population_contribution_pre_difficulty_mortality,TRUE,26.8318772421434,18.3356633271193,36.0687219557339
ELSA,population_contribution_recovery,TRUE,9.26610036765692,1.77277483595145,16.7393643163099
ELSA,population_contribution_relapse,TRUE,7.94347246447642,2.44444200621139,14.3887153385364
ELSA,population_recovery_relapse,TRUE,17.2095728321333,8.23711283762466,27.3989331423988
HRS,population_contribution_initial_state,TRUE,22.1808479138708,16.141584035379,28.4866302642042
HRS,population_contribution_onset,TRUE,40.0402798969147,29.7014716695432,51.8838791965028
HRS,population_contribution_post_difficulty_mortality,TRUE,-0.112410680193981,-5.38021082353597,4.70653345407458
HRS,population_contribution_pre_difficulty_mortality,TRUE,25.3418953572963,14.527897429466,34.3610357983498
HRS,population_contribution_recovery,TRUE,5.90788336473357,-4.23743084398573,16.7200169495158
HRS,population_contribution_relapse,TRUE,6.64150414737875,-1.24538592336615,14.591142816747
HRS,population_recovery_relapse,TRUE,12.5493875121123,-0.404370862013456,25.885361764981
MHAS,population_contribution_initial_state,TRUE,2.74037121872728,-0.561206758416061,13.6137056556915
MHAS,population_contribution_onset,TRUE,36.0206282443239,-5.05190106451569,98.2923516222012
MHAS,population_contribution_post_difficulty_mortality,TRUE,-1.88567648099458,-38.0674499933106,21.2838223544717
MHAS,population_contribution_pre_difficulty_mortality,TRUE,47.7272540715697,6.59873885855294,111.207492030278
MHAS,population_contribution_recovery,TRUE,0.446998783308974,-57.3433544250866,21.2008471078804
MHAS,population_contribution_relapse,TRUE,14.9504241630646,-20.7102922575824,47.3984371766302
MHAS,population_recovery_relapse,TRUE,15.3974229463736,-43.3669284246676,47.7975618247448
