cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
HRS,wealth,death_post,51438,13947,6246,23524,2783,12303,1541,TRUE,8,3.09189193244526,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,education,onset,33370,8814,2555,10688,1108,6457,335,TRUE,6,3.32228932634577,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,recovery,10036,4445,3161,5157,1461,975,354,TRUE,5,2.69963393821916,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,education,relapse,6058,2440,1716,2433,815,805,173,TRUE,5,1.63479981804291,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_pre,19070,7291,602,7789,360,2836,60,TRUE,7,4.69204407976286,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,education,death_post,9019,3618,853,5108,563,735,54,TRUE,6,3.65317555139485,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,onset,36247,9541,2811,7648,850,16242,963,TRUE,6,3.29954535467448,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,recovery,11027,4851,3483,4479,1243,2925,1036,TRUE,5,2.7311671735412,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
ELSA,wealth,relapse,6661,2681,1896,2129,728,2146,514,TRUE,5,1.60257900269618,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_pre,20912,7961,671,4876,244,8850,199,TRUE,7,4.78002914617698,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
ELSA,wealth,death_post,9932,3952,923,3953,448,2647,204,TRUE,6,3.7774148406597,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
MHAS,education,onset,21818,11671,2428,19326,2272,1942,113,TRUE,17,16.4176267757951,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,recovery,5386,3955,2187,5122,2059,198,96,TRUE,17,18.2837183521045,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,relapse,2605,1828,802,2450,763,109,28,TRUE,17,20.47247556107,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_pre,23370,12515,1314,20595,1199,2165,83,TRUE,6,5.28418910104195,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_post,8572,4777,1193,8102,1139,341,36,TRUE,8,3.72463395017564,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,onset,21951,11752,2441,6057,748,8233,866,TRUE,17,16.4270569711354,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,recovery,5408,3974,2197,1713,715,1808,745,TRUE,17,18.3102628236667,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,relapse,2612,1835,803,846,263,854,268,TRUE,17,20.0052808619595,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_pre,23522,12613,1320,6431,381,8916,447,TRUE,6,5.36771829136512,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_post,8604,4800,1198,2703,395,2907,392,TRUE,8,3.84135883418304,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
