cohort,exposure,estimand,high,low,low_minus_high_gap,shapley_sum,closure_error
CHARLS,education,dfle,20.4149391971005,15.0362675675528,-5.37867162954775,-5.37867162954775,1.77635683940025e-15
CHARLS,education,disabled_years,4.48826477427105,7.03191153804484,2.54364676377379,2.54364676377379,4.44089209850063e-16
CHARLS,education,total_life_expectancy,24.9032039713716,22.0681791055976,-2.83502486577396,-2.83502486577397,-2.66453525910038e-15
CHARLS,wealth,dfle,20.4706580168425,16.5487960894898,-3.92186192735274,-3.92186192735274,-4.44089209850063e-16
CHARLS,wealth,disabled_years,8.52689304736165,9.76122942075449,1.23433637339284,1.23433637339284,8.88178419700125e-16
CHARLS,wealth,total_life_expectancy,28.9975510642041,26.3100255102442,-2.6875255539599,-2.68752555395991,-1.33226762955019e-15
HRS,education,dfle,22.6846146948151,17.8825411754556,-4.80207351935958,-4.80207351935958,-5.32907051820075e-15
HRS,education,disabled_years,3.73436422887842,4.98261786536315,1.24825363648473,1.24825363648473,6.66133814775094e-16
HRS,education,total_life_expectancy,26.4189789236936,22.8651590408187,-3.55381988287485,-3.55381988287485,-1.33226762955019e-15
HRS,wealth,dfle,22.4014849327034,17.0940616777673,-5.30742325493615,-5.30742325493616,-4.44089209850063e-15
HRS,wealth,disabled_years,3.71112539088568,4.69753036525659,0.98640497437091,0.98640497437091,-8.88178419700125e-16
HRS,wealth,total_life_expectancy,26.1126103235891,21.7915920430239,-4.32101828056524,-4.32101828056524,0
ELSA,education,dfle,22.0907249618006,18.0726918754201,-4.01803308638042,-4.01803308638042,8.88178419700125e-16
ELSA,education,disabled_years,4.72129703052608,5.54781245951645,0.826515428990369,0.826515428990367,-2.1094237467878e-15
ELSA,education,total_life_expectancy,26.8120219923266,23.6205043349366,-3.19151765739005,-3.19151765739005,2.66453525910038e-15
ELSA,wealth,dfle,22.2120650622568,16.5978757431021,-5.61418931915467,-5.61418931915467,-3.5527136788005e-15
ELSA,wealth,disabled_years,4.78581767080016,5.89572017568113,1.10990250488097,1.10990250488097,-1.77635683940025e-15
ELSA,wealth,total_life_expectancy,26.997882733057,22.4935959187833,-4.5042868142737,-4.5042868142737,-3.5527136788005e-15
MHAS,education,dfle,21.7571938173983,18.0673331461832,-3.68986067121517,-3.68986067121517,-2.66453525910038e-15
MHAS,education,disabled_years,2.31987373564188,5.05924529377815,2.73937155813627,2.73937155813626,-3.5527136788005e-15
MHAS,education,total_life_expectancy,24.0770675530402,23.1265784399613,-0.950489113078902,-0.950489113078902,-3.33066907387547e-16
MHAS,wealth,dfle,18.9042070465297,17.8873297280742,-1.01687731845547,-1.01687731845547,6.66133814775094e-16
MHAS,wealth,disabled_years,5.14131602378183,4.59373619695824,-0.547579826823595,-0.547579826823595,0
MHAS,wealth,total_life_expectancy,24.0455230703115,22.4810659250324,-1.56445714527907,-1.56445714527907,-1.11022302462516e-15
