cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
HRS,education,onset,period_factor6,-0.737698741146214,0.0583173498518856,-12.6497301921267,1.12259672765454e-36,0.47821314246115,0.426560637765639,0.53612028250064
HRS,education,onset,period_factor7,-0.599757862397668,0.0561978389717809,-10.6722584599531,1.37249196215553e-26,0.548944540117604,0.491690597695249,0.612865305005686
HRS,education,onset,period_factor8,-0.718831936477985,0.0579926414920276,-12.3952266698665,2.77360343592246e-35,0.487321145699412,0.43496160602409,0.545983589716271
HRS,education,onset,period_factor9,-0.622095006112692,0.0562771612643857,-11.0541291020373,2.09358819794742e-28,0.53681862041833,0.48075464037637,0.599420592180318
HRS,education,onset,period_factor10,-0.788557397600019,0.0577515752465054,-13.6543011032021,1.90306378228528e-42,0.454499985349004,0.405858588157626,0.508970963556445
HRS,education,onset,period_factor11,-0.749355474760542,0.0571346859598371,-13.1155962822182,2.68065487377401e-39,0.472671103041167,0.422595653394716,0.528680240450734
HRS,education,onset,period_factor12,-0.803530040596506,0.0579727630945752,-13.8604751214919,1.09944099001107e-43,0.447745610927426,0.399653780166645,0.501624511148576
HRS,education,onset,period_factor13,-0.922486013748314,0.0584792448540625,-15.7745883355782,4.65422717294503e-56,0.39752954772607,0.354479297573275,0.445808097672128
HRS,education,onset,period_factor14,-0.933035385881695,0.058500068985354,-15.949304027578,2.88089513223666e-57,0.393357903395512,0.350745103180665,0.441147827184385
HRS,education,onset,period_factor15,-0.978024974600656,0.0611583880141342,-15.9916735276709,1.46054090223274e-57,0.376053080279181,0.333572376858338,0.42394373454825
HRS,education,onset,proxy_factorself,-0.348554812698002,0.0450928062799972,-7.72972102320938,1.07782522370694e-14,0.705707232246385,0.646012314293877,0.770918272957716
HRS,education,recovery,(Intercept),-2.23991400855172,0.10204939278601,-21.9493124593954,8.79210407656143e-107,0.106467659293843,0.0871668815966557,0.130042078687196
HRS,education,recovery,sesmiddle,-0.0645987868159966,0.0309335269686356,-2.08830977733303,0.0367699000575615,0.937443502628919,0.882295275366342,0.996038792405735
HRS,education,recovery,seslow,-0.286488675387332,0.0348999322253989,-8.20886050829737,2.23297463369012e-16,0.750895582084561,0.701248793567815,0.80405724810646
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.281589546344859,0.0546061499921766,-5.15673685812316,2.51290555555499e-07,0.754583342469651,0.677993484934186,0.839825209807058
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.634543610802388,0.0829945498661922,-7.64560578767437,2.0796389305526e-14,0.530177400348688,0.450583022813039,0.62383192798883
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.15473526497032,0.117094969946261,-9.86152748918475,6.11125118866241e-23,0.315140954711118,0.250513765952486,0.396440574667148
HRS,education,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-1.39072286616642,0.144077964097459,-9.65257161203151,4.79382169836917e-22,0.248895321580724,0.187661461562346,0.330109765686713
HRS,education,recovery,origin_factorD2,0.0203256877751533,0.0251752848853077,0.807366743524535,0.419455221185376,1.02053366124494,0.971399104826601,1.07215350370321
HRS,education,recovery,sex_factormale,0.0436896905045444,0.0226688939163156,1.92729696763455,0.0539426312946262,1.04465813724765,0.999258933154336,1.09211995760979
HRS,education,recovery,period_factor3,0.089642001523048,0.0922919491201352,0.971287337385867,0.331405212626693,1.09378264108604,0.912789285326083,1.31066444925869
HRS,education,recovery,period_factor4,0.120276453442201,0.0880071402485877,1.36666698977452,0.171729709192495,1.12780859505436,0.949122370930911,1.34013512486376
HRS,education,recovery,period_factor5,0.210308248249582,0.0873576486656214,2.40743943389065,0.0160648266318236,1.23405839767548,1.03986121472124,1.46452248368704
HRS,education,recovery,period_factor6,0.234924310178893,0.086961531873972,2.7014739174484,0.00690328946556794,1.26481303163768,1.06660393418433,1.49985571375552
HRS,education,recovery,period_factor7,0.0518551487292268,0.0882127007583469,0.587842207340196,0.556638210794545,1.05322317074883,0.885996973092422,1.25201223152092
HRS,education,recovery,period_factor8,0.145464918166995,0.0863910616345875,1.68379593229534,0.0922211136190439,1.15657715902371,0.976420873532944,1.36997350326537
HRS,education,recovery,period_factor9,-0.0598235942748591,0.088243226765535,-0.677939786062133,0.497809872417861,0.941930680893945,0.792327613939186,1.11978099967803
HRS,education,recovery,period_factor10,0.0938272797827806,0.0856807026862849,1.0950806522482,0.273481304142578,1.09837001882455,0.928572426481107,1.29921658650199
HRS,education,recovery,period_factor11,-0.116381541564279,0.0874671919428684,-1.33057365829575,0.183329334787389,0.890135534794586,0.749898632860425,1.05659783280538
HRS,education,recovery,period_factor12,0.0276044502467867,0.086039903645818,0.320833114370049,0.748336863247621,1.02798898320283,0.868459991212664,1.21682214526751
HRS,education,recovery,period_factor13,-0.0343315736976331,0.0860970524580081,-0.398754344283477,0.690074220762698,0.966251068076791,0.816211475440572,1.14387160025603
HRS,education,recovery,period_factor14,0.030509529335829,0.0856474050739403,0.356222460090762,0.721673973005926,1.0309797145539,0.871656909757163,1.21942378924957
HRS,education,recovery,period_factor15,0.124483356626292,0.0864500860320088,1.43994485534926,0.149883001208861,1.13256317063129,0.956036858271693,1.34168397836589
HRS,education,recovery,proxy_factorself,0.83708587331457,0.0528346931514292,15.84348887795,1.5592429787794e-56,2.30962661586362,2.08241832528299,2.56162512591254
HRS,education,relapse,(Intercept),-1.67202169958324,0.159398658612873,-10.489559411187,9.64772134893883e-26,0.187866871073691,0.137457146748228,0.256763377401284
HRS,education,relapse,sesmiddle,0.121043584393774,0.041480804630897,2.91806259475533,0.00352213638512073,1.12867410387193,1.04054145483031,1.22427148561693
HRS,education,relapse,seslow,0.281966143586273,0.0463942069657552,6.07761533232801,1.21982943128877e-09,1.32573383463377,1.21050000065054,1.45193738070897
HRS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.2200845687183,0.0686816075626333,3.2044178423983,0.00135335909188765,1.2461821141554,1.08922737856033,1.42575360499426
HRS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.461548294964219,0.0942314800303541,4.89802659170315,9.68039368907431e-07,1.58652849843346,1.31897457041257,1.90835572785472
