exposure,block,min_contribution_years,max_contribution_years,country_range_years,point_range_ge_0_75y
education,onset,-4.00326030168008,-1.50700489140321,2.49625541027687,TRUE
education,recovery,-0.553869382658175,0.28305788076599,0.836927263424165,TRUE
education,relapse,-0.602861459828214,-0.287619810791856,0.315241649036358,FALSE
education,post_disability_mortality,-0.48462410477459,0.0501325657238994,0.534756670498489,FALSE
education,pre_disability_mortality,-1.55919476952733,-0.144544594395265,1.41465017513207,TRUE
wealth,onset,-2.57869809583928,-0.388867515369193,2.18983058047009,TRUE
wealth,recovery,-0.648177075319113,0.067215100923737,0.71539217624285,FALSE
wealth,relapse,-0.554166579759234,0.164936005035137,0.719102584794371,FALSE
wealth,post_disability_mortality,-0.592781458332275,-0.272423386758371,0.320358071573904,FALSE
wealth,pre_disability_mortality,-1.83675867115738,-0.0944935141840189,1.74226515697336,TRUE
