age,origin_state,destination,annual_probability,cohort,exposure,ses
64,R1,D2,0.109929495093759,CHARLS,education,high
64,D2,D2,0.809957678731096,CHARLS,education,high
64,DEAD,D2,0,CHARLS,education,high
64,I0,DEAD,0.00591375334351776,CHARLS,education,high
64,D1,DEAD,0.0210058765439122,CHARLS,education,high
64,R1,DEAD,0.0116751073512487,CHARLS,education,high
64,D2,DEAD,0.0132643617252462,CHARLS,education,high
64,DEAD,DEAD,1,CHARLS,education,high
65,I0,I0,0.967627214109905,CHARLS,education,high
65,D1,I0,0,CHARLS,education,high
65,R1,I0,0,CHARLS,education,high
65,D2,I0,0,CHARLS,education,high
65,DEAD,I0,0,CHARLS,education,high
65,I0,D1,0.0256893938555398,CHARLS,education,high
65,D1,D1,0.790867187350825,CHARLS,education,high
65,R1,D1,0,CHARLS,education,high
65,D2,D1,0,CHARLS,education,high
65,DEAD,D1,0,CHARLS,education,high
65,I0,R1,0,CHARLS,education,high
65,D1,R1,0.18657129646491,CHARLS,education,high
65,R1,R1,0.877222461428138,CHARLS,education,high
65,D2,R1,0.173626553366937,CHARLS,education,high
65,DEAD,R1,0,CHARLS,education,high
65,I0,D2,0,CHARLS,education,high
65,D1,D2,0,CHARLS,education,high
65,R1,D2,0.11026016834586,CHARLS,education,high
65,D2,D2,0.812124513918776,CHARLS,education,high
65,DEAD,D2,0,CHARLS,education,high
65,I0,DEAD,0.00668339203455517,CHARLS,education,high
65,D1,DEAD,0.0225615161842651,CHARLS,education,high
65,R1,DEAD,0.0125173702260019,CHARLS,education,high
65,D2,DEAD,0.0142489327142875,CHARLS,education,high
65,DEAD,DEAD,1,CHARLS,education,high
66,I0,I0,0.965706272797232,CHARLS,education,high
66,D1,I0,0,CHARLS,education,high
66,R1,I0,0,CHARLS,education,high
66,D2,I0,0,CHARLS,education,high
66,DEAD,I0,0,CHARLS,education,high
66,I0,D1,0.0267716527906476,CHARLS,education,high
66,D1,D1,0.792835470963481,CHARLS,education,high
66,R1,D1,0,CHARLS,education,high
66,D2,D1,0,CHARLS,education,high
66,DEAD,D1,0,CHARLS,education,high
66,I0,R1,0,CHARLS,education,high
