cohort,module,ses,estimand,metric,estimate
MHAS,primary_wealth,low,population_initialised,difficulty_years,7.45782389542702
MHAS,primary_wealth,low,population_initialised,fdfle_percent_of_life,66.7886677905096
MHAS,primary_wealth,low,population_initialised,residual_alive_at_end,0.0585526450970022
MHAS,primary_wealth,low,population_initialised,closure,-1.77635683940025e-15
CHARLS,wealth_within_low_education,high,population_initialised,total_life_expectancy,23.692976387859
CHARLS,wealth_within_low_education,high,population_initialised,fdfle,13.8305713239148
CHARLS,wealth_within_low_education,high,population_initialised,difficulty_years,9.8624050639442
CHARLS,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,58.3741404942354
CHARLS,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.049771468600377
CHARLS,wealth_within_low_education,high,population_initialised,closure,-1.77635683940025e-15
CHARLS,wealth_within_low_education,low,population_initialised,total_life_expectancy,22.8502225154059
CHARLS,wealth_within_low_education,low,population_initialised,fdfle,11.6533977809079
CHARLS,wealth_within_low_education,low,population_initialised,difficulty_years,11.196824734498
CHARLS,wealth_within_low_education,low,population_initialised,fdfle_percent_of_life,50.999056018168
CHARLS,wealth_within_low_education,low,population_initialised,residual_alive_at_end,0.0382982158914411
CHARLS,wealth_within_low_education,low,population_initialised,closure,0
ELSA,wealth_within_low_education,high,population_initialised,total_life_expectancy,26.1936818244397
ELSA,wealth_within_low_education,high,population_initialised,fdfle,18.4726568098181
ELSA,wealth_within_low_education,high,population_initialised,difficulty_years,7.72102501462158
ELSA,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,70.5233305253881
ELSA,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.0801310124805496
ELSA,wealth_within_low_education,high,population_initialised,closure,0
ELSA,wealth_within_low_education,low,population_initialised,total_life_expectancy,21.190998892164
ELSA,wealth_within_low_education,low,population_initialised,fdfle,11.8384860178403
ELSA,wealth_within_low_education,low,population_initialised,difficulty_years,9.35251287432367
ELSA,wealth_within_low_education,low,population_initialised,fdfle_percent_of_life,55.8656346408379
ELSA,wealth_within_low_education,low,population_initialised,residual_alive_at_end,0.0112794432263905
ELSA,wealth_within_low_education,low,population_initialised,closure,0
HRS,wealth_within_low_education,high,population_initialised,total_life_expectancy,23.1447452010583
HRS,wealth_within_low_education,high,population_initialised,fdfle,15.8281364082911
HRS,wealth_within_low_education,high,population_initialised,difficulty_years,7.31660879276714
HRS,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,68.3876027616299
HRS,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.0623808490133482
HRS,wealth_within_low_education,high,population_initialised,closure,1.77635683940025e-15
HRS,wealth_within_low_education,low,population_initialised,total_life_expectancy,19.939824183463
HRS,wealth_within_low_education,low,population_initialised,fdfle,11.2647352022648
HRS,wealth_within_low_education,low,population_initialised,difficulty_years,8.67508898119821
HRS,wealth_within_low_education,low,population_initialised,fdfle_percent_of_life,56.4936535980451
HRS,wealth_within_low_education,low,population_initialised,residual_alive_at_end,0.0309024807432436
HRS,wealth_within_low_education,low,population_initialised,closure,0
MHAS,wealth_within_low_education,high,population_initialised,total_life_expectancy,23.6716433355497
MHAS,wealth_within_low_education,high,population_initialised,fdfle,15.9522001497057
MHAS,wealth_within_low_education,high,population_initialised,difficulty_years,7.71944318584399
MHAS,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,67.3894918218414
MHAS,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.0650219841560958
MHAS,wealth_within_low_education,high,population_initialised,closure,0
MHAS,wealth_within_low_education,low,population_initialised,total_life_expectancy,22.4832710542675
MHAS,wealth_within_low_education,low,population_initialised,fdfle,15.015740359462
MHAS,wealth_within_low_education,low,population_initialised,difficulty_years,7.46753069480548
MHAS,wealth_within_low_education,low,population_initialised,fdfle_percent_of_life,66.7862799999999
MHAS,wealth_within_low_education,low,population_initialised,residual_alive_at_end,0.0562133545491644
MHAS,wealth_within_low_education,low,population_initialised,closure,-1.77635683940025e-15
