"source_role","source_path","variable","storage_class","variable_label","value_labels"
"temp_charls20","restricted_source/charls20.dta","r5act_5","numeric","Activities in Last Month",""
"temp_charls20","restricted_source/charls20.dta","r5act_6","numeric","Activities in Last Month",""
"temp_charls20","restricted_source/charls20.dta","r5act_7","numeric","Activities in Last Month",""
"temp_charls20","restricted_source/charls20.dta","r5act_8","numeric","Activities in Last Month",""
"temp_charls20","restricted_source/charls20.dta","r5dressa","numeric","Difficulty with Dressing",""
"temp_charls20","restricted_source/charls20.dta","r5batha","numeric","Difficulty with Bathing or Showering",""
"temp_charls20","restricted_source/charls20.dta","r5eata","numeric","Difficulty with Eating",""
"temp_charls20","restricted_source/charls20.dta","r5beda","numeric","Difficulty with Getting into or out of Bed",""
"temp_charls20","restricted_source/charls20.dta","r5toilta","numeric","Difficulty with Using the Toilet",""
"temp_charls20","restricted_source/charls20.dta","r5urina","numeric","Difficulty with Controlling Urination and Defecation",""
"temp_charls20","restricted_source/charls20.dta","r5housewka","numeric","Difficulty with Household Chores",""
"temp_charls20","restricted_source/charls20.dta","r5mealsa","numeric","Difficulty with Preparing Hot Meals",""
"temp_charls20","restricted_source/charls20.dta","r5shopa","numeric","Difficulty with Shopping for Groceries",""
"temp_charls20","restricted_source/charls20.dta","r5phonea","numeric","Difficulty with Making Phone Calls",""
"temp_charls20","restricted_source/charls20.dta","r5medsa","numeric","Difficulty with Taking Medications",""
"temp_charls20","restricted_source/charls20.dta","r5moneya","numeric","Difficulty with Managing Money",""
"temp_charls20","restricted_source/charls20.dta","r5wthh","numeric","Household Base Weight",""
"temp_charls20","restricted_source/charls20.dta","r5wthha","numeric","Household Weight with Household Response Adjustment",""
"temp_charls20","restricted_source/charls20.dta","r5wtresp","numeric","Individual Base Weight",""
"temp_charls20","restricted_source/charls20.dta","r5wtrespb","numeric","Individual Weight with Household and Individual Response Adjustment",""
"temp_charls20","restricted_source/charls20.dta","died","numeric","Whether Individual Died",""
"temp_charls20","restricted_source/charls20.dta","r5iwy","numeric","Interview Year",""
"temp_charls20","restricted_source/charls20.dta","r5iwm","numeric","Interview Month",""
"temp_charls20","restricted_source/charls20.dta","exb001_1","numeric","Year of Death",""
"temp_charls20","restricted_source/charls20.dta","exb001_2","numeric","Month of Death",""
"temp_charls20","restricted_source/charls20.dta","exb001_3","numeric","Day of Death",""
"temp_charls20","restricted_source/charls20.dta","r5birthmonth","numeric","",""
"temp_charls20","restricted_source/charls20.dta","r5shlta","numeric","RECODE of da001 (Self-Reported Health Status)",""
"temp_charls20","restricted_source/charls20.dta","r5adlab_c","numeric","",""
"temp_charls20","restricted_source/charls20.dta","r5iadl","numeric","",""
"temp_charls20","restricted_source/charls20.dta","r5drinkl","numeric","RECODE of da051 (Frequency Drank Alcoholic Beverages in the Past Year)",""
"temp_charls20","restricted_source/charls20.dta","r5ins","numeric","RECODE of ba016 (How Much Does Social Medical Insurance Cost Per Year)",""
"temp_charls20","restricted_source/charls20.dta","r5clean_heat","numeric","RECODE of i020 (Heating Energy Source)",""
"temp_charls20","restricted_source/charls20.dta","r5clean_cook","numeric","RECODE of i021 (Main Source of Cooking Fuel)",""
"temp_charls20","restricted_source/charls20.dta","r5toilet","numeric","",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","householdID","character","家庭ID",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xproxytext","character","代理文本",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","iyear","character","访谈年份",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","imonth","character","访谈月份",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","HH_weight","numeric","家庭基本权重",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","HH_weight_ad1","numeric","家庭响应调整后的家庭权重",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","INDV_weight","numeric","个体基本权重",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","INDV_weight_ad2","numeric","个体响应调整后的家庭和个体权重",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xfgsample","numeric","在疫情期间被选中回答工作问题",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","proxy_7","numeric","如果符合条件由代理人回答",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xiwmonth","numeric","访谈月份",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xiwyear","numeric","访谈年份",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","ziwyear","numeric","预加载：上次访谈年份",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","proxy_14","numeric","由代理人回答",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","proxy_2","numeric","如果人口背景模块使用代理模式",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","zrbirthyear","numeric","ZRBirthYear",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","proxy","numeric","Proxy",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","proxy_5","numeric","健康模块代理",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xhelperselect","numeric","是否有助手",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xhelpernum","numeric","助手数量",""
"translated_combined_w5","restricted_source/w5_charls_CN.dta","xhelpercurrent","numeric","当前是否有助手",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","ID","character","Individual ID",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","householdID","character","Household ID",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","proxy","haven_labelled/vctrs_vctr/double","Proxy","1 Yes=1"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","proxy_5","haven_labelled/vctrs_vctr/double","Proxy for Health Module","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da001","haven_labelled/vctrs_vctr/double","Self-Reported Health Status","1 Very Good=1 | 2 Good=2 | 3 Fair=3 | 4 Poor=4 | 5 Very Poor=5 | 997 Don't Know=997"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da009","haven_labelled/vctrs_vctr/double","Delayed Medical Service","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s1","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: In-patient Service, Big Surgery","0 No=0 | 1 Yes=1"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s2","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: Out-patient Service, Small Surgery","0 No=0 | 2 Yes=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s3","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: Out-patient Service","0 No=0 | 3 Yes=3"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s4","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: Prescribtion for medicine","0 No=0 | 4 Yes=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s5","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: Dental care","0 No=0 | 5 Yes=5"
