rows,persons,events,low_rows,low_events,high_rows,high_events,module,cohort,process,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
12314,5406,2366,3972,966,3972,573,wealth_within_low_education,CHARLS,onset,TRUE,5,2.82391731095031,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
8463,4625,2925,3989,1272,1639,630,wealth_within_low_education,CHARLS,recovery,TRUE,5,2.07670801093789,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
3766,2543,1409,1571,618,841,277,wealth_within_low_education,CHARLS,relapse,TRUE,5,1.76593102114936,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12665,5543,182,4101,58,4080,59,wealth_within_low_education,CHARLS,death_pre,TRUE,22,24.5313346506974,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12471,5172,498,5687,263,2512,95,wealth_within_low_education,CHARLS,death_post,TRUE,21,23.6220978855336,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
16126,4611,2164,8177,1195,2407,258,wealth_within_low_education,HRS,onset,TRUE,5,2.93532004307111,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
10581,4417,2177,7196,1394,880,214,wealth_within_low_education,HRS,recovery,TRUE,6,2.31177352615573,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
4689,1927,1497,3024,982,456,137,wealth_within_low_education,HRS,relapse,TRUE,5,1.92709700332651,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
18552,5158,513,9298,300,2814,63,wealth_within_low_education,HRS,death_pre,TRUE,7,5.67702712779481,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
17704,5188,1275,11741,781,1607,123,wealth_within_low_education,HRS,death_post,TRUE,6,3.89014536082699,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
9278,2859,1130,3301,507,2408,213,wealth_within_low_education,ELSA,onset,TRUE,6,3.56042063604393,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
5738,2441,1334,3092,652,831,220,wealth_within_low_education,ELSA,recovery,TRUE,16,15.5054940726596,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
2161,1028,777,1032,397,377,115,wealth_within_low_education,ELSA,relapse,TRUE,6,1.99731703967392,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
7189,2877,278,2640,133,1790,51,wealth_within_low_education,ELSA,death_pre,TRUE,7,3.83896405738039,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
5682,2323,640,3037,383,847,82,wealth_within_low_education,ELSA,death_post,TRUE,6,3.23710948171352,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
9818,7610,1363,2851,439,3366,423,wealth_within_low_education,MHAS,onset,TRUE,17,16.6080562787693,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
3284,2809,959,1079,326,1021,293,wealth_within_low_education,MHAS,recovery,TRUE,18,18.82982949219,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
972,888,318,340,118,280,98,wealth_within_low_education,MHAS,relapse,TRUE,17,21.0376208849399,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
11191,8595,639,3237,187,3863,211,wealth_within_low_education,MHAS,death_pre,TRUE,6,5.12873391600707,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
4735,3792,845,1551,284,1482,257,wealth_within_low_education,MHAS,death_post,TRUE,7,4.26310776044847,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
