module,stratum,cohort,estimand,block,contribution_years,total_low_minus_high_gap,contribution_percent
wealth_within_low_education,all,CHARLS,dfle,onset,-1.92554148864036,-3.28213902445438,58.6672738203242
wealth_within_low_education,all,CHARLS,dfle,recovery,-0.783421267486807,-3.28213902445438,23.8692286234598
wealth_within_low_education,all,CHARLS,dfle,relapse,-0.256237533808691,-3.28213902445438,7.80702864502481
wealth_within_low_education,all,CHARLS,dfle,post_disability_mortality,-0.328603552856379,-3.28213902445438,10.0118718435763
wealth_within_low_education,all,CHARLS,dfle,pre_disability_mortality,0.011664818337865,-3.28213902445438,-0.355402932385051
wealth_within_low_education,all,CHARLS,disabled_years,onset,1.36320885436467,1.12996694295448,120.641480962297
wealth_within_low_education,all,CHARLS,disabled_years,recovery,0.59159134635232,1.12996694295448,52.3547480783387
wealth_within_low_education,all,CHARLS,disabled_years,relapse,0.209170760901656,1.12996694295448,18.5112283333481
wealth_within_low_education,all,CHARLS,disabled_years,post_disability_mortality,-1.04457004608761,1.12996694295448,-92.4425314033012
wealth_within_low_education,all,CHARLS,disabled_years,pre_disability_mortality,0.0105660274234395,1.12996694295448,0.935074029317441
wealth_within_low_education,all,CHARLS,total_life_expectancy,onset,-0.562332634275691,-2.15217208149991,26.1286092831288
wealth_within_low_education,all,CHARLS,total_life_expectancy,recovery,-0.191829921134488,-2.15217208149991,8.91331705226827
wealth_within_low_education,all,CHARLS,total_life_expectancy,relapse,-0.0470667729070359,-2.15217208149991,2.18694282448984
wealth_within_low_education,all,CHARLS,total_life_expectancy,post_disability_mortality,-1.37317359894399,-2.15217208149991,63.8040801080828
wealth_within_low_education,all,CHARLS,total_life_expectancy,pre_disability_mortality,0.0222308457613032,-2.15217208149991,-1.03294926796978
wealth_within_low_education,all,HRS,dfle,onset,-1.93871463704704,-4.23543333924694,45.7737020456034
wealth_within_low_education,all,HRS,dfle,recovery,-0.823893855060655,-4.23543333924694,19.4524099205194
wealth_within_low_education,all,HRS,dfle,relapse,-0.384118056041534,-4.23543333924694,9.06915598180163
wealth_within_low_education,all,HRS,dfle,post_disability_mortality,-0.0273247202948986,-4.23543333924694,0.645145799880702
wealth_within_low_education,all,HRS,dfle,pre_disability_mortality,-1.0613820708028,-4.23543333924694,25.0595862521948
wealth_within_low_education,all,HRS,disabled_years,onset,1.46208904586606,1.52053085006442,96.1564867825024
wealth_within_low_education,all,HRS,disabled_years,recovery,0.527621578139588,1.52053085006442,34.6998272423893
wealth_within_low_education,all,HRS,disabled_years,relapse,0.320952909335183,1.52053085006442,21.1079511686057
wealth_within_low_education,all,HRS,disabled_years,post_disability_mortality,-0.101883547475823,1.52053085006442,-6.70052485100888
wealth_within_low_education,all,HRS,disabled_years,pre_disability_mortality,-0.68824913580059,1.52053085006442,-45.2637403424884
wealth_within_low_education,all,HRS,total_life_expectancy,onset,-0.476625591180981,-2.71490248918251,17.5559009238854
wealth_within_low_education,all,HRS,total_life_expectancy,recovery,-0.296272276921068,-2.71490248918251,10.9128146628308
wealth_within_low_education,all,HRS,total_life_expectancy,relapse,-0.0631651467063508,-2.71490248918251,2.32660830206725
wealth_within_low_education,all,HRS,total_life_expectancy,post_disability_mortality,-0.129208267770721,-2.71490248918251,4.75922315020703
wealth_within_low_education,all,HRS,total_life_expectancy,pre_disability_mortality,-1.74963120660339,-2.71490248918251,64.4454529610096
wealth_within_low_education,all,ELSA,dfle,onset,-2.54510143992582,-5.32611991509289,47.7852823537383
wealth_within_low_education,all,ELSA,dfle,recovery,-0.780952382328978,-5.32611991509289,14.6626886885508
wealth_within_low_education,all,ELSA,dfle,relapse,-0.535025992307901,-5.32611991509289,10.0453238161569
wealth_within_low_education,all,ELSA,dfle,post_disability_mortality,-0.527830496397533,-5.32611991509289,9.91022554527535
wealth_within_low_education,all,ELSA,dfle,pre_disability_mortality,-0.937209604132652,-5.32611991509289,17.5964795962786
wealth_within_low_education,all,ELSA,disabled_years,onset,1.90960045922806,0.72612025748403,262.986804120399
wealth_within_low_education,all,ELSA,disabled_years,recovery,0.520089040328196,0.72612025748403,71.625744491729
wealth_within_low_education,all,ELSA,disabled_years,relapse,0.48513522871005,0.72612025748403,66.8119672615964
wealth_within_low_education,all,ELSA,disabled_years,post_disability_mortality,-1.69881013651156,0.72612025748403,-233.957132995827
wealth_within_low_education,all,ELSA,disabled_years,pre_disability_mortality,-0.489894334270721,0.72612025748403,-67.4673828778968
wealth_within_low_education,all,ELSA,total_life_expectancy,onset,-0.635500980697762,-4.59999965760886,13.8152397391287
wealth_within_low_education,all,ELSA,total_life_expectancy,recovery,-0.260863342000782,-4.59999965760886,5.67094263951276
wealth_within_low_education,all,ELSA,total_life_expectancy,relapse,-0.0498907635978503,-4.59999965760886,1.0845818980731
wealth_within_low_education,all,ELSA,total_life_expectancy,post_disability_mortality,-2.22664063290909,-4.59999965760886,48.4052347531376
wealth_within_low_education,all,ELSA,total_life_expectancy,pre_disability_mortality,-1.42710393840337,-4.59999965760886,31.0240009701479
wealth_within_low_education,all,MHAS,dfle,onset,-1.04908390098926,-1.60526916472863,65.3525230559455
wealth_within_low_education,all,MHAS,dfle,recovery,0.0874727347170554,-1.60526916472863,-5.44910078876663
wealth_within_low_education,all,MHAS,dfle,relapse,-0.051520314657017,-1.60526916472863,3.20945021489442
wealth_within_low_education,all,MHAS,dfle,post_disability_mortality,0.0666599293360225,-1.60526916472863,-4.15257022315576
wealth_within_low_education,all,MHAS,dfle,pre_disability_mortality,-0.65879761313543,-1.60526916472863,41.0396977410824
wealth_within_low_education,all,MHAS,disabled_years,onset,0.586864462234748,0.446500451414107,131.436476799989
wealth_within_low_education,all,MHAS,disabled_years,recovery,-0.0736300622503257,0.446500451414107,-16.4904787928282
wealth_within_low_education,all,MHAS,disabled_years,relapse,0.0341156451098301,0.446500451414107,7.64067427071636
wealth_within_low_education,all,MHAS,disabled_years,post_disability_mortality,0.178620418663899,0.446500451414107,40.0045326042095
wealth_within_low_education,all,MHAS,disabled_years,pre_disability_mortality,-0.279470012344044,0.446500451414107,-62.5912048820862
wealth_within_low_education,all,MHAS,total_life_expectancy,onset,-0.462219438754518,-1.15876871331453,39.8888435149748
wealth_within_low_education,all,MHAS,total_life_expectancy,recovery,0.0138426724667292,-1.15876871331453,-1.19460184829583
wealth_within_low_education,all,MHAS,total_life_expectancy,relapse,-0.017404669547186,-1.15876871331453,1.50199684779216
wealth_within_low_education,all,MHAS,total_life_expectancy,post_disability_mortality,0.245280347999922,-1.15876871331453,-21.167325729595
wealth_within_low_education,all,MHAS,total_life_expectancy,pre_disability_mortality,-0.938267625479472,-1.15876871331453,80.9710872151238
