log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive
-0.00616756271786571,0.0818278440977141,0.993851417656144,0.846580370744868,1.16674172294836,0.939918401601317,CHARLS,low_vs_high_early_recovery,FALSE
0.194475199000541,0.129157994667795,1.21467335739819,0.943013697929209,1.56459165801403,0.132140214319551,CHARLS,low_vs_high_sustained_recovery,TRUE
0.200642761718407,0.152518254307461,1.22218808145671,0.90638327938022,1.64802654730816,0.188330911117887,CHARLS,sustained_vs_early_modification,TRUE
0.334099405001653,0.0536396729451639,1.3966819738481,1.25729884506001,1.55151700308698,4.70658718834322e-10,HRS,low_vs_high_early_recovery,TRUE
0.237714907290802,0.0531039097106222,1.26834754463802,1.1429712647072,1.40747676137021,7.59084126567081e-06,HRS,low_vs_high_sustained_recovery,TRUE
-0.096384497710851,0.0748520721671787,0.908114780878505,0.784197357223308,1.05161340784165,0.197862117280808,HRS,sustained_vs_early_modification,FALSE
0.434857771708946,0.0775817459924528,1.54474333712142,1.32683651599283,1.79843707104751,2.08067745491737e-08,ELSA,low_vs_high_early_recovery,TRUE
0.344535719662212,0.0936890253158832,1.41133451266887,1.17457364924494,1.69581967714899,0.000235586955546217,ELSA,low_vs_high_sustained_recovery,TRUE
-0.0903220520467335,0.121339655865035,0.913636899252689,0.720256574094085,1.15893754211958,0.456650408176169,ELSA,sustained_vs_early_modification,FALSE
0.155065486008594,0.195026497613381,1.16773442886816,0.796772210808217,1.71140970765139,0.426555579949055,MHAS,low_vs_high_early_recovery,TRUE
0.0156217323802629,0.247491568999661,1.01574438951485,0.625338770771009,1.64988437156842,0.949670740684993,MHAS,low_vs_high_sustained_recovery,FALSE
-0.139443753628331,0.315412424112758,0.869841947281945,0.468765748768387,1.61407913278469,0.658417025804147,MHAS,sustained_vs_early_modification,FALSE
