module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_within_low_education,all,CHARLS,middle,93,onset,I0,D1,0.22716882163076,12314
wealth_within_low_education,all,CHARLS,middle,94,onset,I0,D1,0.213819987091349,12314
wealth_within_low_education,all,CHARLS,middle,95,onset,I0,D1,0.200469959398912,12314
wealth_within_low_education,all,CHARLS,middle,96,onset,I0,D1,0.200469959398912,12314
wealth_within_low_education,all,CHARLS,middle,97,onset,I0,D1,0.200469959398912,12314
wealth_within_low_education,all,CHARLS,middle,98,onset,I0,D1,0.200469959398912,12314
wealth_within_low_education,all,CHARLS,middle,99,onset,I0,D1,0.200469959398912,12314
wealth_within_low_education,all,CHARLS,low,60,onset,I0,D1,0.0928095401881383,12314
wealth_within_low_education,all,CHARLS,low,61,onset,I0,D1,0.0952334269400328,12314
wealth_within_low_education,all,CHARLS,low,62,onset,I0,D1,0.0977353247098148,12314
wealth_within_low_education,all,CHARLS,low,63,onset,I0,D1,0.100333143703093,12314
wealth_within_low_education,all,CHARLS,low,64,onset,I0,D1,0.103046524405496,12314
wealth_within_low_education,all,CHARLS,low,65,onset,I0,D1,0.105897010745444,12314
wealth_within_low_education,all,CHARLS,low,66,onset,I0,D1,0.108908263738429,12314
wealth_within_low_education,all,CHARLS,low,67,onset,I0,D1,0.112106322017485,12314
wealth_within_low_education,all,CHARLS,low,68,onset,I0,D1,0.115519916794908,12314
wealth_within_low_education,all,CHARLS,low,69,onset,I0,D1,0.119180850231451,12314
wealth_within_low_education,all,CHARLS,low,70,onset,I0,D1,0.123124447974955,12314
wealth_within_low_education,all,CHARLS,low,71,onset,I0,D1,0.127392358247008,12314
wealth_within_low_education,all,CHARLS,low,72,onset,I0,D1,0.132040630972163,12314
wealth_within_low_education,all,CHARLS,low,73,onset,I0,D1,0.13713506270045,12314
wealth_within_low_education,all,CHARLS,low,74,onset,I0,D1,0.142750521737358,12314
wealth_within_low_education,all,CHARLS,low,75,onset,I0,D1,0.148972719909833,12314
wealth_within_low_education,all,CHARLS,low,76,onset,I0,D1,0.155900392916119,12314
wealth_within_low_education,all,CHARLS,low,77,onset,I0,D1,0.163647985639056,12314
wealth_within_low_education,all,CHARLS,low,78,onset,I0,D1,0.172348965620747,12314
wealth_within_low_education,all,CHARLS,low,79,onset,I0,D1,0.182159922802172,12314
wealth_within_low_education,all,CHARLS,low,80,onset,I0,D1,0.19326565924255,12314
wealth_within_low_education,all,CHARLS,low,81,onset,I0,D1,0.205795653953851,12314
wealth_within_low_education,all,CHARLS,low,82,onset,I0,D1,0.219513265718609,12314
wealth_within_low_education,all,CHARLS,low,83,onset,I0,D1,0.23399263878527,12314
wealth_within_low_education,all,CHARLS,low,84,onset,I0,D1,0.248676220836027,12314
wealth_within_low_education,all,CHARLS,low,85,onset,I0,D1,0.262863779985819,12314
wealth_within_low_education,all,CHARLS,low,86,onset,I0,D1,0.275718211216595,12314
wealth_within_low_education,all,CHARLS,low,87,onset,I0,D1,0.286293940521175,12314
wealth_within_low_education,all,CHARLS,low,88,onset,I0,D1,0.293592290765658,12314
wealth_within_low_education,all,CHARLS,low,89,onset,I0,D1,0.296644781964005,12314
wealth_within_low_education,all,CHARLS,low,90,onset,I0,D1,0.294619942743138,12314
wealth_within_low_education,all,CHARLS,low,91,onset,I0,D1,0.287242598717683,12314
wealth_within_low_education,all,CHARLS,low,92,onset,I0,D1,0.275702860714962,12314
wealth_within_low_education,all,CHARLS,low,93,onset,I0,D1,0.261539920100373,12314
wealth_within_low_education,all,CHARLS,low,94,onset,I0,D1,0.246171380114083,12314
wealth_within_low_education,all,CHARLS,low,95,onset,I0,D1,0.230801466448321,12314
wealth_within_low_education,all,CHARLS,low,96,onset,I0,D1,0.230801466448321,12314
wealth_within_low_education,all,CHARLS,low,97,onset,I0,D1,0.230801466448321,12314
wealth_within_low_education,all,CHARLS,low,98,onset,I0,D1,0.230801466448321,12314
wealth_within_low_education,all,CHARLS,low,99,onset,I0,D1,0.230801466448321,12314
wealth_within_low_education,all,CHARLS,high,60,recovery,D1,R1,0.275268139660282,7389
wealth_within_low_education,all,CHARLS,high,61,recovery,D1,R1,0.272869632657601,7389
wealth_within_low_education,all,CHARLS,high,62,recovery,D1,R1,0.27033928550492,7389
wealth_within_low_education,all,CHARLS,high,63,recovery,D1,R1,0.267530013187295,7389
wealth_within_low_education,all,CHARLS,high,64,recovery,D1,R1,0.264301696719044,7389
wealth_within_low_education,all,CHARLS,high,65,recovery,D1,R1,0.260523065155239,7389
wealth_within_low_education,all,CHARLS,high,66,recovery,D1,R1,0.256074239727393,7389
wealth_within_low_education,all,CHARLS,high,67,recovery,D1,R1,0.250849815854155,7389
wealth_within_low_education,all,CHARLS,high,68,recovery,D1,R1,0.244762319313301,7389
wealth_within_low_education,all,CHARLS,high,69,recovery,D1,R1,0.237745830268346,7389
wealth_within_low_education,all,CHARLS,high,70,recovery,D1,R1,0.22975952796062,7389
wealth_within_low_education,all,CHARLS,high,71,recovery,D1,R1,0.220843637935249,7389
wealth_within_low_education,all,CHARLS,high,72,recovery,D1,R1,0.211261592167113,7389
wealth_within_low_education,all,CHARLS,high,73,recovery,D1,R1,0.201306511092072,7389
wealth_within_low_education,all,CHARLS,high,74,recovery,D1,R1,0.191237931303807,7389
wealth_within_low_education,all,CHARLS,high,75,recovery,D1,R1,0.181278591369746,7389
wealth_within_low_education,all,CHARLS,high,76,recovery,D1,R1,0.171613950275427,7389
wealth_within_low_education,all,CHARLS,high,77,recovery,D1,R1,0.162393847782304,7389
wealth_within_low_education,all,CHARLS,high,78,recovery,D1,R1,0.153735722706193,7389
wealth_within_low_education,all,CHARLS,high,79,recovery,D1,R1,0.145728863200868,7389
wealth_within_low_education,all,CHARLS,high,80,recovery,D1,R1,0.138439252615346,7389
wealth_within_low_education,all,CHARLS,high,81,recovery,D1,R1,0.131850597048924,7389
wealth_within_low_education,all,CHARLS,high,82,recovery,D1,R1,0.125700309064867,7389
wealth_within_low_education,all,CHARLS,high,83,recovery,D1,R1,0.119710752511572,7389
wealth_within_low_education,all,CHARLS,high,84,recovery,D1,R1,0.113653738816659,7389
wealth_within_low_education,all,CHARLS,high,85,recovery,D1,R1,0.107349301949423,7389
wealth_within_low_education,all,CHARLS,high,86,recovery,D1,R1,0.100667859470795,7389
wealth_within_low_education,all,CHARLS,high,87,recovery,D1,R1,0.0935340491969668,7389
wealth_within_low_education,all,CHARLS,high,88,recovery,D1,R1,0.0859304547660902,7389
wealth_within_low_education,all,CHARLS,high,89,recovery,D1,R1,0.0778994044787534,7389
wealth_within_low_education,all,CHARLS,high,90,recovery,D1,R1,0.0695411708509187,7389
wealth_within_low_education,all,CHARLS,high,91,recovery,D1,R1,0.061063581957673,7389
wealth_within_low_education,all,CHARLS,high,92,recovery,D1,R1,0.0528771653070992,7389
wealth_within_low_education,all,CHARLS,high,93,recovery,D1,R1,0.0453120031814371,7389
wealth_within_low_education,all,CHARLS,high,94,recovery,D1,R1,0.0385594796787932,7389
wealth_within_low_education,all,CHARLS,high,95,recovery,D1,R1,0.0326990752283693,7389
wealth_within_low_education,all,CHARLS,high,96,recovery,D1,R1,0.0326990752283693,7389
wealth_within_low_education,all,CHARLS,high,97,recovery,D1,R1,0.0326990752283693,7389
wealth_within_low_education,all,CHARLS,high,98,recovery,D1,R1,0.0326990752283693,7389
wealth_within_low_education,all,CHARLS,high,99,recovery,D1,R1,0.0326990752283693,7389
wealth_within_low_education,all,CHARLS,middle,60,recovery,D1,R1,0.250346449512611,7389
