module,stratum,cohort,estimand,high,low,low_minus_high_gap,shapley_sum,closure_error
wealth_within_low_education,all,CHARLS,dfle,17.4962283883283,14.2140893638739,-3.28213902445438,-3.28213902445438,-4.44089209850063e-16
wealth_within_low_education,all,CHARLS,disabled_years,11.8634558165369,12.9934227594914,1.12996694295448,1.12996694295448,1.99840144432528e-15
wealth_within_low_education,all,CHARLS,total_life_expectancy,29.3596842048652,27.2075121233653,-2.15217208149991,-2.1521720814999,1.33226762955019e-15
wealth_within_low_education,all,HRS,dfle,19.4622150999917,15.2267817607448,-4.23543333924694,-4.23543333924693,3.5527136788005e-15
wealth_within_low_education,all,HRS,disabled_years,9.01871751904384,10.5392483691083,1.52053085006442,1.52053085006442,1.99840144432528e-15
wealth_within_low_education,all,HRS,total_life_expectancy,28.4809326190356,25.7660301298531,-2.71490248918251,-2.71490248918252,-1.33226762955019e-15
wealth_within_low_education,all,ELSA,dfle,19.747569078876,14.4214491637831,-5.32611991509289,-5.32611991509289,-8.88178419700125e-16
wealth_within_low_education,all,ELSA,disabled_years,6.74808378918121,7.47420404666524,0.72612025748403,0.726120257484032,1.55431223447522e-15
wealth_within_low_education,all,ELSA,total_life_expectancy,26.4956528680572,21.8956532104483,-4.59999965760886,-4.59999965760886,-8.88178419700125e-16
wealth_within_low_education,all,MHAS,dfle,15.9038056861598,14.2985365214312,-1.60526916472863,-1.60526916472863,2.22044604925031e-16
wealth_within_low_education,all,MHAS,disabled_years,4.94705346250633,5.39355391392044,0.446500451414107,0.446500451414108,9.43689570931383e-16
wealth_within_low_education,all,MHAS,total_life_expectancy,20.8508591486662,19.6920904353516,-1.15876871331453,-1.15876871331452,1.33226762955019e-15
