module,stratum,cohort,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
wealth_within_low_education,all,CHARLS,high,28.9785334059205,17.4877450545013,11.4907883514192,0.227069268225342,0
wealth_within_low_education,all,CHARLS,middle,28.9810562928657,15.1707307339523,13.8103255589134,0.236005462184813,0
wealth_within_low_education,all,CHARLS,low,27.2270327241791,13.9032060761051,13.3238266480741,0.158032974712539,0
wealth_within_low_education,all,HRS,high,22.9155575617581,17.2754168640989,5.64014069765921,0.038710708816399,-1.77635683940025e-15
wealth_within_low_education,all,HRS,middle,21.3292786384859,15.5821577303274,5.74712090815854,0.0211445302628135,8.88178419700125e-16
wealth_within_low_education,all,HRS,low,19.5656791271968,13.2243998121123,6.34127931508446,0.0138295434608925,8.88178419700125e-16
wealth_within_low_education,all,ELSA,high,26.6418111834493,19.9333555322147,6.70845565123461,0.121690692295677,-1.77635683940025e-15
wealth_within_low_education,all,ELSA,middle,24.4911709459143,17.3343894937155,7.15678145219875,0.0615448943466926,0
wealth_within_low_education,all,ELSA,low,21.9713626475956,14.4672381390202,7.50412450857549,0.0251874978677738,-1.77635683940025e-15
wealth_within_low_education,all,MHAS,high,23.6734170571782,16.5427697708524,7.13064728632582,0.0608688544905785,1.77635683940025e-15
wealth_within_low_education,all,MHAS,middle,22.2550245876011,15.5533816883478,6.70164289925328,0.0413151867767812,1.77635683940025e-15
wealth_within_low_education,all,MHAS,low,21.9334619083013,15.0486017875279,6.88486012077342,0.0355161729590126,1.77635683940025e-15
