log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive
0.109850604855064,0.0841751423789906,1.11611131639118,0.946359582116184,1.31631199611346,0.191884579154187,CHARLS,low_vs_high_early_recovery,FALSE
0.222430213195076,0.133276025908026,1.24910864530752,0.961951930764972,1.62198583721456,0.0951284942419782,CHARLS,low_vs_high_sustained_recovery,TRUE
0.112579608340012,0.157116764686342,1.11916134794365,0.822530882080349,1.52276607482891,0.47366127076087,CHARLS,sustained_vs_early_modification,FALSE
0.323577687106657,0.0514361755541441,1.3820635206137,1.24952413023671,1.52866161508163,3.15715620345044e-10,HRS,low_vs_high_early_recovery,TRUE
0.266889993800175,0.0521099866335695,1.30589678168648,1.1791035189088,1.44632458225325,3.02846517047003e-07,HRS,low_vs_high_sustained_recovery,TRUE
-0.0566876933064814,0.0725738738085385,0.944889118487554,0.819605226315869,1.0893237592559,0.434741733230121,HRS,sustained_vs_early_modification,FALSE
0.470120777656944,0.0745307703593018,1.60018744843736,1.38270326088095,1.8518795337946,2.83137945104665e-10,ELSA,low_vs_high_early_recovery,TRUE
0.357758988732487,0.0857776418824346,1.43012090368956,1.20880807319905,1.69195246500728,3.03569446864922e-05,ELSA,low_vs_high_sustained_recovery,TRUE
-0.112361788924457,0.113061381294293,0.893720860694238,0.716080923857067,1.11542836881866,0.320314267392069,ELSA,sustained_vs_early_modification,FALSE
0.0913682973819885,0.114674994109766,1.09567246425756,0.875119622033521,1.37181034307359,0.425591194601479,MHAS,low_vs_high_early_recovery,FALSE
0.0694283989022123,0.156856754187834,1.07189530957617,0.78819414756996,1.45771134971466,0.658038483607847,MHAS,low_vs_high_sustained_recovery,FALSE
-0.0219398984797762,0.194237197849963,0.978299030543312,0.668549521756779,1.43156035868076,0.910066901829162,MHAS,sustained_vs_early_modification,FALSE
