module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_within_low_education,all,CHARLS,middle,93,onset,I0,D1,0.181935048074073,12719
wealth_within_low_education,all,CHARLS,middle,94,onset,I0,D1,0.163923109919056,12719
wealth_within_low_education,all,CHARLS,middle,95,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,96,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,97,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,98,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,99,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,low,60,onset,I0,D1,0.0951010233529082,12719
wealth_within_low_education,all,CHARLS,low,61,onset,I0,D1,0.0979538106709068,12719
wealth_within_low_education,all,CHARLS,low,62,onset,I0,D1,0.10089011253948,12719
wealth_within_low_education,all,CHARLS,low,63,onset,I0,D1,0.10391018713038,12719
wealth_within_low_education,all,CHARLS,low,64,onset,I0,D1,0.107014104646913,12719
wealth_within_low_education,all,CHARLS,low,65,onset,I0,D1,0.110201731261646,12719
wealth_within_low_education,all,CHARLS,low,66,onset,I0,D1,0.11347271264461,12719
wealth_within_low_education,all,CHARLS,low,67,onset,I0,D1,0.116826457142971,12719
wealth_within_low_education,all,CHARLS,low,68,onset,I0,D1,0.120262118682414,12719
wealth_within_low_education,all,CHARLS,low,69,onset,I0,D1,0.123778579470155,12719
wealth_within_low_education,all,CHARLS,low,70,onset,I0,D1,0.127374432589517,12719
wealth_within_low_education,all,CHARLS,low,71,onset,I0,D1,0.131063317051147,12719
wealth_within_low_education,all,CHARLS,low,72,onset,I0,D1,0.134923523459472,12719
wealth_within_low_education,all,CHARLS,low,73,onset,I0,D1,0.139058709727152,12719
wealth_within_low_education,all,CHARLS,low,74,onset,I0,D1,0.143585007723422,12719
wealth_within_low_education,all,CHARLS,low,75,onset,I0,D1,0.148633516207944,12719
wealth_within_low_education,all,CHARLS,low,76,onset,I0,D1,0.15435387624263,12719
wealth_within_low_education,all,CHARLS,low,77,onset,I0,D1,0.160919189792497,12719
wealth_within_low_education,all,CHARLS,low,78,onset,I0,D1,0.168532638332577,12719
wealth_within_low_education,all,CHARLS,low,79,onset,I0,D1,0.177436296321649,12719
wealth_within_low_education,all,CHARLS,low,80,onset,I0,D1,0.187922830977098,12719
wealth_within_low_education,all,CHARLS,low,81,onset,I0,D1,0.200215242292612,12719
wealth_within_low_education,all,CHARLS,low,82,onset,I0,D1,0.214002614407113,12719
wealth_within_low_education,all,CHARLS,low,83,onset,I0,D1,0.228704499299166,12719
wealth_within_low_education,all,CHARLS,low,84,onset,I0,D1,0.243552931859774,12719
wealth_within_low_education,all,CHARLS,low,85,onset,I0,D1,0.257575395546222,12719
wealth_within_low_education,all,CHARLS,low,86,onset,I0,D1,0.269610676022927,12719
wealth_within_low_education,all,CHARLS,low,87,onset,I0,D1,0.278368973551523,12719
wealth_within_low_education,all,CHARLS,low,88,onset,I0,D1,0.282543252187924,12719
wealth_within_low_education,all,CHARLS,low,89,onset,I0,D1,0.280969227113909,12719
wealth_within_low_education,all,CHARLS,low,90,onset,I0,D1,0.272817117204557,12719
wealth_within_low_education,all,CHARLS,low,91,onset,I0,D1,0.258162019774989,12719
wealth_within_low_education,all,CHARLS,low,92,onset,I0,D1,0.23902745487336,12719
wealth_within_low_education,all,CHARLS,low,93,onset,I0,D1,0.217722970505935,12719
wealth_within_low_education,all,CHARLS,low,94,onset,I0,D1,0.196167955564103,12719
wealth_within_low_education,all,CHARLS,low,95,onset,I0,D1,0.175786515096944,12719
wealth_within_low_education,all,CHARLS,low,96,onset,I0,D1,0.175786515096944,12719
wealth_within_low_education,all,CHARLS,low,97,onset,I0,D1,0.175786515096944,12719
wealth_within_low_education,all,CHARLS,low,98,onset,I0,D1,0.175786515096944,12719
wealth_within_low_education,all,CHARLS,low,99,onset,I0,D1,0.175786515096944,12719
wealth_within_low_education,all,CHARLS,high,60,recovery,D1,R1,0.274782053291311,7642
wealth_within_low_education,all,CHARLS,high,61,recovery,D1,R1,0.269785408783537,7642
wealth_within_low_education,all,CHARLS,high,62,recovery,D1,R1,0.264811031213371,7642
wealth_within_low_education,all,CHARLS,high,63,recovery,D1,R1,0.259793769957743,7642
wealth_within_low_education,all,CHARLS,high,64,recovery,D1,R1,0.254673618256543,7642
wealth_within_low_education,all,CHARLS,high,65,recovery,D1,R1,0.249395879556515,7642
wealth_within_low_education,all,CHARLS,high,66,recovery,D1,R1,0.243911457031826,7642
wealth_within_low_education,all,CHARLS,high,67,recovery,D1,R1,0.238177241226631,7642
wealth_within_low_education,all,CHARLS,high,68,recovery,D1,R1,0.232156568778325,7642
wealth_within_low_education,all,CHARLS,high,69,recovery,D1,R1,0.225819722881522,7642
wealth_within_low_education,all,CHARLS,high,70,recovery,D1,R1,0.219144443835262,7642
wealth_within_low_education,all,CHARLS,high,71,recovery,D1,R1,0.212124722080705,7642
wealth_within_low_education,all,CHARLS,high,72,recovery,D1,R1,0.204793839518342,7642
wealth_within_low_education,all,CHARLS,high,73,recovery,D1,R1,0.197195421550712,7642
wealth_within_low_education,all,CHARLS,high,74,recovery,D1,R1,0.18937413437121,7642
wealth_within_low_education,all,CHARLS,high,75,recovery,D1,R1,0.181375217250225,7642
wealth_within_low_education,all,CHARLS,high,76,recovery,D1,R1,0.173244014745122,7642
wealth_within_low_education,all,CHARLS,high,77,recovery,D1,R1,0.165025516052495,7642
wealth_within_low_education,all,CHARLS,high,78,recovery,D1,R1,0.156763908522796,7642
wealth_within_low_education,all,CHARLS,high,79,recovery,D1,R1,0.148502152012918,7642
wealth_within_low_education,all,CHARLS,high,80,recovery,D1,R1,0.140281580270051,7642
wealth_within_low_education,all,CHARLS,high,81,recovery,D1,R1,0.132139583175086,7642
wealth_within_low_education,all,CHARLS,high,82,recovery,D1,R1,0.124104371667067,7642
wealth_within_low_education,all,CHARLS,high,83,recovery,D1,R1,0.116202149478276,7642
wealth_within_low_education,all,CHARLS,high,84,recovery,D1,R1,0.108458912690308,7642
wealth_within_low_education,all,CHARLS,high,85,recovery,D1,R1,0.100900055110749,7642
wealth_within_low_education,all,CHARLS,high,86,recovery,D1,R1,0.0935499807289083,7642
wealth_within_low_education,all,CHARLS,high,87,recovery,D1,R1,0.0864317312963517,7642
wealth_within_low_education,all,CHARLS,high,88,recovery,D1,R1,0.0795666370566017,7642
wealth_within_low_education,all,CHARLS,high,89,recovery,D1,R1,0.0729739983646315,7642
wealth_within_low_education,all,CHARLS,high,90,recovery,D1,R1,0.0666708053873187,7642
wealth_within_low_education,all,CHARLS,high,91,recovery,D1,R1,0.0606806448487541,7642
wealth_within_low_education,all,CHARLS,high,92,recovery,D1,R1,0.0550541249005932,7642
wealth_within_low_education,all,CHARLS,high,93,recovery,D1,R1,0.0498308658196809,7642
wealth_within_low_education,all,CHARLS,high,94,recovery,D1,R1,0.0450318301739997,7642
wealth_within_low_education,all,CHARLS,high,95,recovery,D1,R1,0.0406627793729297,7642
wealth_within_low_education,all,CHARLS,high,96,recovery,D1,R1,0.0406627793729297,7642
wealth_within_low_education,all,CHARLS,high,97,recovery,D1,R1,0.0406627793729297,7642
wealth_within_low_education,all,CHARLS,high,98,recovery,D1,R1,0.0406627793729297,7642
wealth_within_low_education,all,CHARLS,high,99,recovery,D1,R1,0.0406627793729297,7642
wealth_within_low_education,all,CHARLS,middle,60,recovery,D1,R1,0.245558829222671,7642
wealth_within_low_education,all,CHARLS,middle,61,recovery,D1,R1,0.241093580635019,7642
wealth_within_low_education,all,CHARLS,middle,62,recovery,D1,R1,0.236648230883788,7642
wealth_within_low_education,all,CHARLS,middle,63,recovery,D1,R1,0.232164558150874,7642
wealth_within_low_education,all,CHARLS,middle,64,recovery,D1,R1,0.227588937428453,7642
wealth_within_low_education,all,CHARLS,middle,65,recovery,D1,R1,0.222872489172103,7642
wealth_within_low_education,all,CHARLS,middle,66,recovery,D1,R1,0.217971338030702,7642
wealth_within_low_education,all,CHARLS,middle,67,recovery,D1,R1,0.212846959262993,7642
wealth_within_low_education,all,CHARLS,middle,68,recovery,D1,R1,0.207466588675355,7642
wealth_within_low_education,all,CHARLS,middle,69,recovery,D1,R1,0.201803669861171,7642
wealth_within_low_education,all,CHARLS,middle,70,recovery,D1,R1,0.195838310451048,7642
wealth_within_low_education,all,CHARLS,middle,71,recovery,D1,R1,0.189565140006068,7642
wealth_within_low_education,all,CHARLS,middle,72,recovery,D1,R1,0.18301390087811,7642
wealth_within_low_education,all,CHARLS,middle,73,recovery,D1,R1,0.176223578883909,7642
wealth_within_low_education,all,CHARLS,middle,74,recovery,D1,R1,0.169234089942371,7642
wealth_within_low_education,all,CHARLS,middle,75,recovery,D1,R1,0.162085862102338,7642
wealth_within_low_education,all,CHARLS,middle,76,recovery,D1,R1,0.154819417502302,7642
wealth_within_low_education,all,CHARLS,middle,77,recovery,D1,R1,0.147474960712796,7642
wealth_within_low_education,all,CHARLS,middle,78,recovery,D1,R1,0.140091979734999,7642
wealth_within_low_education,all,CHARLS,middle,79,recovery,D1,R1,0.132708865621146,7642
wealth_within_low_education,all,CHARLS,middle,80,recovery,D1,R1,0.125362556251446,7642
wealth_within_low_education,all,CHARLS,middle,81,recovery,D1,R1,0.118086465072178,7642
wealth_within_low_education,all,CHARLS,middle,82,recovery,D1,R1,0.110905802773342,7642
wealth_within_low_education,all,CHARLS,middle,83,recovery,D1,R1,0.10384398630573,7642
wealth_within_low_education,all,CHARLS,middle,84,recovery,D1,R1,0.0969242470532117,7642
wealth_within_low_education,all,CHARLS,middle,85,recovery,D1,R1,0.0901692781778263,7642
wealth_within_low_education,all,CHARLS,middle,86,recovery,D1,R1,0.0836008882910569,7642
wealth_within_low_education,all,CHARLS,middle,87,recovery,D1,R1,0.0772396686413861,7642
wealth_within_low_education,all,CHARLS,middle,88,recovery,D1,R1,0.0711046809890844,7642
wealth_within_low_education,all,CHARLS,middle,89,recovery,D1,R1,0.0652131730856479,7642
wealth_within_low_education,all,CHARLS,middle,90,recovery,D1,R1,0.059580328184265,7642
wealth_within_low_education,all,CHARLS,middle,91,recovery,D1,R1,0.0542272245478119,7642
wealth_within_low_education,all,CHARLS,middle,92,recovery,D1,R1,0.0491990881228917,7642
wealth_within_low_education,all,CHARLS,middle,93,recovery,D1,R1,0.0445313255478892,7642
wealth_within_low_education,all,CHARLS,middle,94,recovery,D1,R1,0.0402426700100329,7642
wealth_within_low_education,all,CHARLS,middle,95,recovery,D1,R1,0.0363382701896133,7642
wealth_within_low_education,all,CHARLS,middle,96,recovery,D1,R1,0.0363382701896133,7642
wealth_within_low_education,all,CHARLS,middle,97,recovery,D1,R1,0.0363382701896133,7642
wealth_within_low_education,all,CHARLS,middle,98,recovery,D1,R1,0.0363382701896133,7642
wealth_within_low_education,all,CHARLS,middle,99,recovery,D1,R1,0.0363382701896133,7642
wealth_within_low_education,all,CHARLS,low,60,recovery,D1,R1,0.222011274309574,7642
wealth_within_low_education,all,CHARLS,low,61,recovery,D1,R1,0.217974215116094,7642
wealth_within_low_education,all,CHARLS,low,62,recovery,D1,R1,0.213955146585157,7642
wealth_within_low_education,all,CHARLS,low,63,recovery,D1,R1,0.20990143000664,7642
wealth_within_low_education,all,CHARLS,low,64,recovery,D1,R1,0.20576458267536,7642
wealth_within_low_education,all,CHARLS,low,65,recovery,D1,R1,0.201500412289298,7642
wealth_within_low_education,all,CHARLS,low,66,recovery,D1,R1,0.197069250868914,7642
wealth_within_low_education,all,CHARLS,low,67,recovery,D1,R1,0.192436267954532,7642
wealth_within_low_education,all,CHARLS,low,68,recovery,D1,R1,0.18757184123365,7642
wealth_within_low_education,all,CHARLS,low,69,recovery,D1,R1,0.182451960892844,7642
wealth_within_low_education,all,CHARLS,low,70,recovery,D1,R1,0.17705864211645,7642
wealth_within_low_education,all,CHARLS,low,71,recovery,D1,R1,0.171387029457032,7642
wealth_within_low_education,all,CHARLS,low,72,recovery,D1,R1,0.165464013161064,7642
wealth_within_low_education,all,CHARLS,low,73,recovery,D1,R1,0.159324840549445,7642
wealth_within_low_education,all,CHARLS,low,74,recovery,D1,R1,0.153005599854269,7642
wealth_within_low_education,all,CHARLS,low,75,recovery,D1,R1,0.146542842327511,7642
