module,cohort,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
wealth_within_low_education,CHARLS,onset,(Intercept),-2.85723269683468,0.0699955513763775,-40.8202041508449,0,0.0574274597705689,0.0500654576107096,0.0658720262050465
wealth_within_low_education,CHARLS,onset,sesmiddle,0.305196133383639,0.0534731940871854,5.70746031901577,1.14674343590651e-08,1.35689110855363,1.2218775766697,1.50682320031609
wealth_within_low_education,CHARLS,onset,seslow,0.484769865888043,0.0526310750209573,9.21071564080748,3.23957798270766e-20,1.62380127377715,1.46464509748895,1.80025221211666
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.570758899261939,0.129955823352103,4.39194554379855,1.12340840443256e-05,1.76960949732015,1.37169264632174,2.28295878191298
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.2906169557968,0.307309709899158,4.19972722703853,2.67236726085395e-05,3.63502851600101,1.99030904245384,6.63888473111177
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.0431077810613,0.556290953762497,1.87511188885276,0.0607773323101096,2.83802327828942,0.953875147907055,8.44384733765748
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.431008923092371,0.785947638779436,0.548393941054039,0.583421435867665,1.53880928083296,0.329740779814187,7.18119852846834
wealth_within_low_education,CHARLS,onset,sex_factorfemale,0.453081356047797,0.0407278132774176,11.1246177878894,9.52130710075135e-29,1.57315216675099,1.45245443910146,1.70387977283772
wealth_within_low_education,CHARLS,onset,period_factor2,-0.0113404751150489,0.055224982375981,-0.205350452406504,0.837298328528984,0.988723585684224,0.887291743329377,1.10175073332715
wealth_within_low_education,CHARLS,onset,period_factor3,-0.540525246886946,0.0561778398489789,-9.62168086811496,6.47640617628611e-22,0.58244224604003,0.521715002201517,0.6502380965482
wealth_within_low_education,CHARLS,onset,period_factor4,-0.351004357050667,0.0591570163901007,-5.93343576924214,2.96660088045213e-09,0.703980686569419,0.626910112935813,0.790526100690757
