cohort,age_band,level,intervals,persons,events,person_years,exposure,process
MHAS,60-69,low,984,772,269,2936.66666666665,education,relapse
MHAS,70-79,low,885,710,335,2619.66666666666,education,relapse
MHAS,80-89,low,226,206,105,636.541666666664,education,relapse
MHAS,70-79,high,29,24,10,87.0833333333328,education,relapse
MHAS,90-95,low,21,21,8,59.0833333333326,education,relapse
MHAS,60-69,high,60,45,13,181.666666666666,education,relapse
MHAS,80-89,high,4,3,1,9.41666666666652,education,relapse
MHAS,90-95,high,3,2,1,9.25,education,relapse
CHARLS,80-89,high,71,49,37,165.791666666668,wealth,relapse
CHARLS,60-69,low,886,639,307,2122.83333333335,wealth,relapse
CHARLS,70-79,low,589,447,255,1400.12500000001,wealth,relapse
CHARLS,60-69,high,630,450,177,1485.33333333335,wealth,relapse
CHARLS,70-79,high,241,185,98,567.583333333339,wealth,relapse
CHARLS,80-89,low,140,118,68,329.04166666667,wealth,relapse
CHARLS,90-95,high,4,3,2,9.04166666666674,wealth,relapse
CHARLS,90-95,low,8,6,2,19.3333333333335,wealth,relapse
ELSA,80-89,high,508,315,198,1095.83333333333,wealth,relapse
ELSA,70-79,low,784,469,277,1702.08333333333,wealth,relapse
ELSA,60-69,low,1072,555,334,2305.91666666667,wealth,relapse
ELSA,60-69,high,846,359,145,1816.33333333333,wealth,relapse
ELSA,70-79,high,983,501,240,2141.75,wealth,relapse
ELSA,80-89,low,324,229,144,688.75,wealth,relapse
ELSA,90-95,high,45,36,27,96.5833333333335,wealth,relapse
ELSA,90-95,low,33,30,19,67.6249999999998,wealth,relapse
HRS,60-69,high,1663,715,303,3468.33333333333,wealth,relapse
HRS,70-79,high,1993,910,457,4156.5,wealth,relapse
HRS,60-69,low,4079,1982,1137,8507.04166666667,wealth,relapse
HRS,70-79,low,2687,1322,789,5598.91666666667,wealth,relapse
HRS,80-89,high,1200,684,421,2551.66666666667,wealth,relapse
HRS,90-95,high,149,119,58,316.541666666666,wealth,relapse
HRS,80-89,low,1064,640,410,2238.25,wealth,relapse
HRS,90-95,low,124,96,62,267.208333333334,wealth,relapse
MHAS,60-69,low,379,305,112,1124.16666666666,wealth,relapse
MHAS,60-69,high,323,253,91,972.874999999993,wealth,relapse
MHAS,70-79,high,318,246,116,950.374999999996,wealth,relapse
MHAS,80-89,low,61,53,25,169.874999999999,wealth,relapse
MHAS,70-79,low,292,240,121,863.999999999998,wealth,relapse
MHAS,80-89,high,81,76,37,226.124999999998,wealth,relapse
MHAS,90-95,high,6,6,5,18.75,wealth,relapse
MHAS,90-95,low,10,10,2,27.333333333333,wealth,relapse
