cohort,exposure,sex,level,process,intervals,persons,events,person_years
HRS,wealth,female,low,relapse,5087,1950,1638,10583.9166666667
MHAS,wealth,female,low,relapse,540,399,209,1600.99999999999
MHAS,wealth,male,high,relapse,241,167,64,709.791666666664
MHAS,wealth,male,low,relapse,202,145,51,584.374999999998
MHAS,wealth,female,high,relapse,487,357,185,1458.33333333332
CHARLS,education,female,low,death_pre,6803,3318,166,15299.0833333334
CHARLS,education,male,low,death_pre,8437,3748,316,19072.0833333334
CHARLS,education,male,high,death_pre,304,145,12,685.166666666669
CHARLS,education,female,high,death_pre,90,42,0,202.833333333334
ELSA,education,male,low,death_pre,2858,1198,152,5716.5
ELSA,education,female,high,death_pre,1060,397,12,2104.95833333333
ELSA,education,female,low,death_pre,4499,1778,131,9054.41666666666
ELSA,education,male,high,death_pre,1822,694,42,3622.79166666667
HRS,education,male,high,death_pre,12693,2700,365,25061.0690451745
HRS,education,female,high,death_pre,11194,2327,175,22241.6721423682
HRS,education,female,low,death_pre,11010,2909,396,21629.0349931554
HRS,education,male,low,death_pre,8450,2493,540,16385.4072553046
MHAS,education,male,low,death_pre,8192,4645,545,22039.0833333333
MHAS,education,male,high,death_pre,1258,673,63,3558.79166666665
MHAS,education,female,high,death_pre,780,413,11,2230.37499999999
MHAS,education,female,low,death_pre,10016,5569,369,27363.4999999999
CHARLS,wealth,male,low,death_pre,2341,1000,47,5307.33333333336
CHARLS,wealth,female,low,death_pre,1998,927,17,4496.08333333335
CHARLS,wealth,female,high,death_pre,2126,971,17,4871.16666666669
CHARLS,wealth,male,high,death_pre,2897,1200,51,6658.0416666667
ELSA,wealth,male,low,death_pre,2056,944,100,4091.58333333333
ELSA,wealth,male,high,death_pre,4424,1580,113,8828.83333333333
ELSA,wealth,female,high,death_pre,4406,1561,69,8813.25
ELSA,wealth,female,low,death_pre,2547,1134,82,5109.37499999999
HRS,wealth,male,high,death_pre,18262,4029,670,35887.3738021903
HRS,wealth,female,high,death_pre,22278,4288,430,44171.3217830253
HRS,wealth,male,low,death_pre,10512,3013,589,20486.9352327173
HRS,wealth,female,low,death_pre,16635,4221,552,32751.590349076
MHAS,wealth,male,high,death_pre,3886,2115,212,10619.9583333333
MHAS,wealth,female,high,death_pre,4182,2227,136,11553.2916666666
MHAS,wealth,female,low,death_pre,3104,1830,115,8484.66666666664
MHAS,wealth,male,low,death_pre,2599,1524,179,7070.83333333332
CHARLS,education,male,low,death_post,6464,2897,760,14820.6332135524
