cohort,stage,people
CHARLS,Eligible entrants,14685
ELSA,Eligible entrants,17080
HRS,Eligible entrants,34180
MHAS,Eligible entrants,17778
CHARLS,Primary education,12680
ELSA,Primary education,12634
HRS,Primary education,29427
MHAS,Primary education,13380
CHARLS,Primary wealth,7306
ELSA,Primary wealth,9079
HRS,Primary wealth,19906
MHAS,Primary wealth,8832
CHARLS,Focused secondary,6628
ELSA,Focused secondary,3201
HRS,Focused secondary,5608
MHAS,Focused secondary,7688
