cohort,series,point,ci_low,ci_high
CHARLS,education,-6.55844915569672,-9.84092121102637,-3.62133149041321
ELSA,education,-5.84979418025958,-6.98372686517614,-4.87619601919026
HRS,education,-6.98762371080385,-7.5506507552023,-6.356271534876
MHAS,education,-3.49887945415158,-6.32462933047124,-1.27174834492778
CHARLS,wealth,-2.67560947848474,-3.52082277252344,-1.87653871051251
ELSA,wealth,-7.20894045607494,-7.91435737232417,-6.4943334087846
HRS,wealth,-7.24100807538908,-7.65264710045183,-6.79925782315016
MHAS,wealth,-1.35673731446516,-2.67552387129571,-0.142071278682403
