cohort,series,point,ci_low,ci_high
CHARLS,education,-2.07424607445573,-5.01573192623368,0.422774545969388
CHARLS,wealth,-1.0188423777578,-1.63041264472894,-0.37243362499114
ELSA,education,-1.82506831700114,-2.51122087685252,-1.28773900926414
ELSA,wealth,-1.9899119524787,-2.39508098176555,-1.62559807180225
HRS,education,-1.75724787892677,-2.12233738811924,-1.37368233667642
HRS,wealth,-1.66371007942299,-1.93799565666773,-1.38197942506152
MHAS,education,-0.905389542315211,-2.42053507281967,0.334716922643307
MHAS,wealth,0.194402925479935,-0.608892927777907,1.04597409787582
